"COUNTY","Jun-04","Jun-03","Jun-02","Jun-01","Jun-00","Jun-99","Jun-98","Jun-97","Jun-96","Jun-95","Jun-94","TOTAL"
"JASPER","4","0","1","0","0","0","0","0","0","0","0","5"
"JEFFERSON","2","0","2","2","2","0","0","0","0","0","0","8"
"JEFF DAVIS","0","0","0","0","0","0","0","0","0","0","0","0"
"JONES","55","48","63","71","48","92","88","36","8","2","0","511"
"KEMPER","2","0","4","0","0","0","1","0","0","0","0","7"
"LAFAYETTE","18","16","16","26","24","17","0","0","0","0","0","117"
"LAMAR","5","14","11","3","0","0","0","0","1","0","0","34"
"LAUDERDALE","19","18","20","23","16","20","11","0","0","0","0","127"
"LAWRENCE","0","0","0","0","0","0","0","0","0","0","0","0"
"LEAKE","4","13","6","0","0","0","0","0","0","0","0","23"
"LEE","42","35","46","27","31","40","31","38","14","10","2","316"
"LEFLORE","40","40","32","20","19","28","30","37","22","63","11","342"
"LINCOLN","12","26","33","32","30","33","20","32","29","9","0","256"
"LOWNDES","57","34","62","47","36","48","86","49","10","0","0","429"
"MADISON","4","2","6","7","9","8","18","10","2","1","0","67"
"MARION","26","14","10","0","0","0","0","0","0","0","0","50"
"MARSHALL","43","20","19","18","21","13","0","0","0","0","0","134"
"MONROE","12","22","11","4","6","14","12","8","9","11","0","109"
"MONTGOMERY","2","15","9","3","9","10","17","9","12","0","0","86"
"NESHOBA","13","16","8","0","0","0","0","0","0","0","0","37"
"NEWTON","15","19","3","0","1","0","0","0","0","0","0","38"
"NOXUBEE","0","7","2","6","2","1","8","3","0","0","0","29"
"OKTIBBEHA","35","28","21","6","12","6","20","30","5","0","0","163"
"PANOLA","19","6","20","13","10","7","0","0","0","0","0","75"
"PEARL RIVER","29","32","11","10","0","0","0","0","0","0","0","82"
"PERRY","0","0","0","0","4","7","3","3","1","0","0","18"
"PIKE","56","47","44","41","27","37","24","27","38","17","9","367"
"PONTOTOC","17","7","10","12","5","6","11","10","9","4","0","91"
"PRENTISS","22","15","15","22","12","22","16","8","20","14","1","167"
"QUITMAN","4","3","2","6","1","2","7","1","1","0","0","27"
"RANKIN","47","36","31","33","41","27","21","11","9","3","0","259"
"SCOTT","2","8","4","0","0","0","0","0","0","0","0","14"
"SHARKEY","0","0","5","1","5","1","0","0","0","0","0","12"
"SIMPSON","8","4","3","4","0","0","0","0","0","0","0","19"
"SMITH","20","3","11","0","0","0","0","0","0","0","0","34"
"STONE","0","2","7","9","3","2","2","2","3","0","0","30"
"SUNFLOWER","34","23","48","30","53","57","39","29","60","19","1","393"
"TALLAHATCHIE","5","1","6","0","4","3","7","0","0","0","0","26"
"TATE","2","3","5","2","6","5","0","0","0","0","0","23"
"TIPPAH","2","6","9","15","5","7","0","2","1","0","0","47"
"TISHOMINGO","7","5","6","5","4","4","12","10","8","0","0","61"
"TUNICA","1","6","4","5","7","0","3","0","0","0","0","26"
"UNION","21","16","18","9","15","16","3","2","0","0","0","100"
"WALTHALL","0","2","10","8","6","2","6","9","5","4","0","52"
"WARREN","12","13","15","26","22","49","41","30","7","0","0","215"
"WASHINGTON","70","52","89","102","91","87","79","103","101","17","4","795"
"WAYNE","2","2","1","6","2","4","6","0","0","0","0","23"
"WEBSTER","21","7","15","6","7","4","5","2","1","0","0","68"
"WILKINSON","0","2","3","9","0","0","0","0","0","0","0","14"
"WINSTON","1","6","19","15","12","13","18","18","2","0","0","104"
"YALOBUSHA","5","3","9","12","1","2","1","0","0","0","0","33"
"YAZOO","36","38","20","7","10","23","12","0","0","0","0","146"
"TOTALS","1,326","1,263","1,424","1,212","1,033","1,073","982","914","619","249","36","10,131"
