county,job title,Field 16,address,alt address,phone,alt phone,fax,alt fax,email
Marion,Board Attorney,Joseph Shepard,"PO Box 747, Columbia 39429",,(601) 736-1122,,(601) 736-1232,,
Marshall,Board Attorney,Kent Smith,"PO Box 849, Holly Springs 38635",,(662) 252-3003,,(662) 252-3006,,
Monroe,Board Attorney,David W Houston III ,"PO Box 72, Aberdeen 39730",,(662) 620-6219,,,,
Montgomery,Board Attorney,Alan Lancaster,"PO Box 71, Winona 38967.",,(662) 283-2132,,(662) 283-2233,,
Neshoba,Board Attorney,Wade White,"PO Box 459, Philadelphia 39350",,(601) 656-2451,,(601) 656-2458,,
Newton,Board Attorney,Jason Mangum,"PO Box 85, Decatur 39327.",,(601) 635-3432,,(601) 635-3479,,
Noxubee,Board Attorney,Chris D. Hemphill,"PO Drawer 866, Columbus 39703",,(662) 327-4211,,,,
Oktibbeha,Board Attorney,Jackson M. Brown,"PO Box 57, Starkville 39760-2257",,(662) 323-4126,,(662) 323-4188,,
Panola,Board Attorney,William McKenzie III ,"PO Box 837, Batesville 39606",,(662) 563-3536,,(662) 563-2566,,
Pearl River,Board Attorney,Joe Montgomery,"PO Box 113, Poplarville 39470",,(601) 795-4572,,(601) 795-8382,,
Perry,Board Attorney,Paul Walley ,"PO Box 183, New Augusta 39642",,(601) 964-7878,,(601) 964-7879,,
Pike,Board Attorney,Wayne Dowdy,"PO Box 30, Magnolia 39652",,(601) 783-6600,,(601) 783-3670,,
Pontotoc,Board Attorney,Phillip Tutor,"PO Box 487, Pontotoc 38863",,(662) 489-2415,,(662) 489-6815,,
Prentiss,Board Attorney,Tommy Cadle,"101 South Main, Booneville 38829",,(662) 728-2131,,(662) 728-2007,,
Quitman,Board Attorney,Robert Roy,"PO Drawer 250, Marks 38646",,(662) 326-8530,,(662) 326-2754,,
Rankin,Board Attorney,Craig L. Slay,"211 E Government St,Ste A, Brandon 39042",,(601) 824-2437,,(601) 825-0431,,
Scott,Board Attorney,Roy Noble Lee Jr.,"PO Box 370, Forest 39074",,(601) 469-2721,,(601) 469-4216,,
Sharkey,Board Attorney,Allen S Woodard,"PO Box 10, Rolling Fork 39159",,(662) 873-6777,,(662) 873-9000,,
Simpson,Board Attorney,Danny Welch,"224 N Main St, Mendenhall 39114",,(601) 847-2539,,(601) 847-4449,,
Smith,Board Attorney,Wendell James,"PO Box 302, Taylorsville 39168 (601) 452-5055",,(601) 452-5055,,(601) 452-5056,,
Stone,Board Attorney,Scott Gibson,"PO Box 1270, Wiggins 39577",,(601) 528-6028,,,,
Sunflower,Board Attorney,John H. McWilliams,"PO Box 288, Drew 38737",,(662) 745-8517,,(662) 745-8518,,
Tallahatchie,Board Attorney,Thomas U. Reynolds ,"PO Box 220, Charleston 38921",,(662) 647-3203,,(662) 647-2811,,
Tate,Board Attorney,"Lamar & Hannaford, P.A","214 S Ward St, Senatobia 38668",,(662) 562-6537,,(662) 562-4858,,
Tippah,Board Attorney,B. Sean Akins,"108 Jefferson St, Ripley 38663",,(662) 837-9976,,(662) 837-1009,,
Tishomingo,Board Attorney,Phillip Whitehead,"1008 Battleground Dr, Iuka 38852",,(662) 423-7032,,(662) 423-7005,,
Tunica,Board Attorney,John K.Perry,"5699 Getwell Bldg. G5, Southaven 38672",,(662) 536-6868,,,,
Union,Board Attorney,Chandler Rogers,"201 E Bankhead St, New Albany 38652",,(662) 538-5990,,(662) 534-5205,,
Walthall,Board Attorney,Conrad Mord,"PO Box 311, Tylertown 39667",,(601) 876-2611,,(601) 876-4379,,
Warren,Board Attorney,B. Blake Teller,"1201 Cherry St, Vicksburg 39183",,(601) 636-6565,,(601) 631-0114,,
Washington,Board Attorney,Frank Power,"PO Box 1856, Greenville 38702 ",,(662) 335-6011,,(662) 334-6407,,
Wayne,Board Attorney,Cooper Leggett,"PO Box 384, Waynesboro 39367",,(601) 735-4920,,(601) 735-3859,,
Webster,Board Attorney,Buchanan Meek Jr.,"PO Box 555, Eupora 39744 ",,(662) 258-3521,,(662) 258-6657,,
Wilkinson,Board Attorney,William Bruce Lewis,"319 Market St, Natchez 39120",,(601) 446-6621,,(601) 442-6175,,
Winston,Board Attorney,Hugh Hathorn,"PO Box 39, Louisville 39339",,(662) 773-8181,,(662) 773-8485,,
Yalobusha,Board Attorney,John J. Crow Jr.,"203 Wagner St, Water Valley 38965",,(662) 473-1870,,(662) 473-2030,,
Yazoo,Board Attorney,Jay Barbour,"PO Box 1569, Yazoo City 39194",,(662) 746-2134,,(662) 746-2167,,
