Location,Capacity_x,1-Jul-14,2-Jul-14,3-Jul-14,4-Jul-14,5-Jul-14,6-Jul-14,7-Jul-14,8-Jul-14,9-Jul-14,10-Jul-14,11-Jul-14,Capacity_y,12-Jul-14,13-Jul-14,14-Jul-14,15-Jul-14,16-Jul-14,17-Jul-14,18-Jul-14,19-Jul-14,20-Jul-14,21-Jul-14,Capacity,22-Jul-14,23-Jul-14,24-Jul-14,25-Jul-14,26-Jul-14,27-Jul-14,28-Jul-14,29-Jul-14,30-Jul-14,31-Jul-14,Avg Pop
Bolivar County,369,365,365,365,365,365,365,365,368,366,367,368,369,368,368,366,365,364,367,369,369,369,369,369,368,367,366,368,368,368,368,368,368,367,367
Carroll County,280,278,278,279,279,279,279,279,280,280,280,279,280,279,279,279,278,278,279,279,278,278,277,280,280,276,272,279,278,278,278,278,280,279,279
Chickasaw County,362,299,300,300,300,300,299,300,300,298,298,300,362,300,300,299,299,299,300,300,300,300,298,362,300,299,300,300,300,300,300,299,300,299,300
George County,280,279,278,276,276,276,276,278,280,279,279,280,280,280,279,279,279,279,279,278,278,278,278,280,276,275,280,280,280,280,278,280,280,274,278
Holmes County,280,279,280,279,279,279,279,278,275,280,280,280,280,280,280,280,279,280,278,280,280,280,280,280,279,280,277,280,280,280,280,280,280,277,279
Issaquena County,274,272,272,274,274,274,274,273,272,271,274,274,274,274,274,274,274,274,274,274,274,274,274,274,273,271,273,273,273,273,272,274,272,271,273
Jefferson County,280,279,279,279,279,279,279,278,279,280,280,271,280,271,271,271,278,278,280,280,280,280,279,280,278,280,280,278,278,278,278,279,278,273,278
Kemper County,355,348,349,348,348,348,348,348,355,355,355,355,355,355,355,354,351,351,355,354,354,354,352,355,354,354,352,355,355,355,355,354,355,354,353
Leake County,280,280,280,280,280,280,280,279,278,278,279,278,280,278,279,279,273,280,280,276,276,276,274,280,279,276,276,275,274,274,276,276,280,276,278
Marion County,280,280,278,278,278,278,278,280,280,277,277,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,280,280,279
Stone County,280,280,280,279,279,279,279,279,279,279,279,280,280,280,280,279,277,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,278,278,279
Washington County,300,295,293,293,292,292,292,297,297,297,297,297,300,297,297,297,294,298,298,300,300,300,299,300,294,293,297,295,295,295,292,291,290,289,295
Winston County,280,278,278,280,280,280,280,280,280,280,277,278,280,278,278,278,277,274,276,276,276,276,279,280,278,279,277,276,276,276,277,276,278,276,278
Yazoo County,300,299,299,306,306,306,306,304,299,299,295,299,300,299,299,299,297,297,296,297,297,297,300,300,299,302,299,299,299,298,299,298,299,296,299
PRIVATE PRISONS,5000,4280,4280,4285,4285,4285,4282,4287,4282,4287,4285,4281,5000,4279,4279,4282,4277,4272,4274,4274,4274,4273,4297,5000,4294,4303,4300,4304,4301,4299,4273,4261,4271,4268,"4,283"
East Mississippi,"1,500","1,200","1,198","1,199","1,200","1,200","1,200","1,200","1,198","1,200","1,200","1,199","1,500","1,197","1,197","1,201","1,202","1,201","1,201","1,201","1,201","1,201","1,199","1,500","1,200","1,200","1,199","1,199","1,199","1,198","1,198","1,198","1,197","1,198","1,199"
Marshall County,"1,000",993,993,"1,001",1001,1001,1001,"1,001","1,000","1,000","1,000","1,000","1,000",1000,"1,000",1000,"1,000",999,999,999,999,999,999,"1,000",1000,999,999,998,996,996,996,998,997,995,999
Walnut Grove,"1,500","1,245","1,248","1,254","1,253","1,253","1,250","1,255","1,253","1,257","1,255","1,253","1,500","1,253","1,253","1,252","1,249","1,247","1,250","1,249","1,249","1,249","1,276","1,500","1,271","1,283","1,283","1,280","1,279","1,278","1,252","1,246","1,259","1,257","1,257"
Wilkinson County,"1,000",842,841,831,831,831,831,831,831,830,830,829,"1,000",829,829,829,826,825,824,825,825,824,823,"1,000",823,821,819,827,827,827,827,819,818,818,827
RESTITUTION CENTERS,16,13,13,13,13,13,13,13,13,13,12,11,16,11,11,11,11,10,10,10,11,11,9,16,8,8,8,8,8,8,8,8,7,7,10
Greenwood,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6
Hinds,6,6,6,6,6,6,6,6,6,6,5,5,6,5,5,4,4,3,3,3,4,4,2,6,2,2,2,2,2,2,2,2,1,1,4
Pascagoula,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
TOTALS,"25,081","20,697","20,705","20,718","20,714","20,712","20,699","20,720","20,757","20,786","20,811","20,785","25,081","20,783","20,779","20,787","20,780","20,778","20,798","20,793","20,787","20,783","20,777","25,081","20,678","20,673","20,688","20,677","20,664","20,657","20,623","20,641","20,639","20,624","20,725"
