Location,Capacity_x_x,1-Jan-15,2-Jan-15,3-Jan-15,4-Jan-15,5-Jan-15,6-Jan-15,7-Jan-15,8-Jan-15,9-Jan-15,Capacity_y_x,10-Jan-15,11-Jan-15,12-Jan-15,13-Jan-15,14-Jan-15,15-Jan-15,16-Jan-15,17-Jan-15,18-Jan-15,Capacity_x_y,19-Jan-15,20-Jan-15,21-Jan-15,22-Jan-15,23-Jan-15,24-Jan-15,25-Jan-15,26-Jan-15,27-Jan-15,Capacity_y_y,28-Jan-15,29-Jan-15,30-Jan-15,31-Jan-15,Avg Population
Bolivar Satellite Facility,102,56,56,56,56,56,58,58,58,58,102,58,57,57,57,57,57,55,55,55,102,57,57,56,55,56,56,56,56,56,102,56,56,56,56,56
Forrest Satellite Facility,96,48,48,48,48,49,49,49,52,49,96,49,49,51,51,51,50,49,49,49,96,50,50,49,47,47,47,47,45,45,96,50,52,46,46,49
George Satellite Facility,102,50,49,48,48,48,44,44,44,46,102,46,46,50,50,50,50,50,50,50,102,50,50,50,50,50,50,50,50,51,102,51,51,50,50,49
Harrison Satellite Facility,102,46,46,46,46,47,47,48,48,49,102,49,48,48,48,48,48,45,44,45,102,47,47,47,46,47,47,47,47,48,102,48,48,49,49,47
Jackson Satellite Facility,102,48,48,48,48,47,48,48,48,46,102,46,46,49,48,48,49,48,48,48,102,49,49,49,49,45,45,45,47,47,102,50,47,46,46,48
Jefferson Satellite Facility,102,51,51,51,51,55,55,55,55,54,102,54,54,55,55,54,54,54,54,54,102,54,53,53,53,51,51,51,53,53,102,53,51,51,51,53
Leflore Satellite Facility,102,55,55,55,55,54,54,52,53,49,102,48,48,52,52,51,51,51,51,51,102,51,51,51,51,49,49,48,49,49,102,49,47,44,44,51
Madison Satellite Facility,102,55,55,55,55,47,44,44,43,49,102,49,49,49,49,49,49,49,49,49,102,49,49,49,47,47,47,47,51,51,102,52,52,50,50,49
Noxubee Satellite Facility,92,75,74,74,74,72,71,72,72,63,92,63,63,70,70,70,70,69,69,69,92,69,69,69,69,68,68,68,69,67,92,67,66,65,65,69
Pike Satellite Facility,93,86,86,86,86,88,86,82,82,81,93,81,81,82,81,82,81,80,80,80,93,81,80,79,78,86,86,86,88,89,93,89,89,88,88,84
Quitman Satellite Facility,93,50,50,50,49,49,50,49,46,45,93,45,45,46,46,0,46,46,46,46,93,46,45,45,56,53,52,52,56,61,93,60,62,63,63,49
Rankin Satellite Facility,260,184,184,182,194,179,178,176,177,178,260,178,178,180,180,179,179,170,170,170,260,174,172,171,171,167,167,167,179,177,260,178,176,174,174,176
Simpson Satellite Facility,102,100,100,100,100,97,97,96,95,99,102,99,99,98,98,97,97,95,95,95,102,97,94,94,93,93,93,93,97,95,102,95,96,99,99,97
Washington Satellite Facility,102,49,49,49,49,53,53,53,53,53,102,53,53,53,53,53,53,51,51,51,102,52,52,52,50,49,49,49,48,46,102,46,46,45,45,50
Wilkinson Satellite Facility,102,44,44,44,44,43,43,44,45,45,102,45,44,44,44,44,44,41,41,41,102,41,41,41,39,36,36,36,44,43,102,43,42,40,38,42
Yazoo Satellite Facility,102,52,52,52,52,51,51,51,51,47,102,47,47,50,50,50,50,50,50,50,102,50,50,50,46,46,46,46,46,46,102,46,46,46,46,49
REGIONAL CORRECTIONAL FACILITIES,"4,438","4,182","4,179","4,176","4,173","4,166","4,153","4,149","4,158","4,163","4,438","4,163","4,161","4,158","4,154","4,142","4,136","4,131","4,131","4,130","4,438","4,127","4,120","4,120","4,100","4,142","4,134","4,132","4,125","4,144","4,438","4,129","4,138","4,138","4,132","4,145"
Alcorn County,300,298,298,298,297,297,297,296,298,299,300,299,299,299,299,299,297,297,297,297,300,297,296,299,298,298,297,297,297,296,300,300,300,299,299,298
Bolivar County,369,357,357,357,357,356,356,356,361,363,369,363,363,362,361,357,357,357,357,357,369,357,357,358,357,358,357,357,356,361,369,360,364,363,362,359
Carroll County,280,266,266,266,266,266,265,266,264,265,280,265,265,265,265,265,265,265,265,264,280,263,263,263,263,262,262,262,262,260,280,259,262,261,261,264
Chickasaw County,300,300,300,300,300,298,298,297,300,299,300,299,299,299,299,299,299,299,299,299,300,298,296,300,299,300,300,300,298,299,300,298,298,298,297,299
George County,280,259,258,256,256,257,257,256,254,254,280,254,254,254,254,254,254,254,254,254,280,254,254,254,252,252,252,252,252,253,280,250,248,248,248,254
Holmes County,280,261,261,260,260,260,259,257,257,258,280,258,258,258,258,257,257,257,257,257,280,257,256,256,251,250,247,247,245,253,280,253,253,253,252,256
Issaquena County,274,250,250,250,250,247,246,246,243,245,274,245,245,245,245,243,243,243,243,243,274,243,243,242,241,241,240,240,239,247,274,247,248,254,254,245
Jefferson County,280,254,254,254,254,254,253,251,250,252,280,252,252,250,249,247,247,247,247,247,280,247,246,245,245,249,249,249,249,248,280,250,252,252,251,250
Kemper County,355,320,320,320,320,319,313,316,318,326,355,326,326,326,325,325,324,322,322,322,355,322,320,320,319,320,320,318,319,324,355,313,318,319,319,321
Leake County,280,258,258,258,258,257,257,253,250,250,280,250,250,250,250,249,247,247,247,247,280,246,245,244,243,256,256,256,247,246,280,245,245,242,242,250
Marion County,280,272,272,272,272,272,271,270,270,269,280,269,268,269,269,269,268,267,267,267,280,267,275,274,272,271,271,271,270,270,280,271,271,274,274,270
Stone County,280,273,272,272,272,272,272,274,274,274,280,274,274,274,274,274,274,273,273,273,280,273,272,271,271,271,271,271,271,265,280,264,267,267,266,272
Washington County,300,272,272,272,271,273,271,271,271,274,300,274,274,274,273,273,273,273,273,273,300,273,269,268,265,262,261,261,267,266,300,266,265,265,265,270
Winston County,280,273,272,272,271,271,267,269,273,273,280,273,273,272,272,271,271,271,271,271,280,271,269,268,268,271,271,271,270,272,280,270,267,264,263,270
Yazoo County,300,269,269,269,269,267,271,271,275,262,300,262,261,261,261,260,260,259,259,259,300,259,259,258,256,281,280,280,283,284,300,283,280,279,279,269
PRIVATE PRISONS,"5,972","4,268","4,265","4,265","4,262","4,248","4,247","4,254","4,258","4,272","5,972","4,271","4,271","4,269","4,263","4,263","4,263","4,236","4,233","4,232","5,972","4,227","4,222","4,221","4,213","4,176","4,175","4,175","4,174","4,171","5,972","4,192","4,185","4,212","4,208","4,232"
Delta,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0
East Mississippi,"1,500","1,162","1,162","1,162","1,161","1,157","1,161","1,174","1,176","1,178","1,500","1,178","1,178","1,176","1,176","1,177","1,177","1,176","1,176","1,176","1,500","1,175","1,174","1,173","1,169","1,169","1,169","1,169","1,166","1,168","1,500","1,174","1,178","1,181","1,180","1,172"
Marshall County,"1,000",998,998,998,998,998,996,996,996,999,"1,000",999,999,999,999,999,999,999,998,998,"1,000",998,997,997,997,999,998,998,998,997,"1,000",997,996,996,996,998
Walnut Grove,"1,500","1,230","1,227","1,227","1,226","1,217","1,214","1,209","1,210","1,222","1,500","1,221","1,221","1,221","1,216","1,216","1,216","1,190","1,189","1,188","1,500","1,184","1,182","1,182","1,179","1,175","1,175","1,175","1,157","1,155","1,500","1,152","1,138","1,143","1,142","1,194"
Wilkinson County,"1,000",878,878,878,877,876,876,875,876,873,"1,000",873,873,873,872,871,871,871,870,870,"1,000",870,869,869,868,833,833,833,853,851,"1,000",869,873,892,890,869
RESTITUTION CENTERS,16,9,9,9,9,9,9,9,11,11,16,11,11,11,10,11,11,11,11,11,16,11,11,11,11,9,9,9,9,9,16,9,10,9,9,10
Greenwood,6,3,3,3,3,3,3,3,4,4,6,4,4,4,3,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4
Hinds,6,3,3,3,3,3,3,3,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,3,3,3,3,3,6,3,4,3,3,4
Pascagoula,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,2,2,2,4,2,2,2,2,3
TOTALS,"25,704","19,122","19,106","19,101","19,090","19,036","19,002","18,972","18,953","18,925","25,704","18,922","18,912","18,947","18,858","18,956","19,061","18,920","18,914","18,905","25,704","18,916","18,902","18,906","18,870","18,868","18,850","18,845","18,864","18,861","25,704","18,878","18,886","18,956","18,947","18,944"
