Location,Capacity_x,1-Dec-17,Unnamed: 3,2-Dec-17,3-Dec-17,4-Dec-17,5-Dec-17,6-Dec-17,7-Dec-17,8-Dec-17,9-Dec-17,10-Dec-17,11-Dec-17,12-Dec-17,13-Dec-17,14-Dec-17,15-Dec-17,16-Dec-17,17-Dec-17,Capacity_y,18-Dec-17,19-Dec-17,20-Dec-17,21-Dec-17,22-Dec-17,23-Dec-17,24-Dec-17,25-Dec-17,26-Dec-17,27-Dec-17,28-Dec-17,29-Dec-17,30-Dec-17,31-Dec-17,Avg Population
Rankin Satellite Facility,178,146,146,146,144,145,145,145,144,143,143,143,144,143,143,143,141,141,,178,140,140,141,140,140,140,140,140,140,141,138,139,139,139,142
Rankin RID,28,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,,28,12,12,12,12,12,12,12,12,12,11,11,10,10,10,12
Flowood TVC,50,14,14,14,14,13,11,10,20,10,10,10,20,20,20,20,20,20,,50,20,19,19,18,18,18,18,18,18,17,17,17,17,17,16
Simpson TVC,82,52,52,52,51,52,48,47,61,44,44,44,61,59,59,58,58,58,,82,57,51,50,50,50,49,49,47,44,44,62,62,62,62,53
Simpson TVC Support,20,13,13,13,13,12,12,12,13,13,13,13,13,13,13,13,13,13,,20,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Washington Satellite Facility,60,56,56,56,56,56,56,56,55,55,55,55,55,55,55,55,55,55,,60,54,54,59,58,57,57,57,57,57,57,57,57,57,57,56
Wilkinson Satellite Facility,62,51,51,51,54,54,54,54,53,53,53,53,53,53,53,51,51,51,,62,51,50,49,49,49,49,49,49,49,49,48,48,48,48,51
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,556","4,273","4,272","4,273","4,266","4,265","4,284","4,294","4,299","4,297","4,297","4,297","4,299","4,308","4,351","4,336","4,336","4,335",,"4,556","4,354","4,364","4,371","4,368","4,360","4,358","4,357","4,357","4,356","4,348","4,245","4,357","4,356","4,356",4321
Alcorn County,300,285,285,285,285,285,296,296,294,294,294,294,294,293,298,298,298,298,,300,295,295,295,295,294,294,294,294,294,294,294,294,294,294,293
Bolivar County,369,293,293,293,294,293,292,294,293,293,293,293,293,292,292,294,294,294,,369,293,292,291,291,290,290,290,290,290,288,288,292,291,291,292
Carroll County,280,273,273,273,271,271,271,271,269,269,269,269,269,268,268,267,267,267,,280,266,272,271,270,268,268,267,267,266,266,266,264,264,264,269
Chickasaw County,310,303,302,302,301,301,301,301,301,301,301,301,301,301,300,300,300,300,,310,308,308,307,305,304,304,304,304,304,304,304,304,304,304,303
George County,342,339,339,339,339,336,339,338,335,335,335,335,335,334,340,335,335,335,,342,340,341,340,340,341,341,341,341,341,341,342,342,342,342,339
Holmes County,280,256,256,256,255,255,269,268,265,266,266,266,265,266,266,266,266,266,,280,266,274,273,272,271,270,270,270,270,270,280,278,278,278,267
Issaquena County,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,,274,272,272,269,272,271,271,271,271,271,269,269,272,272,272,273
Jefferson County,280,274,274,274,277,279,276,276,274,274,274,274,274,277,277,274,274,274,,280,280,279,277,275,279,279,279,279,279,279,277,276,276,276,276
Kemper County,355,345,345,345,341,344,342,342,346,338,338,338,346,346,352,352,352,352,,355,352,351,352,352,345,344,344,344,344,344,344,342,342,342,345
Leake County,280,229,229,229,228,228,228,237,253,253,253,253,253,262,271,272,272,272,,280,272,273,277,278,280,280,280,280,280,279,170,279,279,279,258
Marion County,280,275,275,276,276,280,280,280,278,279,279,279,278,277,277,276,276,276,,280,276,279,282,280,280,280,280,280,280,280,280,280,280,280,278
Stone County,326,326,326,326,325,322,320,320,324,327,327,327,324,322,322,318,318,318,,326,325,323,324,326,324,324,324,324,324,324,326,325,325,325,324
Washington County,300,235,235,235,235,230,229,228,228,228,228,228,228,228,239,236,236,236,,300,236,236,234,234,233,233,233,233,233,231,229,234,234,234,233
Winston County,280,270,270,270,270,269,267,269,266,267,267,267,266,272,279,279,279,279,,280,279,278,280,279,279,279,279,279,279,279,279,278,278,278,274
Yazoo County,300,296,296,296,295,298,300,300,299,299,299,299,299,296,296,295,295,294,,300,294,291,299,299,301,301,301,301,301,300,297,297,297,297,298
PRIVATE PRISONS,"5,972","3,132","3,132","3,131","3,152","3,148","3,148","3,156","3,144","3,134","3,134","3,134","3,144","3,146","3,144","3,152","3,152","3,151",,"5,972","3,151","3,153","3,158","3,158","3,173","3,163","3,173","3,173","3,173","3,176","3,173","3,178","3,176","3,175",3154
Delta,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,242","1,242","1,241","1,265","1,261","1,261","1,260","1,248","1,240","1,240","1,240","1,248","1,250","1,248","1,248","1,248","1,248",,"1,500","1,246","1,245","1,245","1,245","1,252","1,252","1,252","1,252","1,252","1,255","1,251","1,254","1,254","1,254",1250
Marshall County,"1,000",999,999,999,999,"1,000","1,000",999,"1,000",997,997,997,"1,000","1,000","1,000","1,000","1,000",999,,"1,000",997,"1,000",998,998,997,987,997,997,997,997,"1,000",998,998,998,998
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",891,891,891,888,887,887,897,896,897,897,897,896,896,896,904,904,904,,"1,000",908,908,915,915,924,924,924,924,924,924,922,926,924,923,906
RESTITUTION CENTERS,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,16,9,9,9,10,11,11,11,11,11,11,11,11,11,11,10
Greenwood,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Hinds,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,6,2,2,2,3,4,4,4,4,4,4,4,4,4,4,3
Pascagoula,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TRANSITIONAL HOUSING,164,46,46,46,46,45,46,46,38,37,37,37,38,37,40,41,41,41,,164,38,35,38,38,36,36,36,36,36,34,34,33,33,33,39
Madison,40,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,,40,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4
Noxubee,34,34,34,34,34,34,34,34,24,26,26,26,24,23,22,23,23,23,,34,22,20,20,20,18,18,18,18,18,16,16,16,16,16,24
Rankin/Flowood,8,5,5,5,5,5,6,6,5,6,6,6,5,5,5,5,5,5,,8,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,2,2,2,2,1,1,1,5,1,1,1,5,5,9,9,9,9,,40,9,8,8,8,8,8,8,8,8,8,8,7,7,7,6
TOTALS,"24,237","19,162","19,158","19,151","19,148","19,128","19,140","19,161","19,150","19,138","19,138","19,138","19,150","19,167","19,172","19,141","19,139","19,132",,"24,237","19,154","19,142","19,136","19,129","19,121","19,115","19,112","19,109","19,102","19,094","18,952","19,076","19,076","19,074","19,128"
