Location,Capacity_x,1-Apr-19,Unnamed: 3,2-Apr-19,3-Apr-19,4-Apr-19,5-Apr-19,6-Apr-19,7-Apr-19,8-Apr-19,9-Apr-19,10-Apr-19,11-Apr-19,12-Apr-19,13-Apr-19,14-Apr-19,15-Apr-19,16-Apr-19,17-Apr-19,Capacity_y,18-Apr-19,19-Apr-19,20-Apr-19,21-Apr-19,22-Apr-19,23-Apr-19,24-Apr-19,25-Apr-19,26-Apr-19,27-Apr-19,28-Apr-19,29-Apr-19,30-Apr-19,Avg Population
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,579","4,248","4,270","4,272","4,270","4,266","4,264","4,262","4,292","4,289","4,282","4,178","4,274","4,271","4,260","4,290","4,287","4,284",,"4,579","4,298","4,290","4,288","4,287","4,275","4,282","4,283","4,278","4,277","4,276","4,276","4,270","4,258",4273
Alcorn County,300,300,300,300,299,299,299,299,299,299,301,298,300,300,300,298,298,298,,300,298,298,298,297,296,295,300,300,299,299,299,299,298,299
Bolivar County,369,294,294,294,294,292,292,292,292,291,290,293,292,292,291,291,294,293,,369,293,292,292,292,290,292,290,290,290,290,290,290,289,292
Carroll County,280,275,273,273,273,272,272,271,271,271,270,266,266,266,265,279,274,274,,280,274,274,274,274,274,273,273,272,279,278,278,277,277,273
Chickasaw County,310,308,307,310,309,309,308,308,308,308,310,310,309,309,308,307,309,309,,310,309,310,310,310,309,309,309,308,309,309,309,309,307,309
George County,342,335,334,334,333,333,333,333,342,342,339,339,339,338,337,342,340,339,,342,339,339,338,338,338,337,336,337,335,335,335,334,333,337
Holmes County,280,271,271,274,279,279,279,279,279,279,279,280,280,280,279,279,280,281,,280,281,281,281,281,281,281,280,279,278,278,278,278,277,279
Issaquena County,297,274,281,281,281,281,281,280,289,288,288,293,292,292,292,290,290,290,,297,298,298,298,298,298,297,297,296,296,296,296,296,296,291
Jefferson County,280,279,280,280,278,277,276,276,278,278,278,276,276,276,275,279,279,279,,280,280,279,279,279,278,276,276,276,276,276,276,276,275,277
Kemper County,355,345,351,351,348,348,348,348,348,348,348,247,346,345,344,350,350,349,,355,351,350,350,350,349,353,353,353,353,353,353,353,352,346
Leake County,280,274,279,279,279,279,279,279,280,280,278,277,277,277,277,281,281,281,,280,281,280,280,280,279,279,280,280,278,278,278,276,275,279
Marion County,280,279,279,279,279,280,280,280,280,280,280,280,280,280,279,279,279,280,,280,280,279,279,279,278,277,277,278,277,277,277,277,276,279
Stone County,326,279,278,278,278,278,278,278,280,280,280,280,280,280,279,279,279,280,,326,280,280,280,280,280,280,280,280,280,280,280,280,280,279
Washington County,300,168,167,167,167,166,166,166,166,166,165,165,165,165,163,159,159,157,,300,157,155,155,155,154,154,153,153,152,152,152,152,151,160
Winston County,280,267,277,274,274,274,274,274,279,279,278,277,275,275,275,279,278,277,,280,279,278,277,277,276,280,280,278,278,278,278,278,277,277
Yazoo County,300,300,299,298,299,299,299,299,301,300,298,297,297,296,296,298,297,297,,300,298,297,297,297,295,299,299,298,297,297,297,295,295,298
PRIVATE PRISONS,"5,472","3,166","3,172","3,171","3,167","3,166","3,165","3,165","3,179","3,176","3,174","3,173","3,174","3,173","3,173","3,185","3,183","3,183",,"5,472","3,193","3,190","3,189","3,189","3,188","3,198","3,208","3,207","3,204","3,203","3,202","3,199","3,194",3184
Delta,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,247","1,243","1,242","1,241","1,240","1,239","1,239","1,252","1,250","1,249","1,248","1,248","1,247","1,247","1,260","1,258","1,258",,"1,500","1,269","1,266","1,266","1,266","1,265","1,278","1,284","1,284","1,283","1,283","1,283","1,282","1,280",1260
Marshall County,"1,000",995,"1,000","1,000",998,998,998,998,"1,000",999,999,999,"1,000","1,000","1,000","1,000","1,000","1,000",,"1,000",999,999,999,999,999,995,999,999,999,999,999,998,997,999
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",924,929,929,928,928,928,928,927,927,926,926,926,926,926,925,925,925,,"1,000",925,925,924,924,924,925,925,924,922,921,920,919,917,925
RESTITUTION CENTERS,10,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,10,8,8,8,8,7,7,7,7,6,6,6,7,7,8
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,6,5,5,5,5,4,4,4,4,3,3,3,4,4,5
Pascagoula,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
TRANSITIONAL HOUSING,122,32,32,33,33,33,33,33,33,33,0,36,36,36,36,34,34,34,,122,34,24,24,24,27,23,,29,25,25,22,25,26,30
Madison,40,9,9,10,10,10,10,10,10,10,10,11,11,11,11,10,9,9,,40,9,8,8,8,11,7,7,8,4,4,4,4,5,9
Noxubee,34,19,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,,34,21,12,12,12,12,12,17,17,17,17,14,17,17,18
Rankin/Flowood,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTALS,"24,179","19,556","19,512","19,527","19,547","19,573","19,461","19,557","19,616","19,626","19,578","19,537","19,645","19,639","19,615","19,624","19,652","19,676",,"24,179","19,701","19,682","19,672","19,667","19,673","19,653","19,666","19,697","19,708","19,705","19,697","19,679","19,666",19629
