Location,Capacity_x,1-Feb-20,2-Feb-20,3-Feb-20,4-Feb-20,5-Feb-20,6-Feb-20,7-Feb-20,8-Feb-20,9-Feb-20,10-Feb-20,11-Feb-20,12-Feb-20,13-Feb-20,14-Feb-20,15-Feb-20,16-Feb-20,17-Feb-20,Capacity_y,18-Feb-20,19-Feb-20,20-Feb-20,21-Feb-20,22-Feb-20,23-Feb-20,24-Feb-20,25-Feb-20,26-Feb-20,27-Feb-20,28-Feb-20,29-Feb-20,Avg Population
Alcorn County,300,300,300,299,299,299,299,298,298,298,298,297,297,297,297,297,297,297,300,297,296,296,296,296,296,293,293,290,290,290,290,296
Bolivar County,369,291,291,291,292,291,291,293,293,293,292,292,292,292,288,288,288,288,369,287,286,286,286,286,286,286,284,284,284,284,284,289
Carroll County,280,268,268,268,272,272,272,272,272,272,272,272,273,272,271,271,271,271,280,270,270,270,270,270,270,270,270,268,268,268,268,270
Chickasaw County,310,310,309,309,309,308,306,306,305,305,305,309,309,310,309,309,309,309,310,309,309,308,308,308,308,308,308,308,308,308,308,308
George County,342,338,338,338,338,336,334,338,338,338,337,340,339,339,336,336,336,336,342,336,335,337,336,336,336,335,334,337,337,339,338,337
Holmes County,280,279,279,279,280,280,278,276,276,276,272,271,271,269,275,275,275,275,280,273,273,271,271,271,271,271,271,271,275,274,274,274
Issaquena County,297,276,276,275,287,286,285,308,308,308,308,307,307,306,306,306,306,306,297,306,306,304,304,304,304,302,310,310,320,319,319,302
Jefferson County,280,281,281,280,280,276,274,273,273,273,280,279,279,279,279,278,278,278,280,277,276,279,278,278,278,277,275,277,277,280,280,278
Kemper County,355,353,353,352,352,350,349,348,348,348,353,352,352,351,350,350,350,350,355,348,347,347,348,348,347,344,341,335,333,337,336,347
Leake County,280,280,280,280,280,279,274,273,273,273,273,272,273,273,272,272,272,270,280,269,269,271,269,269,269,268,268,267,270,269,269,272
Marion County,280,396,396,395,395,396,396,395,395,395,399,401,401,400,398,397,397,397,280,397,392,394,394,394,394,392,393,398,400,400,400,396
Stone County,326,281,281,280,280,280,279,280,280,280,280,280,280,280,280,280,280,280,326,280,280,279,279,279,279,280,280,280,280,280,280,280
Washington County,300,133,133,133,132,132,132,132,132,132,132,131,130,139,137,137,137,137,300,137,137,136,135,135,135,140,140,141,141,141,141,136
Winston County,280,278,278,278,279,279,276,270,270,270,279,279,276,276,274,274,274,273,280,272,271,269,270,270,270,269,268,270,269,269,268,273
Yazoo County,300,299,299,300,299,298,298,297,297,297,298,297,295,294,293,293,292,291,300,290,287,285,284,284,284,284,284,283,283,282,282,291
PRIVATE PRISONS,"6,000","3,461","3,460","3,457","3,458","3,455","3,453","3,459","3,459","3,458","3,455","3,468","3,467","3,484","3,486","3,489","3,489","3,488","6,000","3,487","3,529","3,626","3,679","3,678","3,678","3,746","3,742","3,812","3,810","3,908","3,908",3571
Tallahatchie County,"1,000",375,375,375,375,375,375,375,375,374,374,374,374,374,374,377,377,377,"1,000",377,424,524,574,574,574,649,650,725,725,825,825,477
East Mississippi,"1,500","1,223","1,223","1,220","1,221","1,221","1,218","1,216","1,216","1,216","1,214","1,227","1,225","1,244","1,246","1,246","1,246","1,245","1,500","1,245","1,243","1,241","1,240","1,240","1,240","1,235","1,231","1,226","1,224","1,223","1,223",1230
Marshall County,"1,000",999,998,998,998,997,999,999,999,999,998,998,997,996,996,996,996,996,"1,000",995,995,995,995,994,994,993,993,992,992,992,992,996
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",864,864,864,864,862,861,869,869,869,869,869,871,870,870,870,870,870,"1,000",870,867,866,870,870,870,869,868,869,869,868,868,868
RESTITUTION CENTERS,10,5,5,5,5,5,9,9,9,9,7,7,6,6,6,6,6,6,10,6,6,6,6,6,6,0,6,6,6,6,5,11
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,3,3,3,3,3,7,7,7,7,5,5,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,3,4
Pascagoula,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2
TRANSITIONAL HOUSING,122,33,33,33,33,33,32,32,32,32,33,33,34,34,34,34,34,36,122,36,25,25,24,24,24,24,23,22,22,22,22,30
Madison,40,5,5,5,5,4,3,3,3,3,3,4,4,4,4,4,4,4,40,4,3,3,3,3,3,3,3,4,4,4,4,4
Noxubee,34,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,34,26,17,16,15,15,15,15,15,15,15,15,15,22
Rankin/Flowood,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,2,2,2,2,2,2,2,2,2,2,2,1
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3,3,5,40,5,3,4,4,4,4,4,3,1,1,1,1,2
TOTALS,"24,670","19,031","19,029","19,015","19,014","19,020","18,995","18,978","18,963","18,961","18,975","18,935","18,914","18,911","18,902","18,901","18,895","18,898","24,670","18,901","18,878","18,866","18,871","18,874","18,870","18,884","18,879","18,873","18,845","18,903","18,898",18932
