Location,Capacity_x,1-Mar-19,Unnamed: 3,2-Mar-19,3-Mar-19,4-Mar-19,5-Mar-19,6-Mar-19,7-Mar-19,8-Mar-19,9-Mar-19,10-Mar-19,11-Mar-19,12-Mar-19,13-Mar-19,14-Mar-19,15-Mar-19,16-Mar-19,17-Mar-19,Capacity_y,18-Mar-19,19-Mar-19,20-Mar-19,21-Mar-19,22-Mar-19,23-Mar-19,24-Mar-19,25-Mar-19,26-Mar-19,27-Mar-19,28-Mar-19,29-Mar-19,30-Mar-19,31-Mar-19,Avg Population
Pike Satellite Facility,93,69,69,69,70,70,71,73,72,72,72,72,69,69,68,67,66,66,,93,67,65,65,65,61,61,61,71,71,71,71,71,71,71,69
Quitman Satellite Facility,93,59,59,59,59,64,63,63,63,63,59,60,60,59,56,57,57,57,,93,56,56,55,36,55,55,55,55,60,60,57,89,56,56,59
Rankin Satellite Facility,178,159,159,159,162,163,163,163,156,156,156,162,160,161,161,157,157,157,,178,161,460,161,161,159,159,159,161,158,158,163,158,158,158,169
Rankin RID,28,16,16,16,15,15,14,14,14,14,14,14,13,13,13,13,13,13,,28,13,13,12,12,12,12,12,12,10,10,11,11,11,11,13
Flowood TVC,50,21,21,21,21,21,16,16,36,36,35,33,32,31,31,30,30,30,,50,29,29,28,28,28,27,27,27,27,27,43,43,42,39,29
Simpson TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpson TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,53,53,53,54,54,59,59,59,59,59,58,58,58,60,60,60,60,,62,60,60,60,63,63,63,63,63,63,63,63,63,63,63,60
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,579","4,221","4,218","4,217","4,199","4,199","4,209","4,206","4,222","4,221","4,218","4,206","4,240","4,260","4,247","4,253","4,252","4,251",,"4,579","4,265","4,252","4,248","4,271","4,268","4,268","4,268","4,256","4,247","4,242","4,252","4,257","4,256","4,255",4240
Alcorn County,300,301,301,301,301,301,298,298,298,298,298,298,297,299,299,299,299,299,,300,298,298,299,299,299,299,299,299,298,298,298,298,298,298,299
Bolivar County,369,293,293,293,293,293,291,292,292,292,292,291,290,292,291,290,290,290,,369,289,294,293,293,293,293,293,293,293,292,292,292,292,292,292
Carroll County,280,274,274,274,276,276,274,273,273,273,273,271,270,269,269,269,269,269,,280,273,272,272,274,274,274,274,274,273,272,276,276,276,276,273
Chickasaw County,310,309,308,308,308,308,308,308,309,309,309,309,311,311,310,308,308,308,,310,307,309,307,306,303,303,303,302,302,302,304,309,308,308,307
George County,342,334,334,334,334,334,333,333,342,342,340,338,337,340,336,338,338,338,,342,338,335,333,337,337,337,337,337,335,335,342,341,341,341,337
Holmes County,280,269,268,268,257,257,272,271,271,271,270,268,268,268,270,271,271,270,,280,270,268,268,274,274,274,274,274,273,273,274,272,272,272,270
Issaquena County,297,273,273,273,272,272,272,272,272,272,272,272,269,274,274,274,274,274,,297,273,272,271,274,274,274,274,273,273,272,272,274,274,274,273
Jefferson County,280,281,280,280,278,278,278,278,278,278,278,277,279,278,278,278,278,278,,280,279,278,278,280,280,280,280,280,279,279,279,279,279,279,279
Kemper County,355,346,346,346,343,343,341,341,341,341,341,340,348,352,351,352,352,352,,355,353,347,347,351,351,351,351,350,349,348,347,346,346,346,347
Leake County,280,263,263,263,263,263,266,266,266,266,266,266,276,280,278,278,278,278,,280,279,279,279,280,279,279,279,276,276,276,274,274,274,274,273
Marion County,280,280,280,280,279,279,279,279,279,279,279,279,279,277,276,278,278,278,,280,278,278,281,281,281,281,281,280,279,279,279,279,279,279,279
Stone County,326,275,275,275,274,274,273,273,280,280,280,279,279,279,279,279,278,278,,326,278,277,277,277,280,280,280,279,279,279,279,279,279,279,278
Washington County,300,169,169,169,169,169,174,174,174,174,174,173,170,170,169,169,169,169,,300,168,168,169,169,169,169,169,168,168,168,168,168,168,168,170
Winston County,280,267,267,267,267,267,267,266,266,265,265,264,277,281,278,281,281,281,,280,282,279,277,276,274,274,274,273,272,271,270,270,270,269,272
Yazoo County,300,287,287,286,285,285,283,282,281,281,281,281,290,290,289,289,289,289,,300,300,298,297,300,300,300,300,298,298,298,298,300,300,300,292
PRIVATE PRISONS,"5,472","3,128","3,128","3,128","3,127","3,127","3,139","3,133","3,133","3,133","3,133","3,129","3,141","3,159","3,159","3,165","3,164","3,184",,"5,472","3,172","3,169","3,168","3,169","3,175","3,175","3,174","3,178","3,175","3,175","3,174","3,174","3,171","3,171",3156
Delta,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,193","1,193","1,193","1,194","1,194","1,212","1,207","1,205","1,205","1,205","1,204","1,218","1,233","1,235","1,241","1,241","1,261",,"1,500","1,250","1,249","1,248","1,248","1,251","1,251","1,250","1,248","1,248","1,248","1,247","1,249","1,248","1,248",1230
Marshall County,"1,000","1,000","1,000","1,000","1,000","1,000",997,997,"1,000","1,000","1,000",998,997,"1,000",999,999,999,999,,"1,000",998,998,998,"1,000","1,000","1,000","1,000",999,999,"1,000","1,000",998,997,997,999
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",935,935,935,933,933,930,929,928,928,928,927,926,926,925,925,924,924,,"1,000",924,922,922,921,924,924,924,931,928,927,927,927,926,926,927
RESTITUTION CENTERS,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Pascagoula,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
TRANSITIONAL HOUSING,122,31,31,31,30,33,33,35,33,33,0,33,36,38,37,38,38,38,,122,40,39,39,39,35,35,35,36,36,35,36,36,36,36,35
Madison,40,7,7,7,6,6,6,8,8,8,8,8,11,12,11,12,12,12,,40,14,14,14,14,12,12,12,13,13,12,12,12,12,12,11
Noxubee,34,18,18,18,18,21,21,21,19,19,19,19,19,20,20,20,20,20,,34,20,20,20,20,18,18,18,18,18,18,19,19,19,19,19
Rankin/Flowood,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,8,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTALS,"24,179","19,452","19,446","19,445","19,487","19,485","19,486","19,514","19,609","19,502","19,456","19,325","19,501","19,532","19,547","19,540","19,531","19,546",,"24,179","19,522","19,786","19,499","19,506","19,524","19,526","19,520","19,543","19,507","19,559","19,558","19,610","19,567","19,548",19523
