Location,Capacity_x,1-Oct-17,Unnamed: 3,2-Oct-17,3-Oct-17,4-Oct-17,5-Oct-17,6-Oct-17,7-Oct-17,8-Oct-17,9-Oct-17,10-Oct-17,11-Oct-17,12-Oct-17,13-Oct-17,14-Oct-17,15-Oct-17,16-Oct-17,17-Oct-17,18-Oct-17,19-Oct-17,20-Oct-17,21-Oct-17,22-Oct-17,23-Oct-17,Capacity_y,24-Oct-17,25-Oct-17,26-Oct-17,27-Oct-17,28-Oct-17,29-Oct-17,30-Oct-17,31-Oct-17,Avg Population
Rankin Satellite Facility,178,161,162,160,158,157,151,151,151,154,152,152,152,149,149,148,153,153,163,163,159,159,159,162,,178,165,162,162,159,159,159,159,155,157
Rankin RID,28,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,13,13,13,13,13,13,,28,13,13,11,11,11,11,11,11,11
Flowood TVC,50,7,7,7,7,5,18,18,18,17,17,17,17,16,16,17,15,15,15,15,21,21,21,21,,50,21,21,21,23,23,23,21,21,17
Simpson TVC,82,75,75,75,74,74,81,81,81,81,80,76,75,82,82,82,81,80,73,71,77,76,74,73,,82,75,75,75,81,80,80,76,79,77
Simpson TVC Support,20,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,12,12,12,,20,12,12,12,12,12,12,12,12,13
Washington Satellite Facility,60,55,57,59,59,59,59,59,59,59,59,59,60,59,58,58,58,58,58,58,57,57,57,58,,60,57,57,57,56,56,56,56,55,58
Wilkinson Satellite Facility,62,57,57,56,56,57,53,53,53,56,54,54,54,54,54,54,57,55,55,60,59,59,59,58,,62,56,55,57,57,57,57,57,57,56
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,494","3,803","3,801","3,804","3,819","3,827","3,846","3,842","3,841","3,857","3,941","3,944","3,971","4,024","4,022","4,021","4,037","4,077","4,121","4,133","4,182","4,181","4,180","4,173",,"4,494","4,172","4,167","4,199","4,216","4,215","4,214","4,220","4,229",4028
Alcorn County,300,236,240,240,240,240,238,238,238,238,258,257,266,269,269,269,289,289,290,289,289,289,289,289,,300,288,288,288,288,288,288,288,288,269
Bolivar County,369,294,293,292,292,292,292,291,291,291,293,290,291,290,290,290,294,294,294,292,292,292,292,291,,369,291,288,293,292,291,291,290,289,292
Carroll County,280,259,259,259,264,264,262,262,262,268,275,274,274,279,279,278,276,276,279,278,278,278,277,275,,280,275,274,273,273,273,273,272,272,272
Chickasaw County,310,283,283,283,288,288,288,288,288,299,308,316,316,311,311,311,310,309,310,309,309,309,309,309,,310,309,307,308,308,308,308,306,303,303
George County,280,272,273,273,274,272,270,270,269,272,279,278,279,279,278,278,277,276,275,275,275,275,275,274,,280,279,277,289,299,299,299,296,306,279
Holmes County,280,222,221,220,220,222,222,222,222,222,222,226,226,229,228,229,227,227,229,229,240,240,240,238,,280,237,237,243,242,242,242,255,255,231
Issaquena County,274,274,272,273,273,273,273,273,273,271,273,271,271,271,271,271,271,274,273,273,272,271,271,273,,274,273,272,274,274,274,274,274,274,273
Jefferson County,280,274,273,272,277,280,280,279,279,279,278,276,276,276,276,276,276,276,276,276,279,279,279,278,,280,277,277,275,278,278,278,278,278,277
Kemper County,355,343,343,343,343,348,350,349,349,349,349,349,349,349,349,349,351,351,352,351,352,352,352,351,,355,351,351,351,350,350,350,352,353,349
Leake County,280,200,200,200,199,197,197,197,197,197,197,199,199,199,199,199,198,199,200,200,200,200,200,200,,280,199,199,200,200,200,200,200,200,199
Marion County,280,221,221,223,223,223,223,223,223,223,243,240,240,260,260,260,259,259,258,279,279,279,279,276,,280,280,279,279,278,278,278,277,280,254
Stone County,326,261,260,260,260,261,261,260,260,260,278,279,283,299,299,299,299,299,310,310,324,324,324,323,,326,323,323,329,327,327,327,327,327,296
Washington County,300,204,204,209,209,209,233,233,233,232,232,234,234,234,234,234,234,234,232,229,234,234,234,233,,300,228,227,225,237,237,237,236,236,229
Winston County,280,220,220,218,218,219,219,219,219,218,218,216,221,219,219,219,217,238,257,254,270,270,270,274,,280,276,276,274,273,273,273,274,273,242
Yazoo County,300,240,239,239,239,239,238,238,238,238,238,239,246,260,260,259,259,276,286,289,289,289,289,289,,300,286,292,298,297,297,296,295,295,266
PRIVATE PRISONS,"5,972","3,075","3,081","3,085","3,080","3,084","3,078","3,078","3,078","3,077","3,076","3,067","3,066","3,070","3,069","3,067","3,064","3,059","3,057","3,054","3,073","3,072","3,072","3,072",,"5,972","3,084","3,092","3,106","3,118","3,118","3,117","3,114","3,117",3080
Delta,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,972,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,192","1,189","1,187","1,184","1,183","1,182","1,182","1,182","1,181","1,180","1,174","1,179","1,178","1,177","1,176","1,175","1,173","1,171","1,169","1,176","1,176","1,176","1,177",,"1,500","1,189","1,197","1,211","1,226","1,226","1,225","1,224","1,226",1187
Marshall County,"1,000",995,994,"1,000",999,998,998,998,998,998,"1,000",999,997,999,999,999,999,998,"1,000","1,000","1,000",999,999,998,,"1,000",998,999,998,996,996,996,996,"1,000",998
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,500",0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",888,898,898,897,903,898,898,898,898,896,894,890,893,893,892,890,888,886,885,897,897,897,897,,"1,000",897,896,897,896,896,896,894,891,895
RESTITUTION CENTERS,16,13,13,12,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,,16,11,10,10,10,10,10,10,10,11
Greenwood,6,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,,6,4,4,4,4,4,4,4,4,4
Hinds,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,6,4,3,3,3,3,3,3,3,5
Pascagoula,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,4,3,3,3,3,3,3,3,3,3
TRANSITIONAL HOUSING,164,41,42,44,43,42,42,42,42,42,42,42,42,42,42,42,41,42,43,42,42,42,42,46,,164,48,47,47,47,47,47,47,47,43
Madison,40,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,,40,3,3,3,3,3,3,3,3,3
Noxubee,34,33,33,35,34,33,33,33,33,33,33,32,32,32,32,32,31,31,31,30,30,30,30,34,,34,36,36,36,36,36,36,36,36,33
Rankin/Flowood,8,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,,8,6,5,5,5,5,5,5,5,5
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42,0,0,0,0,0,0,0,0,0
Wilkinson,40,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,,40,3,3,3,3,3,3,3,3,2
TOTALS,"24,095","19,144","19,168","18,955","19,134","19,166","19,147","19,137","19,142","19,176","19,193","19,185","19,176","19,154","19,153","19,150","19,156","19,165","19,144","19,129","19,130","19,122","19,117","18,840",,"24,095","19,182","19,197","19,219","19,183","19,181","19,176","19,192","19,182","19,144"
