Location,Capacity_x_x,1-Jun-15,2-Jun-15,3-Jun-15,4-Jun-15,5-Jun-15,6-Jun-15,7-Jun-15,8-Jun-15,9-Jun-15,Capacity_y_x,10-Jun-15,11-Jun-15,12-Jun-15,13-Jun-15,14-Jun-15,15-Jun-15,16-Jun-15,17-Jun-15,18-Jun-15,Capacity_x_y,19-Jun-15,20-Jun-15,21-Jun-15,22-Jun-15,23-Jun-15,24-Jun-15,25-Jun-15,26-Jun-15,27-Jun-15,Capacity_y_y,28-Jun-15,29-Jun-15,30-Jun-15,Avg Population
Wilkinson Satellite Facility,102,52,52,52,57,54,54,54,55,54,102,59,59,57,57,57,57,57,57,57,102,57,56,56,57,57,56,56,55,55,102,55,49,49,55
Yazoo Satellite Facility,102,80,80,80,79,79,79,79,81,81,102,81,81,80,80,80,80,80,80,80,102,80,79,79,80,80,79,79,78,78,102,78,79,79,80
REGIONAL CORRECTIONAL FACILITIES,"4,438","4,132","4,144","4,144","4,140","4,146","4,144","4,144","4,165","4,161","4,438","4,171","4,172","4,167","4,167","4,167","4,167","4,168","4,167","4,168","4,438","4,156","4,154","4,152","4,167","4,176","4,161","4,162","4,147","4,145","4,438","4,145","4,195","4,195","4,160"
Alcorn County,300,300,300,300,297,297,297,297,295,295,300,301,300,300,300,300,300,300,300,300,300,300,299,299,300,300,299,299,298,298,300,298,298,298,299
Bolivar County,369,346,347,347,347,347,347,347,347,347,369,347,347,344,344,344,344,344,344,344,369,344,343,343,344,344,343,343,342,342,369,342,365,365,346
Carroll County,280,273,272,272,271,271,270,270,270,270,280,271,271,266,266,266,266,266,266,266,280,265,265,265,266,266,265,265,264,264,280,264,264,264,267
Chickasaw County,300,298,299,299,299,299,299,299,300,298,300,296,300,299,299,299,299,299,299,299,300,298,298,298,299,299,298,298,297,297,300,297,300,300,299
George County,280,263,261,261,259,259,259,259,260,259,280,262,265,265,265,265,265,265,265,265,280,264,264,264,265,265,264,264,263,263,280,263,265,265,263
Holmes County,280,259,259,259,257,256,256,256,259,259,280,259,260,262,262,262,262,262,262,262,280,261,261,261,262,262,261,261,260,260,280,260,265,265,260
Issaquena County,274,254,261,261,259,256,256,256,255,255,274,253,251,248,248,248,248,248,248,248,274,247,247,247,248,249,248,248,247,247,274,247,247,247,251
Jefferson County,280,263,264,264,261,262,262,262,264,265,280,265,265,263,263,263,263,263,263,263,280,262,262,262,263,264,263,263,262,262,280,262,255,255,262
Kemper County,355,334,335,335,332,330,330,330,331,334,355,336,333,341,341,341,341,341,341,341,355,340,340,340,341,342,341,341,340,340,355,340,330,330,337
Leake County,280,252,251,251,256,264,263,263,260,260,280,256,253,260,260,260,260,260,260,260,280,259,259,259,260,261,260,260,259,259,280,259,270,270,259
Marion County,280,263,266,266,266,266,266,266,268,267,280,268,269,267,267,267,267,267,267,267,280,266,266,266,267,268,267,267,266,266,280,266,269,269,267
Stone County,280,269,271,271,271,271,271,271,272,272,280,272,273,273,273,273,273,273,273,273,280,272,272,272,273,274,273,273,272,272,280,272,272,272,272
Washington County,300,231,228,228,228,228,228,228,228,228,300,230,230,230,230,230,230,230,230,230,300,229,229,229,230,231,230,230,229,229,300,229,228,228,229
Winston County,280,257,253,253,253,253,253,253,266,263,280,266,267,263,263,263,263,263,263,263,280,264,263,262,263,264,263,263,262,261,280,261,273,273,262
Yazoo County,300,270,277,277,284,287,287,287,290,289,300,289,288,286,286,286,286,287,286,287,300,285,286,285,286,287,286,287,286,285,300,285,294,294,286
PRIVATE PRISONS,"5,972","3,966","3,959","3,959","3,951","3,953","3,950","3,950","3,950","3,955","5,972","3,945","3,947","3,940","3,940","3,940","3,940","3,944","3,940","3,944","5,972","3,936","3,940","3,936","3,938","3,942","3,934","3,938","3,934","3,930","5,972","3,931","3,905","3,904","3,941"
Delta,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0
East Mississippi,"1,500","1,128","1,132","1,132","1,131","1,131","1,130","1,130","1,131","1,130","1,500","1,130","1,130","1,127","1,127","1,127","1,127","1,128","1,127","1,128","1,500","1,126","1,127","1,126","1,127","1,128","1,126","1,127","1,126","1,125","1,500","1,125","1,134","1,133","1,129"
Marshall County,"1,000",999,999,999,999,999,998,998,998,997,"1,000",994,993,994,994,994,994,995,994,995,"1,000",993,994,993,994,995,993,994,993,992,"1,000",993,997,997,995
Walnut Grove,"1,500",949,933,933,932,931,930,930,931,929,"1,500",922,926,922,922,922,922,923,922,923,"1,500",921,922,921,921,922,920,921,920,919,"1,500",919,917,917,925
Wilkinson County,"1,000",890,895,895,889,892,892,892,890,899,"1,000",899,898,897,897,897,897,898,897,898,"1,000",896,897,896,896,897,895,896,895,894,"1,000",894,857,857,893
RESTITUTION CENTERS,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,18,15,18,16,0,0,0,0,0,0,0,0,0,16,3,14,14,14
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,6,5,6,5,5,6,4,5,3,2,6,2,5,5,5
Hinds,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,5,6,6,4,5,4,4,5,3,4,2,1,6,1,6,6,5
Pascagoula,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,3,4,3,3,4,2,3,1,0,4,0,3,3,3
TOTALS,"25,737","18,947","18,975","18,975","18,991","19,005","18,991","18,991","19,045","19,062","25,737","19,056","19,059","19,045","19,040","19,031","19,033","19,039","19,048","19,039","25,737","19,013","18,994","18,988","19,027","19,043","18,993","19,001","18,952","18,943","25,737","18,933","18,937","18,936","19,004"
