Location,Capacity_x,1-Feb-17,2-Feb-17,3-Feb-17,4-Feb-17,5-Feb-17,6-Feb-17,7-Feb-17,8-Feb-17,9-Feb-17,10-Feb-17,Capacity_y,11-Feb-17,12-Feb-17,13-Feb-17,14-Feb-17,15-Feb-17,16-Feb-17,17-Feb-17,18-Feb-17,19-Feb-17,20-Feb-17,21-Feb-17,Capacity,22-Feb-17,23-Feb-17,24-Feb-17,25-Feb-17,26-Feb-17,27-Feb-17,28-Feb-17 Avg Population,Unnamed: 9
Rankin Satellite Facility,182,163,162,161,160,160,163,162,164,165,163,182,163,163,164,162,163,164,163,163,163,164,164,182,164,164,160,160,160,162,162,163
Rankin RID,28,2,2,2,2,2,2,2,2,2,2,28,2,2,2,2,2,2,2,2,2,2,2,28,2,2,2,2,2,2,2,3
Flowood TVC,50,17,17,24,24,24,24,23,22,22,26,50,25,25,24,22,22,21,21,21,21,21,21,50,21,21,21,21,21,21,21,23
Simpson TVC,82,44,43,51,49,49,47,46,48,44,57,82,57,57,56,54,55,55,66,66,65,65,63,82,61,62,72,72,70,69,69,58
Simpson TVC Support,20,17,17,17,16,16,16,15,14,13,13,20,13,13,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,13,13,14
Washington Satellite Facility,102,72,67,67,67,67,68,68,68,68,68,102,68,68,68,68,73,73,73,71,71,71,70,102,70,70,67,67,67,71,71,70
Wilkinson Satellite Facility,102,65,65,61,61,61,66,66,64,63,62,102,62,62,63,63,63,63,63,61,61,63,63,102,62,62,63,63,63,67,66,64
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcorn County,300,240,238,238,237,237,237,237,240,240,240,300,240,240,240,240,240,240,240,240,240,239,239,300,239,239,239,239,239,238,235,241
Bolivar County,369,291,293,293,293,293,293,292,293,291,294,369,294,294,294,293,294,292,293,293,293,293,292,369,294,294,294,294,294,292,291,296
Carroll County,280,224,224,224,224,224,224,224,224,224,224,280,224,224,224,224,224,224,224,224,224,224,224,280,233,242,262,262,262,262,262,233
Chickasaw County,310,248,248,248,248,248,248,247,248,247,247,310,247,247,247,247,248,248,248,248,248,248,248,310,247,247,247,247,247,256,266,251
George County,280,221,224,223,223,223,223,221,224,221,221,280,221,221,220,223,223,223,223,222,222,222,223,280,222,222,223,222,222,221,220,224
Holmes County,280,221,222,222,222,222,224,223,223,222,224,280,224,224,224,224,224,224,226,226,226,226,226,280,226,226,226,226,226,226,225,226
Issaquena County,274,273,273,274,274,274,274,274,274,274,274,274,274,274,274,273,273,274,272,271,271,270,270,274,274,274,274,274,274,274,274,273
Jefferson County,280,277,280,280,279,279,279,279,279,278,278,280,278,278,277,279,279,279,279,279,278,278,277,280,277,278,278,278,278,278,278,278
Kemper County,355,348,352,352,352,352,348,346,352,346,348,355,348,348,347,348,347,348,342,342,342,342,350,355,349,348,349,349,349,349,351,348
Leake County,280,199,196,199,199,199,198,198,198,199,199,280,199,199,198,199,200,199,199,199,199,199,199,280,199,200,200,200,200,200,199,202
Marion County,280,250,248,247,247,247,247,246,246,245,244,280,244,244,244,244,243,243,242,242,242,242,240,280,239,239,239,239,239,239,239,244
Stone County,326,304,303,302,302,302,302,302,301,301,301,326,301,301,299,300,299,298,298,298,298,298,299,326,299,297,296,296,296,296,295,300
Washington County,300,217,215,211,211,211,211,211,218,214,214,300,214,214,214,213,213,212,210,210,210,209,208,300,207,206,204,204,204,203,202,213
Winston County,280,217,223,224,224,224,224,224,224,222,219,280,219,219,218,222,222,222,218,218,218,218,221,280,221,223,223,223,223,221,227,223
Yazoo County,300,238,240,240,240,240,240,240,241,241,241,300,241,241,240,240,240,239,239,239,239,239,237,300,236,236,239,239,239,239,241,242
PRIVATE PRISONS,"5,972","3,078","3,078","3,079","3,077","3,077","3,076","3,076","3,073","3,070","3,071","5,972","3,070","3,069","3,070","3,067","3,070","3,067","3,068","3,065","3,064","3,057","3,062","5,972","3,067","3,051","3,055","3,053","3,051","3,047","3,024",3060
Delta,972,0,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,181","1,181","1,180","1,180","1,180","1,180","1,179","1,178","1,176","1,176","1,500","1,175","1,175","1,177","1,176","1,175","1,173","1,172","1,172","1,172","1,169","1,175","1,500","1,175","1,175","1,176","1,175","1,174","1,172","1,155",1173
Marshall County,"1,000","1,000",999,"1,000",999,999,998,999,998,998,999,"1,000",999,998,"1,000",999,998,998,"1,000","1,000","1,000",997,996,"1,000",997,996,"1,000","1,000",999,998,995,998
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,0,0,0,0,0
Wilkinson County,"1,000",897,898,899,898,898,898,898,897,896,896,"1,000",896,896,893,892,897,896,896,893,892,891,891,"1,000",895,880,879,878,878,877,874,889
RESTITUTION CENTERS,16,14,14,14,14,14,11,11,11,11,13,16,13,13,13,13,13,13,13,13,13,13,11,16,12,14,13,13,13,14,14,13
Greenwood,6,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,6,4,4,3,3,3,4,4,4
Hinds,6,6,6,6,6,6,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,4,6,4,6,6,6,6,6,6,6
Pascagoula,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3
TOTALS,"24,223","18,924","18,991","18,954","18,944","18,944","18,963","18,956","18,996","18,997","19,013","24,223","19,003","19,000","19,009","19,014","19,029","19,060","19,076","19,064","19,058","19,056","19,078","24,223","19,088","19,086","19,103","19,096","19,093","19,130","19,106",19103
