Location,Capacity_x,1-Oct-04,2-Oct-04,3-Oct-04,4-Oct-04,5-Oct-04,6-Oct-04,7-Oct-04,8-Oct-04,9-Oct-04,10-Oct-04,11-Oct-04,12-Oct-04,13-Oct-04,14-Oct-04,15-Oct-04,16-Oct-04,17-Oct-04,18-Oct-04,Capacity_y,19-Oct-04,20-Oct-04,21-Oct-04,22-Oct-04,23-Oct-04,24-Oct-04,25-Oct-04,26-Oct-04,27-Oct-04,28-Oct-04,29-Oct-04,30-Oct-04,31-Oct-04
Jackson Satellite Facility,102,92,92,92,94,97,96,96,94,94,94,99,99,99,99,97,97,97,98,102,98,98,98,94,94,94,99,100,99,98,96,96,96
Jefferson Satellite Facility,102,91,91,91,95,95,95,94,90,90,90,94,100,101,101,99,99,99,101,102,101,100,101,98,98,98,101,101,101,101,98,98,98
Leflore Satellite Facility,102,95,95,95,95,95,95,95,92,91,91,99,97,96,96,92,92,92,95,102,95,95,100,95,95,95,101,101,101,100,96,96,96
Madison Satellite Facility,102,99,99,99,100,100,100,99,100,100,99,100,101,100,97,97,97,97,102,102,101,101,101,100,100,100,100,101,101,100,102,102,101
Noxubee Satellite Facility,92,86,86,86,92,91,90,87,90,90,90,91,91,91,91,91,91,91,90,92,90,90,90,90,90,90,92,91,91,90,88,88,88
Pike Satellite Facility,93,60,60,60,61,61,64,63,62,60,60,60,60,61,60,58,58,58,59,93,59,58,57,54,54,54,54,53,58,58,56,56,56
Quitman Satellite Facility,93,83,82,82,82,82,83,82,81,81,81,84,84,84,83,79,79,79,83,93,83,85,84,82,82,82,83,83,83,83,81,81,81
Rankin Satellite Facility,228,218,217,217,220,221,221,221,219,217,217,218,221,221,219,214,214,214,219,228,219,218,219,216,216,216,218,219,219,219,216,214,214
Simpson Satellite Facility,102,100,100,100,100,99,99,99,100,100,100,99,99,100,100,95,95,95,100,102,100,102,102,96,96,97,101,101,99,100,100,100,100
Washington Satellite Facility,102,93,93,93,94,94,94,93,92,92,90,92,92,92,92,90,87,87,88,102,88,87,87,88,88,88,95,96,96,102,99,99,99
Wilkinson Satellite Facility,102,84,83,84,87,87,87,87,96,96,96,96,95,93,93,92,92,92,93,102,93,92,91,88,88,88,88,85,85,85,82,82,82
Yazoo Satellite Facility,102,98,97,98,98,98,93,99,96,96,96,100,102,102,101,100,100,100,100,102,100,102,101,93,93,93,101,101,102,102,101,101,101
REGIONAL CORRECTIONAL FACILITIES,"2,750","2,732","2,730","2,728","2,737","2,746","2,739","2,741","2,738","2,738","2,737","2,739","2,741","2,742","2,745","2,748","2,748","2,747","2,747","2,750","2,747","2,742","2,742","2,743","2,741","2,740","2,745","2,743","2,743","2,739","2,748","2,736","2,735"
Bolivar County,250,247,247,247,248,248,248,248,248,248,248,248,249,249,250,250,250,250,250,250,250,250,248,249,249,249,249,248,248,250,249,249,249
Carroll County,250,248,248,248,250,250,249,250,249,249,249,249,249,250,250,250,250,250,249,250,249,248,250,250,250,250,250,250,250,247,250,250,250
George County,250,250,250,250,250,250,246,246,249,249,249,249,249,248,249,250,250,250,250,250,250,249,249,250,250,249,249,250,250,250,250,242,241
Holmes County,250,249,249,249,250,249,249,250,250,250,250,250,250,250,249,249,249,249,250,250,249,249,249,249,249,249,250,250,250,250,250,249,249
Issaquena County,250,243,242,242,244,249,248,248,245,245,244,248,248,248,250,250,250,250,250,250,250,247,246,249,249,249,250,248,247,246,250,250,250
Jefferson County,250,249,249,249,250,250,250,250,249,249,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,249,248,248
Kemper County,250,250,250,250,250,250,249,249,250,250,250,249,249,250,250,250,250,250,250,250,249,249,250,248,247,247,249,249,250,250,250,250,250
Leake County,250,249,248,248,249,250,250,250,250,250,250,249,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,249,250,250,250,250
Marion County,250,250,250,250,250,250,250,250,250,250,250,249,248,250,249,249,249,249,250,250,250,250,250,250,250,250,249,250,250,250,250,250,250
Stone County,250,248,248,248,249,250,250,250,249,249,249,249,250,249,250,250,250,250,250,250,250,250,250,249,248,248,250,249,250,249,250,249,249
Winston County,250,249,249,247,247,250,250,250,249,249,249,249,249,248,248,250,250,249,248,250,250,250,250,249,249,249,249,249,249,248,250,249,249
PRIVATE PRISONS,"5,088","4,616","4,614","4,614","4,619","4,618","4,620","4,603","4,627","4,626","4,623","4,625","4,631","4,626","4,620","4,621","4,622","4,621","4,631","5,088","4,629","4,628","4,620","4,626","4,623","4,623","4,686","4,689","4,695","4,691","4,687","4,683","4,683"
Delta,960,957,956,956,957,960,959,959,958,957,956,958,958,959,958,959,959,959,961,960,960,960,957,957,956,956,957,959,957,957,957,957,957
East MS,"1,000",870,870,870,870,869,869,869,875,875,875,874,873,872,870,868,868,868,865,"1,000",865,864,864,861,860,860,860,860,868,868,866,865,865
Marshall County,"1,000",994,993,993,993,991,994,994,994,995,995,995,995,993,993,991,992,991,996,"1,000",994,994,992,995,995,995,994,994,993,993,992,991,991
Tallahatchie County,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,56,56,56,56,56,56,56
Walnut Grove,"1,000",804,804,804,804,804,807,798,808,808,808,809,810,810,807,808,808,808,814,"1,000",815,815,813,820,820,820,824,826,827,825,828,827,827
Wilkinson County,"1,000",991,991,991,995,994,991,983,992,991,989,989,995,992,992,995,995,995,995,"1,000",995,995,994,993,992,992,995,994,994,992,988,987,987
RESITITUTION CENTERS,18,10,11,11,12,12,12,12,10,10,10,12,12,12,12,10,10,10,14,18,13,13,13,13,13,13,13,12,12,13,13,13,13
Greenwood,6,5,5,5,5,5,5,5,3,3,3,5,5,5,5,3,3,3,5,6,5,5,5,5,5,5,5,5,5,6,6,6,6
Hinds,6,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4
Pascagoula,6,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5
E-CODE,,35,34,32,2,3,3,5,55,55,54,6,3,3,3,44,43,43,2,,2,4,2,71,71,71,7,8,8,7,46,45,45
TOTALS,"22,088","21,263","21,248","21,244","21,249","21,251","21,250","21,222","21,202","21,190","21,184","21,190","21,195","21,185","21,203","21,197","21,194","21,185","21,194","22,088","21,205","21,210","21,211","21,211","21,195","21,192","21,193","21,207","21,200","21,178","21,172","21,152","21,143"
