Location,Capacity_x,1-Apr-18,Unnamed: 3,2-Apr-18,3-Apr-18,4-Apr-18,5-Apr-18,6-Apr-18,7-Apr-18,8-Apr-18,9-Apr-18,10-Apr-18,11-Apr-18,12-Apr-18,13-Apr-18,14-Apr-18,15-Apr-18,16-Apr-18,17-Apr-18,Capacity_y,18-Apr-18,19-Apr-18,20-Apr-18,21-Apr-18,22-Apr-18,23-Apr-18,24-Apr-18,25-Apr-18,26-Apr-18,27-Apr-18,28-Apr-18,29-Apr-18,30-Apr-18,Avg Population
Chickasaw County,310,302,302,301,295,295,294,294,294,294,293,292,291,290,290,290,290,289,,310,287,287,287,287,287,286,286,286,287,287,286,286,286,291
George County,342,330,329,317,315,315,312,312,312,314,311,260,259,259,259,259,257,257,,342,257,257,250,250,250,247,246,246,245,242,241,241,239,273
Holmes County,280,276,276,270,266,268,266,266,266,266,265,265,265,265,265,265,265,254,,280,254,250,250,250,250,250,251,251,251,251,251,251,251,260
Issaquena County,274,265,264,263,263,262,262,262,262,262,251,251,248,247,247,247,245,244,,274,244,249,249,249,249,249,249,249,249,249,249,249,249,253
Jefferson County,280,277,275,275,274,274,274,274,274,273,273,271,270,270,270,270,269,269,,280,251,260,260,260,260,260,260,269,269,268,268,267,267,268
Kemper County,355,335,335,333,327,327,326,326,325,323,323,323,323,322,322,322,319,265,,355,256,255,250,250,250,250,250,260,258,260,260,260,260,293
Leake County,280,271,270,269,273,273,272,271,269,268,267,266,263,262,262,262,257,257,,280,252,251,247,247,247,246,246,246,246,243,242,242,242,258
Marion County,280,279,279,277,277,276,276,276,276,276,273,273,273,242,242,242,241,240,,280,250,250,250,250,250,250,250,260,260,270,270,270,269,262
Stone County,326,323,322,320,319,319,317,317,317,316,316,315,265,265,265,265,264,264,,326,264,250,250,250,250,250,250,250,249,249,249,249,249,278
Washington County,300,205,205,202,200,195,194,194,194,194,194,194,194,193,193,193,190,190,,300,190,189,189,189,189,189,189,189,189,189,189,189,189,193
Winston County,280,271,271,268,264,262,261,261,261,261,259,259,259,256,256,256,252,252,,280,252,250,247,247,247,245,243,256,254,253,253,253,253,256
Yazoo County,300,298,292,291,290,289,289,289,289,283,282,281,279,276,276,276,255,248,,300,247,249,249,249,249,249,249,248,247,247,247,247,245,267
PRIVATE PRISONS,"5,972","3,148","3,147","3,146","3,166","3,168","3,163","3,162","3,160","3,155","3,151","3,148","3,176","3,191","3,191","3,191","3,196","3,193",,"5,972","3,205","3,182","3,209","3,209","3,209","3,220","3,227","3,222","3,222","3,221","3,219","3,219","3,216","3,188"
Delta,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,251","1,250","1,249","1,246","1,246","1,244","1,244","1,244","1,240","1,239","1,237","1,249","1,262","1,262","1,262","1,268","1,267",,"1,500","1,281","1,279","1,278","1,278","1,278","1,290","1,299","1,298","1,299","1,294","1,293","1,293","1,292",1267
Marshall County,"1,000",999,999,999,998,"1,000",999,998,997,997,997,996,996,"1,000","1,000","1,000",999,"1,000",,"1,000",999,978,998,998,998,998,996,995,994,"1,000","1,000","1,000",999,998
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",898,898,898,922,922,920,920,919,918,915,915,931,929,929,929,929,926,,"1,000",925,925,933,933,933,932,932,929,929,927,926,926,925,923
RESTITUTION CENTERS,16,11,11,11,12,6,6,6,6,6,6,6,6,6,6,6,6,6,,16,6,6,6,6,6,6,6,6,6,6,6,6,6,7
Greenwood (closed),6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hinds,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Pascagoula,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
TRANSITIONAL HOUSING,164,78,81,44,46,46,46,46,46,46,48,48,48,26,26,26,26,26,,164,26,26,26,26,26,26,25,25,25,25,25,25,25,36
Madison,40,40,41,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,40,4,4,4,4,4,4,4,4,4,4,4,4,4,6
Noxubee,34,27,29,29,29,29,29,29,29,29,31,31,31,11,11,11,11,11,,34,11,11,11,11,11,11,11,11,11,11,11,11,11,18
Rankin/Flowood,8,11,11,11,13,13,13,13,13,13,13,13,13,11,11,11,11,11,,8,11,11,11,11,11,11,10,10,10,10,10,10,10,11
Washington (closed),42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson (closed),40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTALS,"24,627","19,179","19,199","19,191","19,209","18,907","19,179","19,175","19,164","19,194","19,203","19,209","19,224","19,261","19,250","19,248","19,236","19,259",,"24,627","19,279","19,265","19,291","19,300","19,294","19,328","19,293","19,315","19,344","19,336","19,329","19,327","19,317","19,244"
