Location,Capacity_x,1-Mar-20,2-Mar-20,3-Mar-20,4-Mar-20,5-Mar-20,6-Mar-20,7-Mar-20,8-Mar-20,9-Mar-20,10-Mar-20,11-Mar-20,12-Mar-20,13-Mar-20,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,Capacity_y,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,31-Mar-20,Avg Population
Delta TVC,324,160,172,168,173,172,168,164,164,162,161,173,172,167,167,167,166,166,324,164,157,151,151,150,149,149,148,146,146,145,143,139,139,159
Forrest Satellite Facility,96,52,58,58,58,58,56,56,56,56,56,55,55,55,55,55,55,55,96,55,88,88,88,88,87,87,84,83,83,83,83,82,82,68
George Satellite Facility,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Satellite Facility,102,40,39,39,38,37,36,36,36,33,34,34,34,34,34,34,34,34,102,33,33,33,33,33,33,33,33,32,32,32,32,32,31,34
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,62,63,62,61,60,60,60,60,58,58,57,55,55,55,55,55,55,62,55,55,55,55,55,55,54,54,54,54,54,54,54,54,57
Noxubee Satellite Facility,58,39,39,39,39,37,42,42,42,42,41,41,41,41,41,41,41,41,58,41,41,41,41,41,41,41,41,41,41,41,41,40,39,41
Pike Satellite Facility,93,77,77,77,77,77,77,77,77,78,78,77,77,76,76,76,76,76,93,75,92,92,92,92,92,91,91,91,91,91,91,91,91,83
Quitman Satellite Facility,93,71,71,71,66,66,67,67,67,65,66,66,66,59,59,59,59,59,93,59,59,59,59,59,59,57,56,56,55,55,55,55,55,61
Rankin Satellite Facility,178,126,138,150,148,151,148,148,148,150,150,150,149,149,149,149,147,147,178,147,147,147,147,147,146,146,145,144,143,143,143,143,143,146
Rankin SF (RRD),28,16,16,18,18,18,18,18,18,18,18,18,18,16,16,16,16,16,28,16,16,16,16,16,16,16,16,16,16,16,16,16,15,17
Flowood TVC,50,14,14,14,14,13,12,12,12,18,18,16,16,16,16,15,14,14,50,14,14,14,12,12,12,12,12,12,12,12,12,12,12,14
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,55,54,56,56,54,49,49,49,52,52,52,52,52,52,52,52,52,62,50,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,579","4,337","4,332","4,344","4,358","4,360","4,355","4,355","4,355","4,359","4,354","4,355","4,362","4,360","4,350","4,350","4,340","4,340","4,579","4,329","4,322","4,313","4,311","4,308","4,305","4,301","4,292","4,281","4,272","4,270","4,270","4,268","4,257",4325
Alcorn County,300,290,290,289,297,299,299,299,299,299,299,299,299,299,299,299,298,298,300,298,298,298,298,298,298,298,297,297,296,296,296,296,294,297
Bolivar County,369,284,284,291,291,291,289,289,289,287,287,287,294,293,290,290,290,290,369,290,289,289,289,288,289,289,289,287,286,285,285,285,285,288
Carroll County,280,268,267,266,271,271,270,270,270,269,269,269,269,269,268,268,268,268,280,268,268,268,267,267,266,266,266,266,264,264,264,264,262,267
Chickasaw County,310,308,308,309,307,307,309,309,309,308,308,308,308,308,307,307,307,307,310,307,307,307,307,307,307,307,305,305,305,305,305,305,305,307
George County,342,338,338,341,341,341,340,340,340,340,339,337,340,339,338,338,336,336,342,334,334,334,334,334,334,334,334,332,332,332,332,332,332,336
Holmes County,280,274,274,273,274,274,273,273,273,274,272,272,272,272,272,272,272,272,280,272,272,271,271,271,271,271,270,270,270,270,270,269,268,272
Issaquena County,297,319,318,317,316,316,313,313,313,313,311,311,311,311,311,311,311,311,297,310,310,310,310,310,310,310,311,311,311,311,311,311,310,312
Jefferson County,280,280,279,278,278,278,277,277,277,276,275,276,276,276,276,276,274,274,280,274,272,271,271,271,269,269,269,267,266,266,266,266,264,273
Kemper County,355,336,335,342,339,339,344,344,344,344,342,341,339,339,339,339,337,337,355,332,331,331,330,330,330,328,325,325,325,325,325,325,324,334
Leake County,280,269,269,269,276,276,271,271,271,267,267,269,269,269,267,267,267,267,280,267,267,267,267,266,266,266,266,264,262,261,261,261,261,267
Marion County,280,400,399,399,399,399,399,399,399,399,398,398,397,397,397,397,397,397,280,397,396,394,394,394,394,394,393,392,391,391,391,390,390,396
Stone County,326,280,280,280,280,280,280,280,280,279,278,280,280,280,279,279,279,279,326,278,278,276,276,276,276,276,276,276,276,276,276,276,276,278
Washington County,300,141,141,141,141,141,141,141,141,141,147,146,146,146,146,146,144,144,300,144,144,142,142,142,142,142,141,141,141,141,141,141,140,143
Winston County,280,268,268,266,264,264,264,264,264,268,267,267,267,267,266,266,265,265,280,263,262,261,261,261,260,259,258,256,256,256,256,256,255,263
Yazoo County,300,282,282,283,284,284,286,286,286,295,295,295,295,295,295,295,295,295,300,295,294,294,294,293,293,292,292,292,291,291,291,291,291,291
PRIVATE PRISONS,"6,000","3,908","3,930","3,926","3,925","3,924","3,926","3,926","3,925","3,921","3,926","3,932","3,929","3,929","3,929","3,929","3,926","3,926","6,000","3,923","3,917","3,916","3,916","3,915","3,916","3,914","3,931","3,909","3,909","3,929","3,909","3,906","3,906",3521
Tallahatchie County,"1,000",825,848,847,847,847,850,850,850,850,850,850,850,850,850,850,849,849,"1,000",849,849,849,849,849,849,849,849,849,849,849,849,849,849,848
East Mississippi,"1,500","1,223","1,221","1,218","1,216","1,216","1,217","1,217","1,217","1,214","1,217","1,218","1,214","1,214","1,214","1,214","1,212","1,212","1,500","1,210","1,208","1,207","1,207","1,206","1,207","1,206","1,204","1,203","1,203","1,203","1,203","1,203","1,202",1211
Marshall County,"1,000",992,991,990,989,989,989,989,989,989,989,994,995,995,995,995,995,995,"1,000",994,993,993,993,993,993,992,992,991,991,991,991,991,990,992
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",868,870,871,873,872,870,870,869,868,870,870,870,870,870,870,870,870,"1,000",870,867,867,867,867,867,867,886,866,866,886,866,866,865,469
RESTITUTION CENTERS,10,5,5,5,5,5,4,4,4,5,5,5,6,5,5,5,5,5,10,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Pascagoula,4,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
TRANSITIONAL HOUSING,122,22,22,46,45,34,34,34,33,33,0,31,30,30,30,30,30,30,122,30,29,29,29,29,30,30,30,30,28,28,28,29,28,31
Madison,40,4,4,4,3,3,3,3,3,4,3,3,2,2,2,2,2,2,40,2,1,1,1,1,2,2,2,2,2,2,2,3,2,2
Noxubee,34,15,15,36,36,24,24,24,24,24,24,24,24,24,24,24,24,24,34,24,24,24,24,24,24,24,24,24,22,22,22,22,22,24
Rankin/Flowood,8,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,1,1,2,2,3,3,3,2,1,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TOTALS,"24,670","18,886","18,916","18,913","18,911","18,896","18,911","18,909","18,908","18,907","18,891","18,896","18,898","18,887","18,871","18,869","18,852","18,852","24,670","18,841","18,828","18,812","18,736","18,798","18,795","18,782","18,770","18,741","18,749","18,762","18,637","18,716","18,669",18434
