Location,Capacity_x,1-May-20,2-May-20,3-May-20,4-May-20,5-May-20,6-May-20,7-May-20,8-May-20,9-May-20,10-May-20,11-May-20,12-May-20,13-May-20,14-May-20,15-May-20,16-May-20,17-May-20,Capacity_y,18-May-20,19-May-20,20-May-20,21-May-20,22-May-20,23-May-20,24-May-20,25-May-20,26-May-20,27-May-20,28-May-20,29-May-20,30-May-20,31-May-20 Avg Population,Unnamed: 16
Stone County,326,265,265,264,264,264,264,264,264,264,264,264,264,264,264,263,263,263,326,263,263,262,262,261,261,261,261,261,261,261,261,261,261,263
Washington County,300,135,135,135,135,134,134,134,134,134,134,134,134,134,134,133,133,133,300,133,133,132,132,132,132,132,132,132,132,132,130,130,130,133
Winston County,280,239,239,239,239,239,239,239,239,239,239,238,236,236,236,236,236,236,280,235,234,233,232,231,231,231,231,231,231,231,230,230,229,235
Yazoo County,300,281,281,281,281,281,280,279,279,279,279,278,278,277,277,276,276,276,300,276,276,275,274,274,274,274,273,271,271,271,269,269,269,276
PRIVATE PRISONS,"6,000","3,832","3,831","3,830","3,830","3,828","3,824","3,822","3,821","3,820","3,819","3,815","3,812","3,811","3,805","3,805","3,805","3,804","6,000","3,802","3,792","3,789","3,789","3,788","3,789","3,789","3,788","3,787","3,780","3,765","3,763","3,763","3,763",3812
Tallahatchie County,"1,000",782,782,782,782,782,778,778,778,778,778,777,777,777,773,773,773,773,"1,000",773,767,767,767,767,767,767,767,767,761,749,749,749,749,781
East Mississippi,"1,500","1,223","1,222","1,221","1,221","1,220","1,220","1,218","1,217","1,216","1,216","1,216","1,214","1,213","1,212","1,212","1,212","1,211","1,500","1,210","1,209","1,207","1,207","1,206","1,207","1,207","1,206","1,205","1,205","1,204","1,203","1,203","1,203",1212
Marshall County,"1,000",976,976,976,976,975,975,975,975,975,974,972,971,971,970,970,970,970,"1,000",970,970,970,970,970,970,970,970,970,970,969,968,968,968,972
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",851,851,851,851,851,851,851,851,851,851,850,850,850,850,850,850,850,"1,000",849,846,845,845,845,845,845,845,845,844,843,843,843,843,848
RESTITUTION CENTERS,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascagoula,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRANSITIONAL HOUSING,122,2,2,2,2,2,2,2,2,2,0,2,2,1,1,1,1,1,122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Madison,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Noxubee,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rankin/Flowood,8,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTALS,"24,670","18,045","18,036","18,027","18,005","17,958","17,932","17,884","17,877","17,875","17,869","17,957","17,849","17,818","17,790","17,776","17,773","17,769","24,670","17,764","17,746","17,724","17,709","17,707","17,701","17,700","17,696","17,676","17,660","17,638","17,615","17,613","17,609",17810
