Location,Capacity_x,1-Dec-19,2-Dec-19,3-Dec-19,4-Dec-19,5-Dec-19,6-Dec-19,7-Dec-19,8-Dec-19,9-Dec-19,10-Dec-19,11-Dec-19,12-Dec-19,13-Dec-19,14-Dec-19,15-Dec-19,16-Dec-19,17-Dec-19,Capacity_y,18-Dec-19,19-Dec-19,20-Dec-19,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19,29-Dec-19,30-Dec-19,31-Dec-19,Avg Population
Wilkinson Satellite Facility,62,50,49,49,48,48,48,48,48,48,48,47,51,50,50,50,51,51,62,49,50,50,50,50,50,50,50,50,50,50,50,50,50,49
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,579","4,301","4,283","4,298","4,276","4,274","4,268","4,267","4,267","4,260","4,256","4,275","4,264","4,270","4,268","4,268","4,255","4,248","4,579","4,235","4,228","4,232","4,229","4,229","4,269","4,264","4,264","4,267","4,294","4,294","4,291","4,293","4,300",4266
Alcorn County,300,299,298,298,297,297,297,297,297,297,299,299,298,298,298,298,298,298,300,298,299,299,299,299,298,298,298,298,298,298,298,294,294,298
Bolivar County,369,293,291,291,294,294,294,294,294,294,294,294,294,294,294,294,294,293,369,293,292,291,291,291,291,289,289,289,294,294,294,293,293,293
Carroll County,280,273,273,268,267,272,272,272,272,272,272,272,271,271,271,271,271,270,280,268,267,267,267,267,267,267,267,267,266,266,266,266,266,269
Chickasaw County,310,310,310,310,310,310,310,310,310,310,309,310,310,310,310,310,310,310,310,309,309,309,309,309,308,308,308,307,310,310,309,309,310,309
George County,342,337,335,332,331,338,337,337,337,341,337,337,339,339,339,339,333,333,342,332,329,329,329,329,332,330,330,337,336,336,335,341,339,335
Holmes County,280,276,275,276,275,272,272,271,271,269,274,276,277,277,277,277,277,277,280,276,276,275,275,275,277,277,277,278,280,280,280,279,280,276
Issaquena County,297,322,321,321,321,321,301,301,301,298,295,295,291,288,287,287,286,286,297,255,253,253,253,253,254,254,254,254,253,253,253,253,253,281
Jefferson County,280,279,279,279,279,279,277,277,277,276,277,280,280,280,280,280,279,278,280,277,277,277,277,277,280,280,280,280,280,280,280,280,280,279
Kemper County,355,350,345,351,351,349,349,349,349,348,348,349,346,347,347,347,345,345,355,345,345,345,345,345,352,352,352,352,352,352,352,350,350,348
Leake County,280,275,273,279,277,271,271,271,271,270,269,277,274,281,281,281,280,280,280,279,279,279,279,279,280,280,280,280,280,280,280,278,280,277
Marion County,280,278,276,277,276,276,295,295,295,295,295,298,300,299,299,299,299,299,280,328,328,337,335,335,340,339,339,336,351,351,351,362,361,313
Stone County,326,278,279,279,279,278,278,278,278,277,277,280,280,280,280,280,279,279,326,279,278,278,278,278,280,280,280,279,280,280,279,279,280,279
Washington County,300,161,160,158,146,146,146,146,146,146,146,146,146,145,145,145,144,142,300,139,139,137,137,137,137,137,137,137,137,137,137,137,137,143
Winston County,280,270,270,280,278,277,276,276,276,274,274,270,268,270,269,269,270,269,280,268,268,268,267,267,279,279,279,278,279,279,279,278,278,273
Yazoo County,300,300,298,299,295,294,293,293,293,293,290,292,290,291,291,291,290,289,300,289,289,288,288,288,294,294,294,295,298,298,298,294,299,293
PRIVATE PRISONS,"5,472","3,172","3,168","3,162","3,172","3,185","3,187","3,187","3,187","3,181","3,183","3,182","3,178","3,175","3,174","3,174","3,175","3,177","5,472","3,167","3,161","3,158","3,156","3,155","3,146","3,147","3,145","3,135","3,134","3,133","3,133","3,127","3,131",3164
Delta,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,235","1,232","1,227","1,240","1,250","1,250","1,250","1,250","1,249","1,251","1,251","1,247","1,245","1,244","1,244","1,249","1,251","1,500","1,252","1,250","1,248","1,247","1,247","1,249","1,250","1,250","1,250","1,252","1,252","1,252","1,248","1,245",1247
Marshall County,"1,000",996,996,996,995,"1,000",998,998,998,997,997,997,997,996,996,996,993,993,"1,000",996,993,993,992,992,992,992,992,992,992,991,991,990,"1,000",995
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",941,940,939,937,935,939,939,939,935,935,934,934,934,934,934,933,933,"1,000",919,918,917,917,916,905,905,903,893,890,890,890,889,886,922
RESTITUTION CENTERS,10,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,10,7,7,7,7,7,7,7,7,6,6,6,6,6,6,7
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4
Pascagoula,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
TRANSITIONAL HOUSING,122,29,29,28,26,28,28,28,28,28,0,29,29,24,24,24,24,25,122,22,25,25,26,26,27,27,27,26,26,26,26,26,26,26
Madison,40,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,40,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3
Noxubee,34,19,19,18,18,20,20,20,20,20,20,20,20,16,16,16,16,16,34,16,15,15,15,15,15,15,15,15,15,15,15,15,15,17
Rankin/Flowood,8,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,8,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,2,3,3,1,1,1,1,1,1,2,3,3,3,3,3,3,3,40,0,4,4,4,4,4,4,4,3,3,3,3,3,3,3
TOTALS,"24,142","19,167","19,150","19,153","19,134","19,132","19,158","19,256","19,152","19,136","19,104","19,169","19,170","19,173","19,180","19,177","19,147","19,177","24,142","19,160","19,162","19,201","19,191","19,185","19,200","19,185","19,187","19,219","19,192","19,191","19,177","19,187","18,353",19173
