Location,Capacity_x,1-Jan-20,2-Jan-20,3-Jan-20,4-Jan-20,5-Jan-20,6-Jan-20,7-Jan-20,8-Jan-20,9-Jan-20,10-Jan-20,11-Jan-20,12-Jan-20,13-Jan-20,14-Jan-20,15-Jan-20,16-Jan-20,17-Jan-20,18-Jan-20,19-Jan-20,Capacity_y,20-Jan-20,21-Jan-20,22-Jan-20,23-Jan-20,24-Jan-20,25-Jan-20,26-Jan-20,27-Jan-20,28-Jan-20,29-Jan-20,30-Jan-20,31-Jan-20,Avg Population
Delta TVC,324,171,169,168,168,165,164,163,160,155,154,150,152,147,146,144,144,142,140,137,324,133,131,131,130,123,122,121,115,110,126,126,153,144
Forrest Satellite Facility,96,53,52,52,52,52,52,52,52,52,46,46,46,51,51,51,51,49,49,49,96,51,51,51,51,50,50,50,49,49,51,52,51,50
George Satellite Facility,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Satellite Facility,102,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,35,35,102,36,36,36,36,35,35,35,36,36,36,38,35,36
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,80,80,80,80,80,80,80,81,81,77,77,77,80,78,78,78,76,76,76,62,77,75,74,74,73,73,73,67,71,71,69,71,76
Noxubee Satellite Facility,58,45,45,45,45,45,45,44,42,42,37,37,37,42,41,41,41,40,40,40,58,41,40,40,40,38,38,38,38,38,36,41,41,41
Pike Satellite Facility,93,75,75,81,81,81,79,77,77,78,73,73,73,77,77,77,77,77,77,77,93,77,76,77,76,75,75,75,77,76,75,82,75,77
Quitman Satellite Facility,93,68,68,68,68,68,68,68,68,68,67,67,67,66,66,66,66,66,66,66,93,66,66,66,70,70,70,70,74,74,71,72,67,68
Rankin Satellite Facility,178,142,142,142,142,142,140,140,138,137,132,132,132,136,135,136,136,130,130,130,178,136,136,134,133,130,130,130,133,133,153,150,151,137
Rankin SF (RRP),28,21,21,21,21,21,20,20,20,20,20,20,20,20,20,16,16,16,16,16,28,16,16,16,16,16,16,16,15,15,18,18,18,18
Flowood TVC,50,20,20,20,20,19,18,18,18,18,17,17,17,17,18,18,18,18,18,18,50,18,17,17,16,16,16,16,20,20,20,20,20,18
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,50,50,50,50,50,49,49,50,50,49,49,49,50,50,50,50,50,50,50,62,50,50,50,50,50,50,50,49,49,47,57,57,50
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,579","4,300","4,301","4,293","4,291","4,289","4,280","4,262","4,255","4,277","4,273","4,272","4,270","4,259","4,245","4,234","4,224","4,220","4,220","4,219","4,579","4,217","4,211","4,203","4,194","4,197","4,194","4,194","4,291","4,300","4,308","4,350","4,364","4,257"
Alcorn County,300,294,294,294,293,293,293,292,292,292,292,292,292,291,291,291,290,290,290,290,300,290,289,289,289,288,288,288,292,300,300,300,300,292
Bolivar County,369,293,293,293,293,293,293,292,292,291,291,291,291,291,291,291,291,291,291,291,369,290,290,289,289,289,289,289,289,288,293,291,291,291
Carroll County,280,266,265,265,265,265,264,264,264,264,264,264,263,262,262,262,262,261,261,261,280,261,261,262,262,263,262,262,266,265,270,268,268,264
Chickasaw County,310,310,307,305,305,305,304,304,304,304,304,304,304,303,303,303,302,302,302,302,310,302,302,302,302,308,308,308,308,308,308,310,310,305
George County,342,339,340,340,340,340,339,335,334,334,334,333,333,332,331,330,330,330,330,330,342,330,330,328,328,327,327,327,336,332,328,338,338,333
Holmes County,280,280,280,280,279,278,277,276,276,276,276,276,276,276,273,272,272,270,270,270,280,270,270,269,269,269,269,269,274,274,272,278,280,274
Issaquena County,297,253,253,253,253,253,253,251,251,251,251,251,251,250,250,249,248,248,248,248,297,248,248,247,245,245,245,245,245,256,264,276,276,251
Jefferson County,280,280,280,279,279,279,278,277,277,277,278,278,277,277,277,276,275,274,274,274,280,274,274,272,272,271,271,271,274,275,276,281,281,276
Kemper County,355,350,350,349,349,348,345,342,340,340,340,340,340,338,336,334,334,334,334,334,355,334,333,333,333,333,332,332,349,346,345,345,353,340
Leake County,280,280,278,278,278,278,278,277,275,275,273,273,273,272,267,266,265,265,265,265,280,265,265,265,265,265,265,265,277,277,277,280,280,272
Marion County,280,361,368,366,366,366,366,365,365,389,387,387,387,386,386,386,386,386,386,386,280,385,383,383,380,380,379,379,395,395,391,395,396,381
Stone County,326,280,280,280,280,280,280,279,280,280,280,280,280,279,277,277,277,277,277,277,326,277,277,277,277,277,277,277,277,277,277,277,281,278
Washington County,300,137,137,136,136,136,135,135,135,135,135,135,135,135,135,135,135,135,135,135,300,135,135,135,133,133,133,133,133,133,133,133,133,135
Winston County,280,278,278,278,278,278,278,276,273,272,272,272,272,272,272,268,265,265,265,264,280,264,262,260,260,259,259,259,277,276,277,279,278,271
Yazoo County,300,299,298,297,297,297,297,297,297,297,296,296,296,295,294,294,292,292,292,292,300,292,292,292,290,290,290,290,299,298,297,299,299,295
PRIVATE PRISONS,"5,375","3,131","3,141","3,138","3,138","3,136","3,135","3,130","3,128","3,127","3,125","3,124","3,124","3,122","3,495","3,492","3,487","3,493","3,481","3,480","5,375","3,477","3,471","3,469","3,466","3,463","3,462","3,461","3,459","3,457","3,464","3,462","3,462","3,487"
Tallahatchie County,375,,,,,,,,,,,,,,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375
East Mississippi,"1,500","1,245","1,255","1,254","1,254","1,252","1,251","1,248","1,246","1,246","1,246","1,245","1,245","1,245","1,244","1,241","1,239","1,236","1,234","1,233","1,500","1,232","1,230","1,230","1,228","1,227","1,227","1,227","1,227","1,226","1,224","1,224","1,223","1,239"
Marshall County,"1,000","1,000","1,000",999,999,999,999,999,999,998,997,997,997,996,996,996,995,995,995,995,"1,000",995,994,992,992,992,992,991,991,990,"1,000",999,999,996
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",886,886,885,885,885,885,883,883,883,882,882,882,881,880,880,878,887,877,877,"1,000",875,872,872,871,869,868,868,866,866,865,864,865,877
RESTITUTION CENTERS,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,6,8,8,6,7,5,5,6,5,5,5,5,6
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3
Pascagoula,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,5,3,2,2,2,3,2,2,2,2,3
TRANSITIONAL HOUSING,122,26,25,25,25,23,23,23,23,29,0,27,27,27,25,25,24,24,24,24,122,24,24,24,24,25,25,25,26,26,29,33,32,26
Madison,40,4,4,4,4,4,4,4,4,10,9,9,9,9,9,9,8,8,8,8,40,8,8,8,8,9,9,9,10,10,9,5,4,7
Noxubee,34,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,34,15,15,15,15,15,15,15,15,15,19,27,27,16
Rankin/Flowood,8,4,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,2
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1
TOTALS,"24,045","19,147","19,182","19,195","19,200","19,172","19,132","19,083","19,007","18,923","18,780","18,717","18,610","18,636","18,979","18,984","19,030","19,041","19,025","19,015","24,045","19,015","19,010","19,043","19,056","19,066","19,060","19,055","19,045","18,993","19,006","19,021","19,033","19,166"
