Location,Capacity_x,1-Apr-20,2-Apr-20,3-Apr-20,4-Apr-20,5-Apr-20,6-Apr-20,7-Apr-20,8-Apr-20,9-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20,18-Apr-20,Capacity_y,19-Apr-20,20-Apr-20,21-Apr-20,22-Apr-20,23-Apr-20,24-Apr-20,25-Apr-20,26-Apr-20,27-Apr-20,28-Apr-20,29-Apr-20,30-Apr-20,Avg Population
Rankin Satellite Facility,178,143,143,143,143,143,143,143,142,142,141,141,141,140,140,139,138,137,137,178,137,137,136,136,136,136,136,136,136,136,136,136,139
Rankin SF (RRD),28,15,15,15,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13,28,13,10,10,10,9,9,9,9,9,9,1,0,12
Flowood TVC,50,12,12,12,12,12,12,12,12,12,12,12,11,11,10,10,10,10,10,50,10,11,11,11,11,11,11,11,11,11,11,11,11
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,579","4,251","4,248","4,247","4,246","4,245","4,243","4,230","4,229","4,227","4,222","4,222","4,221","4,210","4,202","4,191","4,183","4,181","4,179","4,579","4,179","4,174","4,164","4,160","4,154","4,421","4,147","4,147","4,139","4,136","4,132","4,117",4202
Alcorn County,300,294,294,294,294,294,294,293,293,293,292,292,292,292,292,288,287,287,287,300,287,287,286,286,286,286,286,286,286,286,286,286,290
Bolivar County,369,285,285,285,285,285,285,283,283,283,283,283,283,283,283,282,282,282,282,369,282,282,282,282,282,282,282,282,281,281,281,280,283
Carroll County,280,262,262,262,262,262,261,259,259,259,259,259,259,258,258,257,257,257,257,280,257,256,256,256,256,256,256,256,256,256,256,256,258
Chickasaw County,310,305,305,305,305,305,305,305,305,305,305,305,304,303,303,303,303,302,302,310,302,301,301,300,300,299,299,299,299,299,299,299,302
George County,342,331,331,331,331,331,331,328,328,328,328,328,328,326,326,326,326,326,326,342,326,325,323,324,324,324,324,324,323,323,322,322,326
Holmes County,280,268,268,268,268,268,268,268,268,268,268,268,268,266,266,266,265,265,265,280,265,265,264,264,264,264,264,264,264,264,264,262,266
Issaquena County,297,310,310,309,309,309,310,310,310,309,309,309,309,309,309,308,307,307,307,297,307,307,306,305,305,304,304,304,304,303,303,301,307
Jefferson County,280,264,264,264,264,264,264,264,264,264,264,264,264,263,263,263,263,262,262,280,262,262,260,260,260,260,260,260,260,260,260,260,262
Kemper County,355,324,323,323,323,323,323,323,323,323,323,323,323,321,320,320,319,319,318,355,318,318,318,316,311,310,310,310,310,310,309,306,318
Leake County,280,259,259,259,259,259,259,257,257,257,257,257,257,257,257,257,255,255,255,280,255,255,255,254,254,525,252,252,249,249,248,246,264
Marion County,280,389,388,388,387,387,386,384,383,383,383,383,383,383,383,381,381,381,380,280,380,379,378,378,378,378,378,378,378,378,378,376,382
Stone County,326,276,276,276,276,275,275,274,274,273,273,273,273,273,273,273,273,273,273,326,273,273,272,272,271,270,270,270,269,268,268,265,272
Washington County,300,140,140,140,140,140,140,140,140,140,139,139,139,138,137,137,137,137,137,300,137,137,137,137,137,137,137,137,136,135,135,135,138
Winston County,280,254,253,253,253,253,253,253,253,253,250,250,250,250,246,244,243,243,243,280,243,243,243,243,243,243,242,242,242,242,242,242,247
Yazoo County,300,290,290,290,290,290,289,289,289,289,289,289,289,288,286,286,285,285,285,300,285,284,283,283,283,283,283,283,282,282,281,281,286
PRIVATE PRISONS,"5,000","3,056","3,055","3,051","3,050","3,049","3,048","3,047","3,056","3,065","3,074","3,074","3,074","3,083","3,086","3,078","3,077","3,075","3,075","5,000","3,075","3,073","3,070","3,068","3,069","3,068","3,067","3,067","3,064","3,059","3,054","3,051",3065
Tallahatchie County,"1,000",849,849,849,849,849,849,847,837,827,817,817,817,801,796,796,796,796,796,"1,000",796,787,787,787,787,787,787,787,787,787,787,782,810
East Mississippi,"1,500","1,202","1,202","1,200","1,200","1,199","1,198","1,197","1,207","1,217","1,226","1,226","1,227","1,237","1,241","1,236","1,235","1,234","1,234","1,500","1,234","1,234","1,232","1,230","1,231","1,230","1,229","1,229","1,229","1,227","1,225","1,224",1222
Marshall County,"1,000",990,989,988,988,988,988,988,987,987,987,987,987,986,986,985,985,985,985,"1,000",985,984,983,983,983,983,983,983,980,978,976,976,985
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",864,864,863,862,862,862,862,862,861,861,861,860,860,859,857,857,856,856,"1,000",856,855,855,855,855,855,855,855,855,854,853,851,858
RESTITUTION CENTERS,10,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2
Pascagoula,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
TRANSITIONAL HOUSING,122,28,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,122,24,24,23,24,24,24,24,24,24,24,7,7,25
Madison,40,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,2,2,2,2,2,2,2,2,2,2,1,1,2
Noxubee,34,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,34,19,19,19,19,19,19,19,19,19,19,4,4,20
Rankin/Flowood,8,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,3,3,2,3,3,3,3,3,3,3,2,2,3
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTALS,"23,670","17,794","17,761","17,752","17,739","17,734","17,709","17,683","17,775","17,671","17,669","17,666","17,654","17,627","17,585","17,523","17,518","17,526","17,521","23,670","17,520","17,510","17,467","17,432","17,430","17,690","17,401","17,400","17,371","17,360","18,103","17,260",17595
