Location,Capacity_x,1-Jan-19,Unnamed: 3,2-Jan-19,3-Jan-19,4-Jan-19,5-Jan-19,6-Jan-19,7-Jan-19,8-Jan-19,9-Jan-19,10-Jan-19,11-Jan-19,12-Jan-19,13-Jan-19,14-Jan-19,15-Jan-19,16-Jan-19,17-Jan-19,Capacity_y,18-Jan-19,19-Jan-19,20-Jan-19,21-Jan-19,22-Jan-19,23-Jan-19,24-Jan-19,25-Jan-19,26-Jan-19,27-Jan-19,28-Jan-19,29-Jan-19,30-Jan-19,31-Jan-19,Avg Population
Issaquena County,274,268,268,267,267,267,267,264,264,263,264,264,264,264,264,264,264,264,,274,264,264,264,264,265,264,264,264,264,264,264,263,283,263,265
Jefferson County,280,277,277,279,278,278,277,277,277,277,277,277,277,277,277,277,277,276,,280,276,276,276,276,276,276,278,276,276,276,278,279,279,278,277
Kemper County,355,260,258,258,258,258,258,258,256,254,254,254,254,254,253,253,253,252,,355,252,252,252,252,276,276,275,271,271,271,269,269,269,267,260
Leake County,280,268,266,269,267,267,267,266,266,266,266,266,266,266,263,263,263,263,,280,262,262,262,262,260,254,254,254,254,254,251,251,252,252,262
Marion County,280,267,270,267,266,266,266,264,264,263,263,262,262,262,262,262,262,262,,280,262,262,262,262,260,277,277,277,277,277,277,277,280,280,267
Stone County,326,280,278,277,277,277,277,277,277,277,277,277,277,277,276,276,276,276,,326,276,276,276,276,276,277,277,277,277,277,275,275,275,279,277
Washington County,300,173,173,178,178,178,178,177,177,177,177,177,177,177,174,174,174,173,,300,173,173,173,173,171,171,171,169,169,169,168,168,167,165,174
Winston County,280,269,269,269,270,270,270,269,268,268,267,266,266,265,264,264,264,264,,280,263,263,263,263,275,272,272,270,270,270,267,264,263,262,267
Yazoo County,300,256,256,259,258,258,258,258,257,257,257,257,257,257,256,256,256,255,,300,255,255,255,255,254,253,252,254,253,253,253,252,257,258,256
PRIVATE PRISONS,"5,472","3,192","3,191","3,193","3,192","3,190","3,189","3,184","3,181","3,179","3,175","3,170","3,170","3,170","3,167","3,165","3,164","3,157",,"5,472","3,155","3,155","3,155","3,152","3,158","3,158","3,149","3,144","3,144","3,144","3,139","3,128","3,139","3,139",3165
Delta,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,272","1,272","1,268","1,268","1,267","1,267","1,266","1,264","1,263","1,263","1,262","1,262","1,262","1,260","1,258","1,257","1,253",,"1,500","1,251","1,251","1,251","1,251","1,229","1,226","1,218","1,213","1,213","1,213","1,210","1,206","1,204","1,204",1247
Marshall County,"1,000",999,999,999,999,998,998,995,994,993,992,991,991,991,990,990,990,989,,"1,000",989,989,989,988,998,998,997,995,995,995,995,989,999,999,994
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",921,920,926,925,925,924,923,923,923,920,917,917,917,917,917,917,915,,"1,000",915,915,915,913,931,934,934,936,936,936,934,933,936,936,924
RESTITUTION CENTERS,10,9,9,9,9,9,9,8,7,14,7,7,7,7,7,7,7,7,,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Pascagoula,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
TRANSITIONAL HOUSING,122,23,23,23,24,24,24,23,24,15,16,15,15,15,15,15,15,15,,122,15,15,15,15,14,14,14,17,17,17,17,17,16,18,18
Madison,40,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,40,2,2,2,2,3,3,3,3,3,3,3,3,2,1,2
Noxubee,34,17,17,17,17,17,17,16,17,8,9,8,8,8,8,8,8,8,,34,8,8,8,8,6,6,6,10,10,10,10,10,10,13,11
Rankin/Flowood,8,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,8,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTALS,"24,226","19,366","19,360","19,334","19,326","19,318","19,304","19,252","19,254","19,240","19,227","19,223","19,221","19,211","19,197","19,204","19,255","19,212",,"24,226","19,173","19,168","19,165","19,181","19,175","19,154","19,248","19,237","19,268","19,268","19,235","19,149","19,243","19,260",19239
