Location,Capacity_x,1-Jun-19,Unnamed: 3,2-Jun-19,3-Jun-19,4-Jun-19,5-Jun-19,6-Jun-19,7-Jun-19,8-Jun-19,9-Jun-19,10-Jun-19,11-Jun-19,12-Jun-19,13-Jun-19,14-Jun-19,15-Jun-19,16-Jun-19,17-Jun-19,18-Jun-19,19-Jun-19,20-Jun-19,Capacity_y,21-Jun-19,22-Jun-19,23-Jun-19,24-Jun-19,25-Jun-19,26-Jun-19,27-Jun-19,28-Jun-19,29-Jun-19,30-Jun-19,Avg Population
REGIONAL CORRECTIONAL FACILITIES,"4,579","4,279","4,279","4,288","4,284","4,284","4,296","4,293","4,292","4,290","4,285","4,310","4,302","4,307","4,299","4,299","4,296","4,287","4,293","4,286","4,286",,"4,579","4,284","4,283","4,279","4,277","4,302","4,307","4,299","4,316","4,313","4,302",4293
Alcorn County,300,300,300,300,300,299,299,299,299,299,299,299,300,300,300,300,300,300,300,299,299,,300,296,296,295,296,300,300,300,299,299,299,299
Bolivar County,369,292,292,290,293,292,291,294,294,294,294,293,294,294,294,294,292,291,294,293,293,,369,288,288,288,287,291,291,291,294,294,294,292
Carroll County,280,275,275,275,275,275,280,280,280,280,280,280,279,278,277,277,277,277,276,274,274,,280,273,273,273,272,275,275,275,273,273,273,276
Chickasaw County,310,307,307,306,306,306,309,309,309,309,309,308,308,310,308,308,308,308,308,305,305,,310,310,310,309,309,309,309,309,310,310,310,308
George County,342,339,339,339,337,337,341,340,340,340,339,339,335,331,330,330,330,333,331,331,331,,342,340,339,339,338,341,339,339,329,329,328,336
Holmes County,280,280,280,282,282,280,280,280,280,280,280,280,280,280,279,279,279,278,276,273,273,,280,274,274,274,278,278,278,278,278,278,278,278
Issaquena County,297,310,310,309,308,308,308,306,306,304,302,302,301,312,310,310,310,309,309,305,305,,297,303,303,303,302,302,300,299,319,318,316,307
Jefferson County,280,279,279,279,280,282,282,281,281,281,281,281,278,280,279,279,279,278,278,278,278,,280,277,277,277,277,280,280,280,280,280,279,279
Kemper County,355,343,343,348,346,351,351,350,350,350,349,352,352,352,352,352,351,349,350,350,350,,355,350,350,350,349,348,348,344,351,351,350,349
Leake County,280,275,275,273,273,274,273,272,272,272,272,280,279,277,276,276,276,275,276,276,276,,280,274,274,273,274,276,283,282,281,280,279,276
Marion County,280,280,280,279,279,279,279,278,278,278,278,278,278,278,279,279,279,279,280,280,280,,280,280,280,280,280,279,279,279,279,279,279,279
Stone County,326,279,279,279,278,276,276,280,280,280,280,280,280,280,280,280,280,280,280,280,280,,326,279,279,279,280,280,280,280,280,279,279,279
Washington County,300,161,161,161,160,160,159,159,159,159,158,158,158,157,156,156,156,154,154,163,163,,300,163,163,163,163,170,169,169,169,169,166,161
Winston County,280,265,265,273,273,271,271,270,269,269,269,280,280,279,278,278,278,277,278,276,276,,280,275,275,274,274,276,276,275,275,275,274,274
Yazoo County,300,294,294,295,294,294,297,295,295,295,295,300,300,299,301,301,301,299,303,303,303,,300,302,302,302,298,297,300,299,299,299,298,298
PRIVATE PRISONS,"5,472","3,192","3,192","3,192","3,181","3,186","3,181","3,180","3,179","3,178","3,174","3,160","3,164","3,164","3,162","3,162","3,162","3,174","3,174","3,166","3,166",,"5,472","3,157","3,157","3,157","3,152","3,167","3,162","3,158","3,163","3,162","3,160",3169
Delta,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,472,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,270","1,270","1,266","1,257","1,253","1,246","1,245","1,244","1,244","1,242","1,241","1,244","1,245","1,244","1,244","1,244","1,252","1,252","1,250","1,250",,"1,500","1,244","1,244","1,244","1,241","1,256","1,252","1,253","1,254","1,253","1,251",1250
Marshall County,"1,000",997,997,999,999,999,999,999,999,998,996,997,997,996,995,995,995,"1,000","1,000",999,999,,"1,000",998,998,998,998,998,997,997,"1,000","1,000","1,000",998
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,500",0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",925,925,927,925,934,936,936,936,936,936,922,923,923,923,923,923,922,922,917,917,,"1,000",915,915,915,913,913,913,908,909,909,909,922
RESTITUTION CENTERS,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,,10,6,7,7,7,8,8,8,8,8,8,8
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,6,4,4,4,5,5,5,5,6,6,6,5
Pascagoula,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,,4,2,3,3,3,3,3,3,2,2,2,3
TRANSITIONAL HOUSING,122,25,25,25,25,24,25,24,24,24,0,25,24,25,24,23,23,23,23,23,23,,122,22,21,21,30,30,31,30,29,29,29,25
Madison,40,5,5,5,5,4,5,4,4,4,5,5,5,5,4,4,4,4,4,4,4,,40,3,3,3,3,3,3,3,1,1,1,4
Noxubee,34,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,,34,16,16,16,25,25,25,25,25,25,25,19
Rankin/Flowood,8,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,,8,2,2,2,2,2,2,2,2,2,2,2
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,,40,1,0,0,0,0,1,0,1,1,1,1
TOTALS,"24,179","19,568","19,561","19,616","19,589","19,655","19,626","19,599","19,591","19,597","19,494","19,617","19,608","19,630","19,625","19,617","19,610","19,619","19,603","19,598","19,599",,"24,179","19,581","19,580","19,571","19,586","19,542","19,569","19,566","19,559","19,555","19,541",19590
