county,position,name,agency,address,phone,fax,alt_address,alt_phone,alt_fax,mobile,email,source,physical_address
Copiah,Sheriff,Harold L. Jones Jr.,Copiah County Sheriff's Department,"P.O. Box 547, Hazlehurst 39083",(601) 894-3011,(601) 892-2133,,,,,,2016-2020 Blue Book,"20032 US-51, Hazlehurst, MS 39083"
Covington,Sheriff,Stann Q. Smith,Covington County Sheriff's Department,"P.O. Box 545, Collins 39428",(601) 765-8281,(601) 765-5003,,,,,,2016-2020 Blue Book,"1107 Main St, Collins, MS 39428"
Desoto,Sheriff,Bill Rasco,Desoto County Sheriff's Department,"3091 Industrial Dr. W., Hernando 38632",(662) 469-8027,(662) 469-8543,,,,,,2016-2020 Blue Book,"3091 Industrial Dr. W., Hernando, MS 38632"
Forrest,Sheriff,Charlie Sims,Forrest County Sheriff's Department,"P.O. Box 747, Hattiesburg 39403",(601) 544-7800,(601) 544-8162,,,,,,2016-2020 Blue Book,"55 Arena Dr, Hattiesburg, MS 39401"
Franklin,Sheriff,Tom Tindle,Franklin County Sheriff's Department,"P.O. Box 396, Meadville 39653",(601) 384-2323,(601) 384-3770,,,,,,2016-2020 Blue Book,"36 Main St, Meadville, MS 39653"
George,Sheriff,Keith Havard,George County Sheriff's Department,"355 Cox St., Ste. B, Lucedale 39452",(601) 947-4811,f601) 947-0233,,,,,,2016-2020 Blue Book,"355 Cox St., Ste. B, Lucedale 39452"
Greene,Sheriff,Stanley McLeod,Greene County Sheriff's Department,"P.O. Box 637, Leakesville 39451",(601) 394-2341,(601) 394-5939,,,,,,2016-2020 Blue Book,"300 Lafayette Ave, Leakesville, MS 39451"
Grenada,Sheriff,Alton Strider,Grenada County Sheriff's Department,"35 Doak St., Grenada 38901",(662) 227-2877,(662) 227-2872,,,,,,2016-2020 Blue Book,"35 Doak St., Grenada, MS 38901"
Hancock,Sheriff,Ricky Adam,Hancock County Sheriff's Department,"8450 Hwy. 90, Bay St. Louis 39520",(228) 466-6900,(228) 586-1636,,,,,,2016-2020 Blue Book,"8450 Hwy. 90, Bay St. Louis, MS 39520"
Harrison,Sheriff,Troy Peterson,Harrison County Sheriff's Department,"P.O. Box 1480, Gulfport 39501",(228) 896-0605,,"730 Martin Luther King Dr., Biloxi 39503",(228) 435-4220,,,,2016-2020 Blue Book,"10451 Larkin Smith Drive, Gulfport, MS 39503"
Hinds,Sheriff,Victor P. Mason,Hinds County Sheriff's Department,"P.O. Box 1452, Jackson 39205",(601) 974-2904,,"1450 County Farm Rd., Raymond 39154",(601) 857-4800,,,,2016-2020 Blue Book,"407 E Pascagoula St, Jackson, MS 39205"
Holmes,Sheriff,Willie E. March,Holmes County Sheriff's Department,"P.O. Box 120, Lexington 39095",(662) 834-1511,(662) 834-3362,,,,,,2016-2020 Blue Book,"23240 MS-12, Lexington, MS 39095"
Humphreys,Sheriff,J.D. (Bubba) Roseman,Humphreys County Sheriff's Department,"106 Castleman St., Belzoni 39038",(662) 247-2551,(662) 247-3902,,,,,,2016-2020 Blue Book,"106 Castleman St., Belzoni, MS 39038"
Issaquena,Sheriff,Richard Jones,Issaquena County Sheriff's Department,"P.O. Box 147, Mayersville 39113",(662) 873-2781,(662) 873-4500,,,,,,2016-2020 Blue Book,"22746 MS-1, Mayersville, MS 39113"
Itawamba,Sheriff,Chris Dickinson,Itawamba County Sheriff's Department,"201 S. Cummings St., Fulton 38843",(662) 862-3401,(662) 862-3175,,,,,,2016-2020 Blue Book,"201 S. Cummings St., Fulton, MS 38843"
Jackson,Sheriff,Mike Ezell,Jackson County Sheriff's Department,"P.O. Box 998, Pascagoula 39568-0998",(228) 769-3024,(228) 762-6168,,,,,,2016-2020 Blue Book,"3104 Magnolia Street, Pascagoula, MS 39567"
Jasper,Sheriff,Randy Johnson,Jasper County Sheriff's Department,"P.O. Box 464, Bay Springs 39422",(601) 764-2588,(601) 764-4016,,,,,,2016-2020 Blue Book,"29 W 8th Ave, Bay Springs, MS 39422"
Jefferson,Sheriff,Peter E. Walker,Jefferson County Sheriff's Department,"P.O. Box 218, Fayette 39069",(601) 786-3403,(601) 786-6000,,,,,,2016-2020 Blue Book,"255 MS-33, Fayette, MS 39069"
Jefferson Davis,Sheriff,Ron Strickland,Jefferson Davis County Sheriff's Department,"P.O. Box 339, Prentiss 39474",(601) 792-5169,(601) 792-5980,,,,,,2016-2020 Blue Book,"2330 Columbia Ave, Prentiss, MS 39474"
Jones,Sheriff,Alex Hodge,Jones County Sheriff's Department,"P.O. Box 185, Laurel 39441",(601) 425-3147,(601) 428-3152,,,,,,2016-2020 Blue Book,"419 Yates Ave, Laurel, MS 39440"
Kemper,Sheriff,James Moore Sr,Kemper County Sheriff's Department,"P.O. Box 188, DeKalb 39328",(601) 743-2255,(601) 743-2266,,,,,,2016-2020 Blue Book,"330 Stennis Industrial Park Rd, De Kalb, MS 39328"
Lafayette,Sheriff,F.D. (Buddy) East,Lafayette County Sheriff's Department,"711 Jackson Ave., Oxford 38655",(662) 234-6421,(662) 236-0203,,,,,,2016-2020 Blue Book,"711 Jackson Ave., Oxford, MS 38655"
Lamar,Sheriff,Danny Rigel,Lamar County Sheriff's Department,"P.O. Box 352, Purvis 39475",(601) 794-8504,(601) 794-1002,,,,,,2016-2020 Blue Book,"205 Main St B, Purvis, MS 39475"
Lauderdale,Sheriff,William D. (Billy) Sollie,Lauderdale County Sheriff's Department,"410 Constitution Ave., Meridian 39302",(601) 482-9806,(601) 486-4976,,,,,,2016-2020 Blue Book,"410 Constitution Ave., Meridian, MS 39302"
Lawrence,Sheriff,Lessie Butler,Lawrence County Sheriff's Department,"P.O. Box 816, Monticello 39654",(601) 587-2961,(601) 587-4740,,,,,,2016-2020 Blue Book,"1565 F E Sellers Hwy, Monticello, MS 39641"
Leake,Sheriff,Greg Waggoner,Leake County Sheriff's Department,"316 C.O. Brooks St., Carthage 39051",(601) 267-7361,(601) 267-4658,,,,,,2016-2020 Blue Book,"316 C.O. Brooks St., Carthage, MS 39051"
Lee,Sheriff,Jim Howell Johnson,Lee County Sheriff's Department,"510 N. Commerce, Tupelo 38804",(662) 841-9040,(662) 841-9044,,,,,,2016-2020 Blue Book,"510 N. Commerce, Tupelo, MS 38804"
Leflore,Sheriff,Fredrick L. (Ricky) Banks,Leflore County Sheriff's Department,"P.O. Box 905, Greenwood 38935",(662) 453-5141,(662) 453-2221,,,,,,2016-2020 Blue Book,"315 W Market St, Greenwood, MS 38930"
Lincoln,Sheriff,Steve Henry Rushing,Lincoln County Sheriff's Department,"P.O. Box 587, Brookhaven 39602",(601) 833-5231,(601) 833-4492,,,,,,2016-2020 Blue Book,"215 Justice St, Brookhaven, MS 39601"
Lowndes,Sheriff,Eddie Hawkins,Lowndes County Sheriff's Department,"P.O. Box 2341, Columbus 39704",(662) 329-5826,(662) 244-0769,,,,,,2016-2020 Blue Book,"527 S Martin Luther King Jr Dr, Columbus, MS 39701"
Madison,Sheriff,Randall Tucker,Madison County Sheriff's Department,"2941 S. Liberty St., Canton 39046-8665",(601) 859-2345,(601) 859-5805,,,,,,2016-2020 Blue Book,"2941 S. Liberty St., Canton, MS 39046-8665"
Marion,Sheriff,Berkley Hall,Marion County Sheriff's Department,"219 Broad St., Columbia 39429",(601) 736-5051,(601) 731-3780,,,,,,2016-2020 Blue Book,"219 Broad St., Columbia, MS 39429"
Marshall,Sheriff,Kenny Dickerson,Marshall County Sheriff's Department,"P.O. Box 5100, Holly Springs 38635",(662) 252-1311,(662) 252-0006,,,,,,2016-2020 Blue Book,"819 West Street, Holly Springs, MS 38635"
Monroe,Sheriff,Cecil Cantrell,Monroe County Sheriff's Department,"P.O. Box 683, Aberdeen 39730",(662) 369-2468,(662) 369-2470,,,,,,2016-2020 Blue Book,"700 N Meridian St, Aberdeen, MS 39730"
Montgomery,Sheriff,Jerry C. (Bubba) Nix Jr,Montgomery County Sheriff's Department,"P.O. Box 346, Winona 38967",(662) 283-3343,(662) 283-4000,,,,,,2016-2020 Blue Book,"614 Summit St, Winona, MS 38967"
Neshoba,Sheriff,Eric Clark,Neshoba County Sheriff's Department,"401 E. Beacon St., Ste. 108, Philadelphia 39350",(601) 656-1414,(601) 650-3281,,,,,eclark@neshobacounty.net,2016-2020 Blue Book,"401 E. Beacon St., Ste. 108, Philadelphia, MS 39350"
Newton,Sheriff,Jackie Knight,Newton County Sheriff's Department,"P.O. Box 395, Decatur 39327",(601) 635-4401,(601) 635-5768,,,,,,2016-2020 Blue Book,"300 Access Rd, Decatur, MS 39327"
Noxubee,Sheriff,Tommy Roby,Noxubee County Sheriff's Department,"2832 Jefferson, Macon 39341",(662) 726-5133,(662) 726-4166,,,,,,https://www.muckrock.com/foi/noxubee-county-19500/noxubee-county-sheriffs-department-body-worn-camera-policy-88400/#comm-924618,"2832 Jefferson, Macon, MS 39341"
Oktibbeha,Sheriff,Steve Gladney,Oktibbeha County Sheriff's Department,"111 Dr. D.L. Conner Dr., Starkville 39760",(662) 323-2421,(662) 324-5680,,,,,,2016-2020 Blue Book,"111 Dr. D.L. Conner Dr., Starkville, MS 39760"
Panola,Sheriff,Dennis L. Darby,Panola County Sheriff's Department,"P.O. Box 273, Batesville 38606",(662) 563-6230,,,,,,,2016-2020 Blue Book,"300 James Rudd Drive, Batesville, MS 38606"
Pearl River,Sheriff,David Allison,Pearl River County Sheriff's Department,"200 S. Main, Poplarville 39470",(601) 403-2340,(601) 403-2344,,,,,,2016-2020 Blue Book,"200 S. Main, Poplarville, MS 39470"
Perry,Sheriff,Mitch Nobles,Perry County Sheriff's Department,"P.O. Box 228, New Augusta 39462",(601) 964-8461,(601) 964-8463,,,,,,2016-2020 Blue Book,"103 1st St, New Augusta, MS 39462"
Pike,Sheriff,Kenny Cotton,Pike County Sheriff's Department,"2109 Jessie Hall Rd., Magnolia 39652",(601) 783-2327,(601) 783-6586,,,,,,2016-2020 Blue Book,"2109 Jessie Hall Rd., Magnolia 39652"
Pontotoc,Sheriff,Leo Mask,Pontotoc County Sheriff's Department,"P.O. Box 240, Pontotoc 38863",(662) 489-3915,(662) 489-3312,,,,,,2016-2020 Blue Book,"490 MS-6, Pontotoc, MS 38863"
Prentiss,Sheriff,Randy Tolar,Prentiss County Sheriff's Department,"1901-B E. Chambers Dr., Booneville 38829",(662) 728-6232,(662) 728-2003,,,,,,2016-2020 Blue Book,"1901-B E. Chambers Dr., Booneville, MS 38829"
Quitman,Sheriff,Oliver Parker Jr,Quitman County Sheriff's Department,"P.O. Box 365, Marks 38646",(662) 326-3131,(662) 326-8004,,,,,,2016-2020 Blue Book,"233 Chestnut St, Marks, MS 38646"
Rankin,Sheriff,Bryan Bailey,Rankin County Sheriff's Department,"221 N. Timber, Brandon 39042",(601) 825-1480,(601) 824-0268,,,,,,2016-2020 Blue Book,"221 N. Timber, Brandon, MS 39042"
Scott,Sheriff,Mike Lee,Scott County Sheriff's Department,"531 Airport Rd., Forest 39074",(601) 469-1511,(601) 469-5224,,,,,,2016-2020 Blue Book,"531 Airport Rd., Forest, MS 39074"
Sharkey,Sheriff,Lindsey Adams Jr,Sharkey County Sheriff's Department,"120 Locust St., Rolling Fork 39159",(662) 873-4321,(662) 873-6135,,,,,,2016-2020 Blue Book,"120 Locust St., Rolling Fork, MS 39159"
Simpson,Sheriff,Paul Mullins,Simpson County Sheriff's Department,"1496 Simpson Hwy. 149, Mendenhall 39114",(601) 847-2155,(601) 847-2156,,,,,,2016-2020 Blue Book,"1496 Simpson Hwy. 149, Mendenhall, MS 39114"
Smith,Sheriff,Charlie Crumpton,Smith County Sheriff's Department,"P.O. Box 307, Raleigh 39153",(601) 782-4531,(601) 782-4003,,,,,,2016-2020 Blue Book,"200 Court House Square, Raleigh, MS 39153"
Stone,Sheriff,Mike Farmer,Stone County Sheriff's Department,"1420 Industrial Park Rd., Wiggins 39577",(601) 928-7251,(601) 928-6455,,,,,,2016-2020 Blue Book,"1420 Industrial Park Rd., Wiggins, MS 39577"
Sunflower,Sheriff,James Haywood,Sunflower County Sheriff's Department,"1300 Allen Rd., Indianola 38751",(662) 887-2121,(662) 887-4614,,,,,,2016-2020 Blue Book,"1300 Allen Rd., Indianola, MS 38751"
Tallahatchie,Sheriff,William Brewer Jr.,Tallahatchie County Sheriff's Department,"P.O. Box 100, Charleston 38921",(662) 647-5511,(662) 647-0358,"P.O. Box 116, Sumner 38957",(662) 375-8356,(662) 375-8674,,,2016-2020 Blue Book,"205 South Pleasant Street, Charleston, MS 38921"
Tate,Sheriff,Brad Lance,Tate County Sheriff's Department,"1 Justice Dr., Senatobia 38668",(662) 562-4434,(662) 562-9236,,,,,,2016-2020 Blue Book,"1 Justice Dr., Senatobia, MS 38668"
Tippah,Sheriff,Karl Gaillard,Tippah County Sheriff's Department,"205 W. Spring St., Ripley 38663",(662) 837-9336,(662) 837-1191,,,,,,2016-2020 Blue Book,"205 W. Spring St., Ripley, MS 38663"
Tishomingo,Sheriff,John Dennis Daugherty,Tishomingo County Sheriff's Department,"1111 Maria Ln., Iuka 38852",(662) 423-7000,(662) 423-9712,,,,,,2016-2020 Blue Book,"1111 Maria Ln., Iuka, MS 38852"
Tunica,Sheriff,K.C. Hamp,Tunica County Sheriff's Department,"P.O. Box 25, Tunica 38676",(662) 363-1411,(662) 363-2593,,,,,,2016-2020 Blue Book,"5126 Old Mhoonlanding Rd, Tunica, MS 38676"
Union,Sheriff,Jimmy Edwards,Union County Sheriff's Department,"300 Carter Ave., New Albany 38652",(662) 534-1941,(662) 534-1993,,,,,,2016-2020 Blue Book,"300 Carter Ave., New Albany, MS 38652"
Walthall,Sheriff,Kyle Breland,Walthall County Sheriff's Department,"807 Magnolia Ave., Tylertown 39667",(601) 876-3481,(601) 876-6688,,,,,,2016-2020 Blue Book,"807 Magnolia Ave., Tylertown, MS 39667"
Warren,Sheriff,W. Martin Pace Jr,Warren County Sheriff's Department,"1000 Grove St., Vicksburg 39183",(601) 636-1761,(601) 634-4803,,,,,,2016-2020 Blue Book,"1000 Grove St., Vicksburg, MS 39183"
Washington,Sheriff,Milton M. Gaston Sr.,Washington County Sheriff's Department,"P.O. Box 786, Greenville 38702",(662) 334-4523,(662) 334-2764,,,,,,2016-2020 Blue Book,"903 W Alexander St, Greenville, MS 38701"
Wayne,Sheriff,Jody Ashley,Wayne County Sheriff's Department,"613 Court St., Waynesboro 39367",(601) 735-3801,(601) 735-6262,,,,,,2016-2020 Blue Book,"613 Court St., Waynesboro, MS 39367"
Webster,Sheriff,Tim Mitchell,Webster County Sheriff's Department,"87 Government Ave., Eupora 39744",(662) 258-7701,(662) 258-6069,,,,,,2016-2020 Blue Book,"87 Government Ave., Eupora, MS 39744"
Wilkinson,Sheriff,Reginald Jackson,Wilkinson County Sheriff's Department,"P.O. Box 980, Woodville 39669",(601) 888-3511,(601) 888-1832,,,,,,2016-2020 Blue Book,"1389 US Highwy 61 South, Woodville, MS 39669"
Winston,Sheriff,Jason Pugh,Winston County Sheriff's Department,"P.O. Box 927, Louisville 39339",(662) 773-5881,(662) 773-8831,,,,,,2016-2020 Blue Book,"115 S Court Ave, Louisville, MS 39339"
Yalobusha,Sheriff,W.F. (Lance) Humphreys,Yalobusha County Sheriff's Department,"1103 Hwy. 32E, Water Valley 38965",(662) 473-3602,(662) 473-3635,,,,,,2016-2020 Blue Book,"1103 Hwy. 32E, Water Valley, MS 38965"
Yazoo,Sheriff,Jake Sheriff,Yazoo County Sheriff's Department,"P.O. Box 108, Yazoo City 39194",(662) 746-5611,(662) 746-3890,,,,,,2016-2020 Blue Book,"6 Mike Espy Dr, Yazoo City, MS 39194"
