legislator,pic,chamber,party,district,counties,#msleg experience,chair_of,vice_chair_of:,cmtes,bill(s)_authored,gov_email,capitol_phone,pic_url,bio
Richard Bennett,bennett.jpg (https://dl.airtable.com/X5Tw9kVXSOOGMtFuft9h_bennett.jpg),house,R,120,Harrison,,,,,HB0195,   rbennett@house.ms.gov,(601) 359-2860,http://billstatus.ls.state.ms.us/members/house/Bennett.jpg,
"Edward Blackmon, Jr.",blackmon.jpg (https://dl.airtable.com/QHdrMivSfG8ZFyvumIhQ_blackmon.jpg),house,D,57,Madison,"House 1979-1980,House 1984-present",,,House Jud. A,"HB0342,HB0343",,(601) 359-9394,http://billstatus.ls.state.ms.us/members/house/Blackmon.jpg,
Joel Bomgar,bomgar.jpg (https://dl.airtable.com/aQh8F9yaRrmgVtAZZOnl_bomgar.jpg),house,R,58,Madison,House 2016-present,,House Medicaid,"House Corrections,House Drug Policy,House Jud. B,House Medicaid,House Tech. Comm.","HB1410,HB1407,HB1360,HB0751,HB0777,HB0700,HB0390,HB0391,HB0720,HB0824,HB1092,HB1093,HB1094,HB0942,HB1010,HB1011,HB1130,HB1194,HB1439,HB1451",JBomgar@house.ms.gov,(601) 359-9485,http://billstatus.ls.state.ms.us/members/house/Bomgar.jpg,http://billstatus.ls.state.ms.us/members/house/Bomgar.xml
C. Scott Bounds,bounds.jpg (https://dl.airtable.com/9bpQFBl7QdS6hH1wDRfC_bounds.jpg),house,R,44,"Leake,Neshoba",,,,,,sbounds@house.ms.gov,(601) 359-3334,http://billstatus.ls.state.ms.us/members/house/Bounds.jpg,
Randy P. Boyd,Boyd.jpg (https://dl.airtable.com/73DyxTU3RomDJIydKDlu_Boyd.jpg),house,R,19,"Itawamba,Lee",House 2012-present,,House Revenue,House AET,"HB1401,HB0419",,,http://billstatus.ls.state.ms.us/members/house/Boyd.jpg,
Chris Brown,brown.jpg (https://dl.airtable.com/ZOyAWKd5QEKCX2VrskTJ_brown.jpg),house,R,20,"Itawamba,Lee,Monroe",House 2012-present,House Medicaid,,House Medicaid,"HB1410,HB1410,HB1401,HB1226,HB1231,HB1245,HB1287",,(601) 359-2428,http://billstatus.ls.state.ms.us/members/house/Brown.jpg,
Cedric Burnett,burnett.jpg (https://dl.airtable.com/MVLWVvkqTdSvevSpFwnN_burnett.jpg),house,D,9,"Coahoma,Quitman,Tate,Tunica",House 2016-present,,House Tech. Comm.,"House Jud. B,House Tech. Comm.","HB1212,HB1213,HB1214",CBurnett@house.ms.gov,(601) 359-3259,http://billstatus.ls.state.ms.us/members/house/Burnett.jpg,http://billstatus.ls.state.ms.us/members/house/Burnett.xml
Charles Busby,Busby.jpg (https://dl.airtable.com/tgJJSMpZToK4OcyTsQC2_Busby.jpg),house,R,111,Jackson,House 2012-present,,,,"HB0603,HB0705,HB1299",,(601) 359-3355,http://billstatus.ls.state.ms.us/members/house/Busby.jpg,
Larry Byrd,Byrd.jpg (https://dl.airtable.com/T5zaDj2GSmCaMgIKbxAz_Byrd.jpg),house,R,104,Forrest,House 2008-present,House County Affairs,,House Ways and Means,HB1367,,(601) 359-3337,http://billstatus.ls.state.ms.us/members/house/Byrd.jpg,
Credell Calhoun,Calhoun.jpg (https://dl.airtable.com/PtVR8NHlTgCOTMCjtilZ_Calhoun.jpg),house,D,68,"Hinds,Rankin","House 1980-1992,House 2004-present",,,House Edu.,HB0923,,(601) 359-3351,http://billstatus.ls.state.ms.us/members/house/Calhoun.jpg,
Lester Carpenter,Carpenter.jpg (https://dl.airtable.com/ed9KeQU7Rb6DSLXxb0Wr_Carpenter.jpg),house,R,1,"Alcorn,Tishomingo",House 2008-present,,,,"HB0135,HB0413,HB1424,HB1425,HB1447",,(601) 359-4073,http://billstatus.ls.state.ms.us/members/house/Carpenter.jpg,
Gary Chism,chism.jpg (https://dl.airtable.com/Rl0dO50BQ3arrxakKC6r_chism.jpg),house,R,37,"Clay,Lowndes,Oktibbeha",House 2000-present,,,House Jud. A,"HB0603,HB0873,HB1197,HB1202",,(601) 359-3364,http://billstatus.ls.state.ms.us/members/house/Chism.jpg,
Bryant W. Clark,clark.jpg (https://dl.airtable.com/y2nZrk0TRb3QnE8wi8OG_clark.jpg),house,D,47,"Attala,Holmes,Yazoo",House 2004-present,,,House Jud. A,"HB0669,HB0055,HB0240,HB0295,HB0303,HB0308,HB0140,HB0742,HB1098,HB1151,HB1445",,,http://billstatus.ls.state.ms.us/members/house/Clark.jpg,
Alyce G. Clarke,clarke.jpg (https://dl.airtable.com/jsRBXIHURTmCelpxmjDT_clarke.jpg),house,D,69,Hinds,House 1985-present,,House Drug Policy,House Drug Policy,"HB0244,HB0245,HB0246,HB1314",,,http://billstatus.ls.state.ms.us/members/house/Clarke.jpg,
Angela Cockerham,cockerham.jpg (https://dl.airtable.com/TD3dnfSQxWfM3OywIJSg_cockerham.jpg),house,D,96,"Adams,Amite,Pike,Wilkinson",House 2005-present,,,House Jud. A,"HB1348,HB1393,HB1436,HB1437,HB1438",,,http://billstatus.ls.state.ms.us/members/house/Cockerham.jpg,
John Glen Corley,Corley.jpg (https://dl.airtable.com/FgxpKkGdQx607DhqNKGQ_Corley.jpg),house,R,106,"Lamar,PearlRiver",House 2017-present,,,,,,,http://billstatus.ls.state.ms.us/members/house/Corley.jpg,
Carolyn Crawford,Crawford.jpg (https://dl.airtable.com/poFpYhVSsqE4GIIOp8Rn_Crawford.jpg),house,R,121,Harrison,House 2012-present,,,,"HB1120,HB1121",,,http://billstatus.ls.state.ms.us/members/house/Crawford.jpg,
Dana Criswell,criswell.jpg (https://dl.airtable.com/IPsI2hsBToSDpPfDbVce_criswell.jpg),house,R,6,DeSoto,House 2016-present,,,"House Drug Policy,House Jud. A,House Tech. Comm.","HB0413,HB0668",,,http://billstatus.ls.state.ms.us/members/house/Criswell.jpg,
Becky Currie,currie.jpg (https://dl.airtable.com/r6i5QyBvQTib3rvRGmAi_currie.jpg),house,R,92,"Copiah,Lawrence,Lincoln",House 2008-present,,,"House AET,House Medicaid","HB0553,HB0419,HB0434,HB1398",,,http://billstatus.ls.state.ms.us/members/house/Currie.jpg,
Scott DeLano,DeLano.jpg (https://dl.airtable.com/0eTPZG2RJ2tMGzyWSA3Q_DeLano.jpg),house,R,117,Harrison,House 2010-present,House Tech. Comm.,,House Tech. Comm.,"HB0603,HB0219,HB0236,HB0232,HB0744,HB1131,HB1147,HB1300",,,http://billstatus.ls.state.ms.us/members/house/DeLano.jpg,
Bill Denny,denny.jpg (https://dl.airtable.com/CpOSeCATo6oI2ypEvKIw_denny.jpg),house,R,,"Hinds,Madison",House 1988-present,,,House Jud. A,HB0057,,,http://billstatus.ls.state.ms.us/members/house/Denny.jpg,
Oscar Denton,Denton.jpg (https://dl.airtable.com/mpyJtuUcTpyXICjxAr8Z_Denton.jpg),house,D,55,Warren,House 2014-present,,,"House Drug Policy,House Tech. Comm.","HB1390,HB1410,HB1414",,,http://billstatus.ls.state.ms.us/members/house/Denton.jpg,
Deborah Butler Dixon,dixon.jpg (https://dl.airtable.com/LPdO8rYTRz2NrCUrdRdK_dixon.jpg),house,D,63,"Hinds,Warren,Yazoo",House 2012-present,,,"House Corrections,House Jud. B","HB1399,HB0585,HB0702,HB1417,HB0388,HB0389,HB1069,HB1064,HB1065,HB1067,HB1068,HB1072,HB1074,HB1075,HB1145",DDixon@house.ms.gov,(601) 359-3755,http://billstatus.ls.state.ms.us/members/house/Dixon.jpg,http://billstatus.ls.state.ms.us/members/house/Dixon.xml
Jarvis Dortch,dortch.jpg (https://dl.airtable.com/X02v1txsRQ3hWuD3rYoA_dortch.jpg),house,D,66,Hinds,House 2016-present,,,House Medicaid,,,,http://billstatus.ls.state.ms.us/members/house/Dortch.jpg,
Dan Eubanks,eubanks.jpg (https://dl.airtable.com/XLeVcWRSvqdaxkPy3D6w_eubanks.jpg),house,R,25,DeSoto,House 2016-present,,,,"HB1410,HB0045,HB0413",,(601) 359-4082,http://billstatus.ls.state.ms.us/members/house/Eubanks.jpg,
Casey Eure,Eure.jpg (https://dl.airtable.com/8kn5jRvxQeoK5UmK8ORg_Eure.jpg),house,R,116,Harrison,House 2011-present,,,,HB0757,,,http://billstatus.ls.state.ms.us/members/house/Eure.jpg,
Michael T. Evans,evans_(45th).jpg (https://dl.airtable.com/FXspd4TQp6SfivHr5pK5_evans_(45th).jpg),house,D,45,"Kemper,Lauderdale,Neshoba,Winston",House 2012-present,,,,,,,http://billstatus.ls.state.ms.us/members/house/evans_(45th).jpg,
Bob Evans,evans_(91st).jpg (https://dl.airtable.com/JustHCYJQ42mpBOq9EGX_evans_(91st).jpg),house,D,91,"Copiah,Covington,JeffDavis,Lawrence,Simpson",House 2008-present,,,House Jud. A,HB1199,,,http://billstatus.ls.state.ms.us/members/house/evans_(91st).jpg,
John G. Faulkner,Faulkner.jpg (https://dl.airtable.com/Al6oNDGXTVKK5iZQnSQt_Faulkner.jpg),house,I,5,"Benton,Lafayette,Marshall,Tate",House 2014-present,,,,"HB1061,HB0241,HB0868,HB1315",,,http://billstatus.ls.state.ms.us/members/house/Faulkner.jpg,
Kevin Ford,ford.jpg (https://dl.airtable.com/PbzsnYZEQZqnNltkRmQQ_ford.jpg),house,R,54,"Issaquena,Warren,Yazoo",2018-present,,,,,KFord@house.ms.gov,,http://billstatus.ls.state.ms.us/members/house/Ford.jpg,
Mark Formby,Formby.jpg (https://dl.airtable.com/07UzX7k9SNWgQTJgWLKg_Formby.jpg),house,R,108,PearlRiver,House 1993-present,House Revenue,,,"HB0605,HB0312,HB0313,HB0539,HB0577",,(601) 359-3356,http://billstatus.ls.state.ms.us/members/house/Formby.jpg,
Robert Foster,Foster.jpg (https://dl.airtable.com/3LTqfzzRmCIe6GOwlA6f_Foster.jpg),house,R,28,DeSoto,House 2016-present,,House AET,House AET,"HB0226,HB0413",,,http://billstatus.ls.state.ms.us/members/house/Foster.jpg,
Karl Gibbs,gibbs_(36th).jpg (https://dl.airtable.com/QZi9qNEMSjagcBJjVUDc_gibbs_(36th).jpg),house,D,36,"Clay,Monroe",House 2013-present,,,,HB1061,,,http://billstatus.ls.state.ms.us/members/house/gibbs_(36th).jpg,
Debra Gibbs,gibbs_(72nd).jpg (https://dl.airtable.com/cm9BBVJnT669ixdEtVdu_gibbs_(72nd).jpg),house,D,17,"Hinds,Madison",House 2016-present,,,"House Jud. A,House Medicaid",,dgibbs@house.ms.gov,,http://billstatus.ls.state.ms.us/members/house/gibbs_(72nd).jpg,
Andy Gipson,gipson.jpg (https://dl.airtable.com/XU7arqfGQ0SQQbYpoVT2_gipson.jpg),house,R,17,"Rankin,Simpson",House 2008-present,House Jud. B,,House Jud. B,"HB0585,HB0602,HB1267,HB1051,HB0559,HB0701,HB0783,HB0387,HB0541,HB0777,HB0805,HB0802,HB0800,HB0778,HB0917,HB0918,HB0929,HB0950,HB1080,HB1171,HB1289",AGipson@house.ms.gov,(601) 359-1541,http://billstatus.ls.state.ms.us/members/house/Gipson.jpg,http://billstatus.ls.state.ms.us/members/house/Gipson.xml
Jeffrey S. Guice,guice.jpg (https://dl.airtable.com/R1J7kGvqQkC0Ex4ghYq4_guice.jpg),house,R,114,"Harrison,Jackson",House 2008-present,,,House Tech. Comm.,,jguice@house.ms.gov,(601) 359-2420,http://billstatus.ls.state.ms.us/members/house/Guice.jpg,
Philip Gunn,Gunn.jpg (https://dl.airtable.com/P4e0xQKfTSaWA1U7gFuT_Gunn.jpg),house,R,56,"Hinds,Madison",House 2004-present,,,,HB1310,,,http://billstatus.ls.state.ms.us/members/house/Gunn.jpg,
Jeff Hale,hale.jpg (https://dl.airtable.com/4llRt8osRS6NJaWYC0Hp_hale.jpg),house,R,24,DeSoto,House 2016-present,,,House Drug Policy,"HB0049,HB1420",jhale@house.ms.gov,,http://billstatus.ls.state.ms.us/members/house/Hale.jpg,
Greg Haney,haney.jpg (https://dl.airtable.com/okaCBxRITcuMFKPRaC52_haney.jpg),house,R,118,Harrison,House 2012-present,,,House AET,HB1433,ghaney@house.ms.gov,(601) 359-3338,http://billstatus.ls.state.ms.us/members/house/Haney.jpg,
Ashley Henley,henley.jpg (https://dl.airtable.com/GollFdBPTLOSyDv1nC7X_henley.jpg),house,R,40,DeSoto,House 2016-present,,,"House Corrections,House Tech. Comm.",,ahenley@house.ms.gov,,http://billstatus.ls.state.ms.us/members/house/Henley.jpg,
"John W. Hines, Sr.",Hines.jpg (https://dl.airtable.com/uTDCFKzNRuq87dAazmNg_Hines.jpg),house,D,50,"Bolivar,Issaquena,Washington",House 2001-present,,,,"HB0635,HB0669,HB0070,HB0073,HB0104,HB0113,HB0227,HB0242,HB1430,HB0946",,,http://billstatus.ls.state.ms.us/members/house/Hines.jpg,
D. Stephen Holland,holland.jpg (https://dl.airtable.com/WcVci2STL6pN7Fpzj1xH_holland.jpg),house,D,16,"Lee,Monroe",House 1984-present,,,House Medicaid,"HB0006,HB0027,HB0131",N/A,(601) 359-3236,http://billstatus.ls.state.ms.us/members/house/Holland.jpg,
"Gregory Holloway, Sr.",Holloway.jpg (https://dl.airtable.com/cKlfwbhlT3qtBfu2FMNb_Holloway.jpg),house,D,76,"Claiborne,Copiah,Hinds",House 2000-present,,,,HB0139,,,http://billstatus.ls.state.ms.us/members/house/Holloway.jpg,
Joey Hood,hood.jpg (https://dl.airtable.com/pmXujEQ6RPGTbgCSsGRT_hood.jpg),house,R,35,"Attala,Choctaw,Webster,Winston",House 2012-present,,,"House Drug Policy,House Jud. B,House Medicaid",HB1385,JHood@house.ms.gov,(601) 359-3321,http://billstatus.ls.state.ms.us/members/house/Hood.jpg,http://billstatus.ls.state.ms.us/members/house/Hood.xml
Steve Hopkins,hopkins.jpg (https://dl.airtable.com/tyybUfVpT32WC2IzBDqS_hopkins.jpg),house,R,7,DeSoto,House 2016-present,,,,"HB1410,HB0541,HB1401,HB0413,HB0490,HB0491,HB0696",shopkins@house.ms.gov,(601) 359-9393,http://billstatus.ls.state.ms.us/members/house/Hopkins.jpg,
Kevin Horan,horan.jpg (https://dl.airtable.com/agq1N42tQ7KWoafn9i7T_horan.jpg),house,D,34,"Carroll,Grenada,Holmes,Leflore,Tallahatchie",House 2012-present,,,"House Corrections,House Drug Policy,House Jud. B","HB1001,HB1275,HB1276,HB1283,HB1285,HB1286,HB1287,HB1288,HB1289,HB1278,HB1280,HB1283,HBXXXx,HB0723,HB0786,HB0830,HB0832,HB1088,HB1089,HB1237,HB1463",KHoran@house.ms.gov,(601) 359-3311,http://billstatus.ls.state.ms.us/members/house/Horan.jpg,http://billstatus.ls.state.ms.us/members/house/Horan.xml
Stephen A. Horne,Horne.jpg (https://dl.airtable.com/vvYfT1bRNuD4N7tOww6T_Horne.jpg),house,R,81,"Clarke,Lauderdale",House 2004-present,,,,,,,http://billstatus.ls.state.ms.us/members/house/Horne.jpg,
Mac Huddleston,huddleston_(15th).jpg (https://dl.airtable.com/3qIrOP6qRgWqgWPHLRYm_huddleston_(15th).jpg),house,R,15,Pontotoc,House 2008-present,,,,,,,http://billstatus.ls.state.ms.us/members/house/huddleston_(15th).jpg,
Robert E. Huddleston,Huddleston_(30th).jpg (https://dl.airtable.com/3A60hrdARKmBjE7LitcC_Huddleston_(30th).jpg),house,D,30,"Bolivar,Quitman,Sunflower,Tallahatchie",House 1996-present,,,House Corrections,HB0669,rhuddleston@house.ms.gov,(601) 359-4085,http://billstatus.ls.state.ms.us/members/house/huddleston_(30th).jpg,
Abe Hudson,hudson.jpg (https://dl.airtable.com/gMm79jFNQCShqUE6PDFh_hudson.jpg),house,D,29,"Bolivar,Sunflower",House 2016-present,,,"House Corrections,House Drug Policy",HB0668,ahudson@house.ms.gov,unavailable,http://billstatus.ls.state.ms.us/members/house/Hudson.jpg,
Jay Hughes,hughes.jpg (https://dl.airtable.com/kbQQ6PFSACJboeZGcNAQ_hughes.jpg),house,D,12,Lafayette,House 2016-present,,,"House AET,House Jud. A,House Medicaid",,jphughes@house.ms.gov,,http://billstatus.ls.state.ms.us/members/house/Hughes.jpg,
Lataisha Jackson,Jackson.jpg (https://dl.airtable.com/mEk4u7rDT2C2oxgesqfN_Jackson.jpg),house,I,11,"Panola,Tate",House 2013-present,,,,,,,http://billstatus.ls.state.ms.us/members/house/Jackson.jpg,
Chris Johnson,johnson_(87th).jpg (https://dl.airtable.com/QKHxCVvqRZCcDnbRWDKh_johnson_(87th).jpg),house,R,,"Forrest,Lamar",House 2016-present,,,House Corrections,HB1135,chjohnson@house.ms.gov,,http://billstatus.ls.state.ms.us/members/house/johnson_(87th).jpg,
Robert L. Johnson III (94th),johnson_(94th).jpg (https://dl.airtable.com/oiy1XYi3TGu76cRbxcLy_johnson_(94th).jpg),house,D,,"Adams,Franklin,Jefferson",,,,"House Jud. A,House Medicaid","HC0049,HR0014",rjohnson@house.ms.gov,(601) 359-3252,http://billstatus.ls.state.ms.us/members/house/johnson_(94th).jpg,
Kabir Karriem,karriem.jpg (https://dl.airtable.com/4lspc5K5QCWzXobwL3EY_karriem.jpg),house,D,,Lowndes,,,,House Drug Policy,"HB1390,HB0927,HR0007,HB1323,HB1313,HB1321",kkarriem@house.ms.gov,(601) 359-3339,http://billstatus.ls.state.ms.us/members/house/Karriem.jpg,
Bill Kinkade,kinkade.jpg (https://dl.airtable.com/30HVg1j0TeLL844EM3SU_kinkade.jpg),house,R,,"DeSoto,Marshall",,House Corrections,,House Corrections,"HB0106,HB0107,HB0056,HB0058,HB0059,HB0060,HB0061,HB1124,HB1125,HB1126,HB1127,HB1128,HB1139,HB1140,HB1141,HB1142,HB1143,HB1172,HB1341,HB1342,HB1354",bkinkade@house.ms.gov,,http://billstatus.ls.state.ms.us/members/house/Kinkade.jpg,
Timmy Ladner,ladner.jpg (https://dl.airtable.com/afGq0liFSFyjDcJquC4V_ladner.jpg),house,R,93,"Hancock,PearlRiver,Stone",House 2012-present,,,House Jud. B,"HB0172,HB1263,HB1040",TLadner@house.ms.gov,(601) 359-2422,http://billstatus.ls.state.ms.us/members/house/Ladner.jpg,http://billstatus.ls.state.ms.us/members/house/Ladner.xml
"John Thomas ""Trey"" Lamar, III",lamar.jpg (https://dl.airtable.com/EP3jpPITQK07zZOwcKg8_lamar.jpg),house,R,,"Lafayette,Tate",,,,House Jud. A,HB1429,jlamar@house.ms.gov,(601) 359-3343,http://billstatus.ls.state.ms.us/members/house/Lamar.jpg,
Vince Mangold,Mangold.jpg (https://dl.airtable.com/TcSFK23kQOmdcdNa0XN9_Mangold.jpg),house,R,53,"Franklin,JeffDavis,Lawrence,Lincoln,Pike",House 2016-present,,,,,,,http://billstatus.ls.state.ms.us/members/house/Mangold.jpg,
Steve Massengill,Massengill.jpg (https://dl.airtable.com/xpckRYIoR7qpwWRut4Va_Massengill.jpg),house,R,13,"Benton,Lafayette,Marshall,Union",House 2012-present,,,,"HB1263,HB0028,HB1012",,,http://billstatus.ls.state.ms.us/members/house/Massengill.jpg,
Missy McGee,mcgee.jpg (https://dl.airtable.com/lP1WYnnCQ0KqBjYWmxw1_mcgee.jpg),house,R,102,"Forrest,Lamar",House 2017-present,,,,,mmcgee@house.ms.gov,,http://billstatus.ls.state.ms.us/members/house/McGee.jpg,
Doug McLeod,mcleod.jpg (https://dl.airtable.com/NcBBagmQS3a5OurdpOpK_mcleod.jpg),house,R,,"George,Stone",,,,"House AET,House Corrections,House Medicaid",,dmcleod@house.ms.gov,(601) 359-3278,http://billstatus.ls.state.ms.us/members/house/McLeod.jpg,
Roun McNeal,mcneal.jpg (https://dl.airtable.com/slMjYYEThmHFZsBHUibg_mcneal.jpg),house,R,105,"George,Greene,Perry",House 2016-present,,,"House Corrections,House Jud. B",HB1085,RMcNeal@house.ms.gov,(601) 359-3352,http://billstatus.ls.state.ms.us/members/house/McNeal.jpg,http://billstatus.ls.state.ms.us/members/house/McNeal.xml
Nolan Mettetal,Mettetal.jpg (https://dl.airtable.com/Ie1Yp3qQRqe5eLv9Wrqv_Mettetal.jpg),house,R,10,"Lafayette,Panola,Tallahatchie","Sen. 1996-2011,House 2012-present",,,House Medicaid,,,,http://billstatus.ls.state.ms.us/members/house/Mettetal.jpg,
Carl Mickens,mickens.jpg (https://dl.airtable.com/FBZP8q4eTNiMQSpRxMev_mickens.jpg),house,D,42,"Lowndes,Noxubee,Winston",,,House Corrections,House Corrections,"HB1390,HB1061",cmickens@house.ms.gov,,http://billstatus.ls.state.ms.us/members/house/Mickens.jpg,
America Chuck Middleton,Middleton.jpg (https://dl.airtable.com/63yspJOdRxio8rYqsLeb_Middleton.jpg),house,D,85,"Claiborne,Franklin,Jefferson,Warren",House 1996-present,,,,,,,http://billstatus.ls.state.ms.us/members/house/Middleton.jpg,
Tom Miles,Miles.jpg (https://dl.airtable.com/qIGFdegTWqPY2IoFFVbl_Miles.jpg),house,D,75,"Rankin,Scott",House 2012-present,,,House AET,HB0026,,,http://billstatus.ls.state.ms.us/members/house/Miles.jpg,
"Sam C. Mims, V",mims.jpg (https://dl.airtable.com/jYTJDoqTeiqOPQEmrZwR_mims.jpg),house,R,97,"Adams,Amite,Franklin,Pike",House 2004-present,,,"House Jud. B,House Medicaid","HB0912,HB1358",SMims@house.ms.gov,(601) 359-3320,http://billstatus.ls.state.ms.us/members/house/Mims.jpg,http://billstatus.ls.state.ms.us/members/house/Mims.xml
Ken Morgan,Morgan.jpg (https://dl.airtable.com/2qdb8BPNRYu25nsDBgaV_Morgan.jpg),house,R,100,"Lamar,Marion",House 2007-present,,,,HB1263,,,http://billstatus.ls.state.ms.us/members/house/Morgan.jpg,
David W. Myers,myers.jpg (https://dl.airtable.com/csXOCCBcRGO79CVniDH3_myers.jpg),house,D,98,"Pike,Walthall",,,,House Medicaid,HB1061,dmyers@house.ms.gov,,http://billstatus.ls.state.ms.us/members/house/Myers.jpg,
Karl Oliver,oliver.jpg (https://dl.airtable.com/M914E8xTRLuN21khZzua_oliver.jpg),house,R,46,"Carroll,Grenada,Leflore,Montgomery,Webster",,,,"House Corrections,House Drug Policy",,koliver@house.ms.gov,,http://billstatus.ls.state.ms.us/members/house/Oliver.jpg,
Orlando Paden,Paden.jpg (https://dl.airtable.com/Rkxy3d33TS6LqIntlbev_Paden.jpg),house,D,26,"Bolivar,Coahoma",House 2016-present,,,,"HB1390,HB1401,HB1265",,,http://billstatus.ls.state.ms.us/members/house/Paden.jpg,
Randall Patterson,Patterson.jpg (https://dl.airtable.com/jxTkPrjySAep5dbIDixY_Patterson.jpg),house,R,115,Harrison,House 2004-present,,,,"HB0190,HB0194",,,http://billstatus.ls.state.ms.us/members/house/Patterson.jpg,
"Willie J. Perkins, Sr.",Perkins.jpg (https://dl.airtable.com/zJqRzpSa1FeBshj4QNAz_Perkins.jpg),house,D,32,Leflore,House 1993-present,,,House Jud. A,,,,http://billstatus.ls.state.ms.us/members/house/Perkins.jpg,
Bill Pigott,Pigott.jpg (https://dl.airtable.com/vJPcOZvQ7GlbhflhH8dF_Pigott.jpg),house,R,99,"Lamar,Marion,Walthall",House 2008-present,,,,,,,http://billstatus.ls.state.ms.us/members/house/Pigott.jpg,
