Location,Capacity_x_x,1-Nov-14,2-Nov-14,3-Nov-14,4-Nov-14,5-Nov-14,6-Nov-14,7-Nov-14,8-Nov-14,9-Nov-14,Capacity_y_x,10-Nov-14,11-Nov-14,12-Nov-14,13-Nov-14,14-Nov-14,15-Nov-14,16-Nov-14,17-Nov-14,18-Nov-14,Capacity_x_y,19-Nov-14,20-Nov-14,Capacity.1,21-Nov-14,22-Nov-14,23-Nov-14,24-Nov-14,25-Nov-14,26-Nov-14,27-Nov-14,Capacity_y_y,28-Nov-14,29-Nov-14,Unnamed: 4,30-Nov-14 Avg Population
Kemper County,355,341,340,337,337,337,333,332,334,333,355,333,328,337,335,332,332,332,331,331,355,331,330,355,329,329,329,328,331,330,330,355,330,330,330,332
Leake County,280,256,256,254,255,254,253,252,249,249,280,249,251,258,258,257,257,257,256,256,280,259,258,280,256,256,255,254,256,254,254,280,254,254,254,255
Marion County,280,278,278,276,268,280,280,279,280,280,280,280,278,277,277,277,277,277,277,278,280,278,278,280,277,276,276,275,276,276,276,280,276,275,274,277
Stone County,280,279,279,280,280,279,278,277,277,277,280,277,277,275,276,275,275,274,274,274,280,271,271,280,270,270,270,270,269,269,269,280,269,269,269,274
Washington County,300,132,279,279,278,278,277,276,283,283,300,283,282,282,280,277,276,276,275,274,300,283,283,300,282,282,282,280,280,282,282,300,282,282,282,275
Winston County,280,270,268,266,269,265,267,267,264,264,280,264,266,266,267,265,265,265,264,262,280,262,267,280,264,264,264,264,266,264,264,280,264,264,264,265
Yazoo County,300,283,282,283,290,290,291,291,288,288,300,288,286,287,287,286,286,286,286,286,300,286,286,300,286,284,284,284,286,283,282,300,279,282,282,286
PRIVATE PRISONS,"5,972","4,316","4,313","4,302","4,307","4,294","4,293","4,293","4,294","4,290","5,972","4,290","4,274","4,282","4,286","4,338","4,335","4,334","4,329","4,344","5,972","4,337","4,335","5,972","4,338","4,334","4,335","4,337","4,334","4,322","4,323","5,972","4,323","4,320","4,319","4,316"
Delta,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,972,0,0,0,0,0,0,0,972,0,0,0,0
East Mississippi,"1,500","1,188","1,187","1,190","1,193","1,193","1,190","1,190","1,193","1,193","1,500","1,193","1,191","1,194","1,194","1,188","1,187","1,187","1,187","1,186","1,500","1,184","1,181","1,500","1,181","1,179","1,180","1,181","1,181","1,177","1,177","1,500","1,178","1,176","1,176","1,186"
Marshall County,"1,000",999,998,994,993,991,"1,001","1,001","1,000","1,000","1,000","1,000",997,996,"1,000",999,999,999,999,999,"1,000",998,999,"1,000",999,999,999,"1,000","1,000",999,"1,000","1,000","1,000",999,999,999
Walnut Grove,"1,500","1,301","1,300","1,295","1,288","1,278","1,271","1,271","1,251","1,247","1,500","1,247","1,239","1,246","1,244","1,303","1,302","1,301","1,299","1,299","1,500","1,297","1,298","1,500","1,300","1,298","1,298","1,298","1,298","1,292","1,292","1,500","1,292","1,292","1,291","1,284"
Wilkinson County,"1,000",828,828,823,833,832,831,831,850,850,"1,000",850,847,846,848,848,847,847,844,860,"1,000",858,857,"1,000",858,858,858,858,855,854,854,"1,000",853,853,853,847
RESTITUTION CENTERS,16,5,5,5,5,5,8,8,8,8,16,8,5,5,5,4,4,4,6,6,16,7,7,16,10,10,10,10,7,7,6,16,6,6,6,7
Greenwood,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,2,2,2,3,3,6,3,3,6,3,3,3,3,3,3,3,6,3,3,3,3
Hinds,6,1,1,1,1,1,4,4,4,4,6,4,1,1,1,1,1,1,2,2,6,3,3,6,6,6,6,6,3,3,3,6,3,3,3,3
Pascagoula,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,0,4,0,0,0,1
GOVERNOR'S MANSION    (CLOSED),6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,,,6,0,,6,0,,0,0,0,,0,6,0,0,0,0
E-CODE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0,0,0,0
TOTALS,"25,710","19,590","19,582","19,584","19,553","19,524","19,508","19,475","19,467","19,460","25,710","19,456","19,415","19,311","19,330","19,308","19,300","19,291","19,303","19,314","25,710","19,314","19,312","25,722","19,328","19,316","19,276","19,311","19,333","19,300","19,291","25,710","19,282","19,268","19,260","19,379"
