Location,Capacity_x_x,1-Dec-16,2-Dec-16,3-Dec-16,4-Dec-16,5-Dec-16,6-Dec-16,7-Dec-16,8-Dec-16,9-Dec-16,10-Dec-16,Capacity_y_x,11-Dec-16,12-Dec-16,13-Dec-16,14-Dec-16,15-Dec-16,16-Dec-16,Capacity_x_y,17-Dec-16,18-Dec-16,19-Dec-16,20-Dec-16,21-Dec-16,22-Dec-16,23-Dec-16,Capacity_y_y,24-Dec-16,25-Dec-16,26-Dec-16,27-Dec-16,28-Dec-16,29-Dec-16,30-Dec-16,31-Dec-16,Avg Population
Flowood TVC,50,16,16,16,16,16,16,16,15,27,27,50,27,26,26,26,26,26,50,26,26,25,23,23,23,23,50,23,23,23,21,21,23,23,23,22
Simpson TVC,82,48,48,47,47,46,46,45,45,53,53,82,53,51,50,51,51,70,82,68,68,68,64,61,62,64,82,62,62,60,55,55,58,58,56,56
Simpson TVC Support,20,12,17,17,17,14,15,15,15,15,15,20,15,15,13,13,13,13,20,13,13,13,13,13,12,12,20,13,13,13,13,13,11,11,11,14
Washington Satellite Facility,102,65,65,65,65,68,68,75,75,75,75,102,75,74,74,74,74,76,102,76,76,76,77,77,77,77,102,77,77,77,77,77,75,77,77,74
Wilkinson Satellite Facility,102,63,62,62,62,67,65,65,65,65,64,102,64,64,64,60,64,64,102,64,64,64,62,64,63,63,102,64,64,64,64,64,62,62,62,64
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,494","4,066","4,013","4,011","4,011","3,992","3,996","3,955","3,962","3,966","3,965","4,494","3,962","3,963","3,947","3,941","3,933","3,938","4,494","3,936","3,934","3,927","3,924","3,921","3,916","3,916","4,494","3,913","3,916","3,913","3,894","3,895","3,883","3,870","3,869","3,946"
Alcorn County,300,244,243,243,243,242,241,238,240,239,239,300,239,238,238,238,240,240,300,240,240,240,240,241,241,241,300,240,241,241,240,240,239,238,238,240
Bolivar County,369,280,293,293,293,293,292,289,291,291,290,369,290,294,294,294,293,292,369,292,292,294,293,293,292,292,369,291,292,292,294,294,294,293,293,292
Carroll County,280,251,251,251,251,251,250,250,248,248,248,280,247,247,245,245,240,240,280,240,240,240,239,237,237,237,280,236,237,237,234,234,233,228,227,242
Chickasaw County,310,279,278,278,278,277,276,276,272,271,271,310,271,271,270,267,267,267,310,267,267,267,267,266,266,266,310,266,266,266,266,265,264,259,259,270
George County,280,276,274,274,274,274,271,269,268,267,267,280,267,267,262,261,260,259,280,259,259,254,255,252,250,250,280,250,250,249,244,243,242,242,242,260
Holmes County,280,263,262,262,262,240,239,224,224,224,224,280,224,224,224,223,223,222,280,222,222,221,220,224,224,224,280,224,224,224,224,222,222,224,224,230
Issaquena County,274,253,252,252,252,262,274,273,273,272,272,274,272,272,274,274,274,272,274,271,272,273,274,274,273,273,274,273,273,273,271,274,274,274,274,270
Jefferson County,280,278,277,277,277,277,278,273,277,280,280,280,279,279,279,280,279,278,280,278,278,277,279,280,279,279,280,279,279,278,278,278,278,279,279,278
Kemper County,355,348,352,351,351,350,350,348,350,351,351,355,350,349,347,349,348,352,355,352,351,350,349,350,350,350,355,350,350,350,350,352,352,350,350,350
Leake County,280,198,200,200,200,199,199,195,200,200,200,280,200,200,198,199,199,200,280,200,200,199,200,200,200,200,280,200,200,200,200,200,200,200,200,200
Marion County,280,275,274,274,274,273,273,274,274,274,274,280,274,273,273,272,272,272,280,272,272,272,272,271,271,271,280,271,271,271,266,266,263,263,263,272
Stone County,326,325,323,323,323,323,323,321,321,321,321,326,321,321,321,319,319,319,326,318,316,316,317,316,316,316,326,316,316,315,315,315,313,313,313,319
Washington County,300,223,222,222,222,222,222,222,222,226,226,300,226,226,220,220,220,227,300,227,227,227,224,223,223,223,300,223,223,223,221,220,220,219,219,223
Winston County,280,277,245,244,244,244,244,241,241,241,241,280,241,241,241,241,241,241,280,241,241,241,240,240,240,240,280,240,240,240,239,239,237,237,237,242
Yazoo County,300,296,267,267,267,265,264,262,261,261,261,300,261,261,261,259,258,257,300,257,257,256,255,254,254,254,300,254,254,254,252,253,252,251,251,260
PRIVATE PRISONS,"5,972","3,057","3,061","3,060","3,059","3,061","3,061","3,065","3,062","3,067","3,066","5,972","3,066","3,070","3,066","3,060","3,061","3,075","5,972","3,072","3,071","3,066","3,073","3,074","3,075","3,075","5,972","3,075","3,071","3,071","3,067","3,078","3,076","3,080","3,079","3,068"
Delta,972,0,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,972,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,163","1,168","1,168","1,168","1,168","1,165","1,172","1,172","1,172","1,172","1,500","1,172","1,171","1,170","1,168","1,169","1,181","1,500","1,180","1,180","1,177","1,176","1,182","1,184","1,184","1,500","1,184","1,182","1,182","1,182","1,182","1,181","1,179","1,179",1175
Marshall County,"1,000",996,"1,000","1,000",999,999,998,998,998,"1,000",999,"1,000",999,999,997,997,"1,000","1,000","1,000",999,999,999,998,995,994,994,"1,000",994,992,992,990,"1,000",999,997,997,997
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,0,0,0,"1,500",0,0,0,0,0,0,0,"1,500",0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",898,893,892,892,894,898,895,892,895,895,"1,000",895,900,899,895,892,894,"1,000",893,892,890,899,897,897,897,"1,000",897,897,897,895,896,896,904,903,896
RESTITUTION CENTERS,16,12,12,12,12,13,13,13,13,13,13,16,13,13,13,13,13,13,16,13,13,13,11,11,11,11,16,11,11,11,9,9,9,9,9,12
Greenwood,6,4,4,4,4,5,5,5,5,5,5,6,5,5,5,5,5,5,6,5,5,5,4,4,4,4,6,4,4,4,4,4,4,4,4,5
Hinds,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,6
Pascagoula,4,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,2,2,1,1,1,1,4,1,1,1,1,1,1,1,1,2
TOTALS,"24,199","18,889","18,863","18,850","18,845","18,882","18,901","18,870","18,907","18,954","18,956","24,199","18,952","18,999","18,980","18,989","19,002","19,025","24,199","19,016","19,006","19,008","19,009","18,987","19,005","19,010","24,199","19,005","19,005","18,998","18,943","18,954","18,962","18,980","18,970","18,958"
