Location,Capacity_x,1-Sep-17,Unnamed: 3,2-Sep-17,3-Sep-17,4-Sep-17,5-Sep-17,6-Sep-17,7-Sep-17,8-Sep-17,9-Sep-17,10-Sep-17,11-Sep-17,12-Sep-17,13-Sep-17,14-Sep-17,15-Sep-17,16-Sep-17,17-Sep-17,Capacity_y,18-Sep-17,19-Sep-17,20-Sep-17,21-Sep-17,22-Sep-17,23-Sep-17,24-Sep-17,25-Sep-17,26-Sep-17,27-Sep-17,28-Sep-17,29-Sep-17,30-Sep-17,Avg Population
Marshall County,"1,000",999,998,998,998,996,995,994,999,999,999,997,997,"1,000",998,997,997,997,,"1,000",997,997,999,999,999,999,999,999,999,995,995,995,995,998
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",896,896,896,895,894,891,890,893,893,892,891,891,905,906,906,906,906,,"1,000",905,905,905,905,900,900,900,900,900,898,898,888,888,898
RESTITUTION CENTERS,16,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,,16,13,13,13,13,11,11,11,13,13,13,14,13,13,13
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5
Hinds,6,4,4,4,4,4,4,4,4,4,4,4,4,6,6,5,5,5,,6,6,6,6,6,5,5,5,6,6,6,6,5,5,5
Pascagoula,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,,4,3,3,3,3,2,2,2,3,3,3,4,4,4,3
TRANSITIONAL HOUSING,164,36,36,36,36,36,34,34,35,35,35,35,35,36,35,37,36,36,,164,36,42,42,42,44,44,44,44,44,42,41,41,41,38
Madison,40,1,1,1,1,1,0,0,1,1,1,1,1,2,2,2,2,2,,40,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Noxubee,34,30,30,30,30,30,29,29,29,29,29,29,29,29,28,30,29,29,,34,29,35,35,35,35,35,35,35,35,33,33,33,33,31
Rankin/Flowood,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,8,5,5,5,5,5,5,5,5,5,5,4,4,4,5
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,0,0,0,0,2,2,2,2,2,2,2,2,2,1
TOTALS,"24,095","18,946","18,942","18,938","18,927","18,959","18,932","18,951","18,989","18,972","18,968","19,004","19,022","19,043","19,049","19,061","19,055","19,044",,"24,095","19,083","19,105","19,107","19,102","19,117","19,107","19,105","19,200","19,206","19,162","19,174","19,154","19,146",19052
