Location,Capacity_x_x,1-Feb-12,2-Feb-12,3-Feb-12,4-Feb-12,5-Feb-12,6-Feb-12,7-Feb-12,8-Feb-12,9-Feb-12,Capacity_y_x,10-Feb-12,11-Feb-12,12-Feb-12,13-Feb-12,14-Feb-12,15-Feb-12,16-Feb-12,17-Feb-12,18-Feb-12,Capacity_x_y,19-Feb-12,20-Feb-12,21-Feb-12,22-Feb-12,23-Feb-12,24-Feb-12,25-Feb-12,26-Feb-12,27-Feb-12,Capacity_y_y,28-Feb-12,29-Feb-12,Avg Population
Jackson Satellite Facility,102,85,81,79,79,79,82,82,85,84,102,80,80,80,82,82,81,84,82,82,102,82,84,83,81,81,81,81,81,84,102,84,83,82
Jefferson Satellite Facility,102,70,70,69,69,69,71,68,67,65,102,64,64,64,64,64,64,63,63,63,102,63,63,62,61,61,58,58,58,57,102,55,67,64
Leflore Satellite Facility,102,74,74,71,70,70,75,76,77,77,102,75,75,75,77,77,77,75,77,77,102,77,78,76,76,76,72,72,72,75,102,75,75,75
Madison Satellite Facility,102,81,81,83,83,83,83,83,76,85,102,83,83,83,83,84,87,90,91,91,102,91,91,90,89,88,87,87,87,87,102,86,91,86
Noxubee Satellite Facility,92,72,72,73,73,73,75,75,75,72,92,71,71,71,73,73,74,74,76,76,92,76,79,78,78,78,73,73,73,78,92,77,76,74
Pike Satellite Facility,93,48,48,48,48,48,47,44,44,45,93,45,45,45,45,44,45,46,46,46,93,46,46,47,49,52,60,60,60,74,93,83,90,52
Quitman Satellite Facility,93,44,44,49,49,49,49,49,49,49,93,49,49,49,51,51,51,54,70,70,93,70,70,70,70,70,75,75,75,75,93,81,81,60
Rankin Satellite Facility,260,175,174,167,167,167,172,172,172,173,260,169,169,169,170,177,179,180,178,178,260,176,182,183,185,185,181,180,179,185,260,184,184,176
Simpson Satellite Facility,102,84,88,90,90,90,89,89,89,85,102,78,78,78,85,85,85,85,82,82,102,81,83,82,82,80,75,74,74,76,102,76,76,82
Washington Satellite Facility,102,71,74,73,72,72,74,73,73,70,102,67,67,68,69,67,68,68,72,72,102,72,73,72,72,72,75,75,75,76,102,76,76,72
Wilkinson Satellite Facility,102,66,65,66,66,66,68,66,66,64,102,65,65,65,67,66,63,63,65,65,102,65,67,67,66,66,63,63,63,66,102,66,71,66
Yazoo Satellite Facility,102,80,80,77,77,77,82,82,84,82,102,81,81,81,82,82,81,81,79,79,102,79,81,83,83,82,81,79,79,79,102,78,83,81
REGIONAL CORRECTIONAL FACILITIES,"4,363","4,271","4,269","4,262","4,257","4,257","4,267","4,266","4,266","4,271","4,363","4,267","4,264","4,260","4,270","4,270","4,280","4,276","4,279","4,277","4,363","4,273","4,270","4,264","4,265","4,270","4,277","4,270","4,268","4,261","4,363","4,257","4,255","4,268"
Alcorn County,300,297,296,298,298,298,297,297,296,301,300,296,296,296,296,295,301,299,298,298,300,298,298,298,298,301,301,299,298,297,300,297,300,298
Bolivar County,294,294,293,293,293,293,293,293,293,293,294,294,294,294,294,294,293,293,294,294,294,294,294,295,295,294,294,294,294,295,294,295,293,294
Carroll County,280,280,280,279,279,279,280,279,279,279,280,278,278,278,279,279,279,279,280,280,280,280,280,279,278,280,280,280,280,280,280,280,279,279
Chickasaw County,300,296,296,299,297,297,297,297,297,300,300,300,300,300,299,299,299,300,300,300,300,300,298,297,297,300,300,299,299,298,300,297,298,298
George County,280,279,278,278,276,276,277,280,279,278,280,280,280,280,280,280,280,280,278,278,280,277,277,278,278,277,280,278,278,278,280,277,278,278
Holmes County,280,280,280,280,279,279,280,280,280,280,280,280,280,280,279,278,280,280,281,281,280,280,280,279,279,277,279,279,279,279,280,280,280,280
Issaquena County,274,273,274,270,270,270,272,274,273,274,274,274,274,274,274,274,274,273,273,273,274,273,273,272,274,274,274,273,273,274,274,273,272,273
Jefferson County,280,280,280,279,279,279,278,277,281,281,280,280,279,278,280,279,280,280,281,281,280,280,280,279,280,279,279,278,278,277,280,277,278,279
Kemper County,355,340,340,338,338,338,339,339,339,339,355,338,337,337,338,339,339,339,340,340,355,340,340,339,336,337,339,339,339,338,355,339,334,339
Leake County,280,280,279,279,279,279,280,280,280,281,280,281,281,281,281,281,281,279,280,280,280,280,280,279,279,280,280,280,280,280,280,279,280,280
Marion County,280,279,280,280,280,280,280,279,280,280,280,279,279,279,280,279,279,280,280,280,280,280,279,280,279,280,280,280,280,279,280,280,280,280
Stone County,280,280,280,280,280,280,280,280,278,278,280,277,277,277,277,278,280,280,280,280,280,280,280,279,279,279,277,277,277,280,280,280,279,279
Washington County,300,233,233,233,233,233,232,231,231,229,300,229,229,228,236,236,236,236,236,236,300,236,236,235,234,234,235,235,234,227,300,225,228,233
Winston County,280,280,280,278,278,278,280,278,278,276,280,279,279,279,279,280,280,279,278,278,280,277,277,278,280,279,279,279,279,279,280,280,278,279
Yazoo County,300,300,300,298,298,298,302,302,302,302,300,302,301,299,298,299,299,299,300,298,300,298,298,297,299,299,300,300,300,300,300,298,298,299
PRIVATE PRISONS,"5,972","4,167","4,155","4,157","4,157","4,154","4,158","4,162","4,162","4,165","5,972","4,158","4,156","4,155","4,155","4,164","4,169","4,170","4,168","4,167","5,972","4,167","4,162","4,166","4,168","4,176","4,181","4,180","4,174","4,172","5,972","4,171","4,184","4,166"
Delta,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0
East Mississippi,"1,500","1,316","1,318","1,321","1,321","1,319","1,320","1,321","1,320","1,320","1,500","1,319","1,319","1,318","1,318","1,320","1,325","1,323","1,323","1,323","1,500","1,323","1,322","1,317","1,318","1,324","1,324","1,324","1,320","1,319","1,500","1,320","1,322","1,321"
Marshall County,"1,000",999,999,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000",998,998,998,998,998,997,997,"1,000",999,"1,000",999,996,995,995,999,999,999,998,"1,000","1,000","1,000","1,000",999
Walnut Grove,"1,500",969,955,953,953,952,955,960,961,962,"1,500",958,956,956,953,959,960,963,959,959,"1,500",959,958,968,969,967,972,972,971,969,"1,500",968,972,962
Wilkinson County,"1,000",883,883,883,883,883,883,881,881,883,"1,000",883,883,883,886,887,887,887,886,886,"1,000",886,886,886,886,886,886,885,885,884,"1,000",883,890,885
RESTITUTION CENTERS,16,13,13,11,11,11,11,11,11,11,16,11,11,11,11,11,11,11,11,11,16,11,11,11,11,12,12,12,12,12,16,12,12,11
Greenwood,6,6,6,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,6,6,6,6,6,6,6,6,5
Hinds,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3
Pascagoula,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3
GOVERNOR'S MANSION    (CLOSED),6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0
E-CODE,0,6,7,42,41,41,5,3,6,6,0,50,49,48,6,4,4,2,31,31,0,32,6,6,5,8,46,48,49,13,0,9,10,21
TOTALS,"25,468","21,377","21,414","21,423","21,416","21,413","21,438","21,478","21,481","21,453","25,468","21,459","21,449","21,440","21,447","21,452","21,471","21,479","21,508","21,493","25,468","21,485","21,476","21,465","21,506","21,506","21,553","21,534","21,521","21,554","25,468","21,582","21,604","21,479"
