Location,Capacity_x,1-Apr-14,2-Apr-14,3-Apr-14,4-Apr-14,5-Apr-14,6-Apr-14,7-Apr-14,8-Apr-14,9-Apr-14,10-Apr-14,Capacity_y,11-Apr-14,12-Apr-14,13-Apr-14,14-Apr-14,15-Apr-14,16-Apr-14,17-Apr-14,18-Apr-14,19-Apr-14,20-Apr-14,21-Apr-14,Capacity,22-Apr-14,23-Apr-14,24-Apr-14,25-Apr-14,26-Apr-14,27-Apr-14,28-Apr-14,29-Apr-14,30-Apr-14,Avg Pop
Quitman Satellite Facility,93,68,69,69,69,69,68,68,69,68,67,93,72,72,72,77,78,78,78,78,78,78,77,93,80,77,77,76,77,76,,,,74
Rankin Satellite Facility,260,200,200,199,194,203,193,204,204,204,200,260,202,202,201,204,194,202,204,204,203,203,204,260,209,207,201,199,199,199,,,,201
Simpson Satellite Facility,102,89,89,96,92,92,92,94,97,96,94,102,97,97,97,97,100,100,100,98,98,98,98,102,98,102,102,102,102,102,,,,97
Washington Satellite Facility,102,53,53,52,50,50,50,50,51,51,48,102,49,49,49,50,47,44,44,44,44,44,44,102,45,46,46,46,45,45,,,,48
Wilkinson Satellite Facility,102,39,40,45,42,42,42,42,42,43,42,102,42,42,42,40,40,40,44,44,44,43,43,102,41,41,41,41,41,41,,,,42
Yazoo Satellite Facility,102,50,50,51,49,49,49,48,47,48,47,102,46,46,46,47,44,45,44,43,43,43,44,102,44,44,44,43,43,43,,,,46
REGIONAL CORRECTIONAL FACILITIES,"4,438","4,419","4,397","4,386","4,389","4,382","4,380","4,397","4,399","4,402","4,405","4,438","4,414","4,411","4,410","4,405","4,406","4,402","4,410","4,404","4,402","4,400","4,397","4,438","4,396","4,415","4,171","4,407","4,400","4,388",0.0,0.0,0.0,"4,392"
Alcorn County,300,298,296,294,297,297,297,297,298,301,299,300,298,298,298,296,295,295,300,300,300,299,299,300,299,300,300,300,299,299,,,,298
Bolivar County,369,369,366,365,367,364,363,362,362,368,368,369,369,368,368,368,370,370,369,369,369,369,368,369,366,368,368,367,364,364,,,,367
Carroll County,280,279,280,279,276,275,275,280,280,280,280,280,280,280,279,276,276,275,275,277,277,277,275,280,276,280,280,280,280,280,,,,278
Chickasaw County,300,297,296,296,300,300,300,300,299,298,300,300,300,300,300,299,300,299,300,299,299,299,299,300,298,299,299,301,301,301,,,,299
George County,280,280,270,269,276,276,276,279,279,278,279,280,279,279,279,279,278,279,279,278,278,278,278,280,278,280,279,279,278,277,,,,278
Holmes County,280,279,278,279,276,276,276,280,280,280,278,280,280,280,280,280,280,274,280,280,279,279,280,280,280,280,279,279,279,279,,,,279
Issaquena County,274,274,275,274,274,274,273,271,271,270,273,274,274,274,274,274,273,274,274,273,273,273,274,274,274,273,273,274,274,274,,,,273
Jefferson County,280,280,280,279,277,276,276,276,280,280,280,280,281,281,281,280,279,277,277,277,276,276,277,280,277,277,276,276,276,276,,,,278
Kemper County,355,353,346,346,346,346,346,354,353,354,354,355,354,354,354,354,354,354,355,354,354,354,355,355,355,355,355,355,355,355,,,,353
Leake County,280,281,279,279,276,276,276,276,271,272,272,280,279,279,279,278,278,276,277,277,277,277,277,280,272,278,276,277,276,276,,,,277
Marion County,280,280,280,280,279,279,279,280,280,280,280,280,279,279,279,280,280,280,280,280,280,280,279,280,279,280,280,280,280,280,,,,280
Stone County,280,280,281,281,279,278,278,278,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,280,279,279,278,277,276,276,,,,279
Washington County,300,295,295,294,294,294,294,294,294,293,293,300,293,293,293,293,289,289,289,287,287,287,287,300,287,287,46,287,287,287,,,,282
Winston County,280,276,275,272,273,273,273,272,272,270,271,280,269,267,267,269,275,279,275,276,276,275,274,280,277,278,281,275,275,274,,,,274
Yazoo County,300,298,300,299,299,298,298,298,300,298,298,300,299,299,299,299,299,301,300,297,297,297,296,300,299,301,301,300,300,290,,,,299
PRIVATE PRISONS,5000,3497,3498,3504,3501,3499,3497,3502,3502,3509,3502,5000,4333,4332,4332,4325,4318,4329,4339,4343,4342,4339,4342,5000,4335,4337,4337,4341,4338,4338,0.0,0.0,0.0,"4,026"
East Mississippi,"1,500",0,0,0,0,0,0,0,0,0,0,"1,500","1,199","1,199","1,199","1,198","1,198","1,197","1,198","1,199","1,198","1,198","1,199","1,500","1,198","1,198","1,199","1,200","1,200","1,200",,,,755
Marshall County,"1,000",1201,1201,1199,1198,1196,1195,"1,198","1,199","1,200","1,199","1,000",996,996,996,994,993,993,998,"1,000",1000,1000,1000,"1,000",1000,999,999,998,997,997,,,,"1,072"
Walnut Grove,"1,500",995,993,996,995,995,994,993,999,999,998,"1,500","1,278","1,277","1,277","1,274","1,267","1,279","1,285","1,286","1,286","1,283","1,288","1,500","1,283","1,286","1,290","1,292","1,291","1,291",,,,"1,177"
Wilkinson County,"1,000",1301,1304,1309,1308,1308,1308,1311,1304,1310,1305,"1,000",860,860,860,859,860,860,858,858,858,858,855,"1,000",854,854,849,851,850,850,,,,"1,023"
RESTITUTION CENTERS,16,11,11,11,11,11,11,12,12,12,12,16,11,11,8,11,11,11,11,10,10,10,11,16,11,11,11,11,11,11,0.0,0.0,0.0,11
Greenwood,6,6,6,6,6,6,6,4,4,4,4,6,3,3,3,3,3,3,3,2,2,2,3,6,3,3,3,3,3,3,,,,4
Hinds,6,3,3,3,3,3,3,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,5
Pascagoula,4,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,,,,2
TOTALS,"24,959","20,621","20,584","20,595","20,616","20,594","20,584","20,578","20,573","20,578","20,528","24,959","21,351","21,341","21,333","21,341","21,238","21,221","21,225","21,205","21,193","21,184","21,199","24,959","21,199","21,182","21,201","21,183","21,171","21,162",0.0,0.0,0.0,"20,992"
