Location,Capacity_x,1-Sep-19,2-Sep-19,3-Sep-19,4-Sep-19,5-Sep-19,6-Sep-19,7-Sep-19,8-Sep-19,9-Sep-19,10-Sep-19,11-Sep-19,12-Sep-19,13-Sep-19,14-Sep-19,15-Sep-19,16-Sep-19,17-Sep-19,Capacity_y,18-Sep-19,19-Sep-19,20-Sep-19,21-Sep-19,22-Sep-19,23-Sep-19,24-Sep-19,25-Sep-19,26-Sep-19,27-Sep-19,28-Sep-19,29-Sep-19,30-Sep-19,Avg Population
Delta TVC,324,262,252,247,263,260,259,258,258,262,256,264,259,258,255,253,257,251,324,258,251,253,252,248,261,252,262,259,255,254,251,266,257
Forrest Satellite Facility,96,76,76,82,82,81,80,80,77,80,80,80,79,77,77,77,79,78,96,74,74,65,65,65,67,66,63,63,61,61,61,65,73
George Satellite Facility,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Satellite Facility,102,50,50,50,50,50,49,49,48,50,50,50,50,48,48,48,49,49,102,48,48,47,47,48,48,47,47,48,47,47,47,48,49
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,75,75,75,75,74,79,79,78,79,79,78,78,78,78,78,78,80,62,85,85,92,91,91,88,88,88,87,87,87,87,87,82
Noxubee Satellite Facility,58,45,45,45,44,44,40,40,41,42,42,42,42,48,41,41,42,51,58,51,52,50,50,50,52,52,52,53,52,52,52,53,47
Pike Satellite Facility,93,88,88,87,87,87,85,85,85,86,86,86,85,85,85,85,85,88,93,87,87,85,85,85,86,84,84,83,81,81,81,83,85
Quitman Satellite Facility,93,63,63,62,62,61,61,61,61,61,66,66,65,61,61,61,61,62,93,62,62,61,61,61,61,60,62,62,62,62,62,62,62
Rankin Satellite Facility,178,144,144,143,142,139,138,138,140,137,137,137,142,141,141,140,139,138,178,138,138,136,136,136,137,137,137,137,136,136,136,135,139
Rankin RID,28,14,14,14,14,14,14,14,17,14,14,14,17,17,17,17,17,17,28,17,17,17,17,17,17,15,15,15,15,15,15,15,16
Flowood TVC,50,35,35,32,32,31,31,30,30,30,28,28,28,27,26,25,24,32,50,32,31,31,30,30,29,27,27,27,26,26,26,26,29
Simpson TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpson TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,61,61,60,60,59,58,58,60,57,57,56,60,60,60,60,60,59,62,58,59,59,59,59,59,59,59,58,57,57,57,57,59
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,579","4,315","4,313","4,313","4,318","4,315","4,336","4,334","4,334","4,326","4,347","4,339","4,334","4,309","4,308","4,307","4,299","4,330","4,579","4,330","4,324","4,336","4,328","4,327","4,324","4,322","4,330","4,323","4,317","4,316","4,316","4,323",4323
Alcorn County,300,300,300,300,299,297,297,297,297,297,297,298,298,298,298,298,297,300,300,299,298,298,298,298,297,296,299,299,297,297,297,297,298
Bolivar County,369,294,294,294,294,291,290,289,289,293,293,291,291,291,291,291,291,294,369,293,293,293,293,293,293,293,293,293,293,293,293,291,292
Carroll County,280,279,279,279,279,279,278,277,277,276,276,273,273,271,271,271,270,270,280,270,268,272,272,272,272,272,272,272,272,272,272,272,274
Chickasaw County,310,308,308,310,310,310,310,310,310,310,310,310,309,308,308,308,308,310,310,309,309,309,308,308,307,307,307,306,310,310,310,310,309
George County,342,337,336,335,346,353,352,352,352,351,357,353,352,332,332,332,332,341,342,340,337,337,337,336,337,335,339,339,337,336,336,336,341
Holmes County,280,276,276,276,276,279,280,280,280,280,280,280,279,278,278,278,278,279,280,278,278,278,278,278,280,280,278,280,280,280,280,279,279
Issaquena County,297,319,319,318,318,316,316,316,316,316,316,316,315,315,314,314,314,313,297,328,328,327,326,326,322,322,322,320,320,320,320,320,319
Jefferson County,280,278,278,278,278,275,279,279,279,278,280,280,280,280,280,280,280,279,280,277,276,278,278,278,279,279,280,279,279,279,279,280,279
Kemper County,355,340,340,339,338,333,344,344,344,341,349,349,349,348,348,348,348,352,355,350,352,353,353,353,352,352,353,347,348,348,348,352,347
Leake County,280,268,267,268,266,277,279,279,279,279,277,277,277,277,277,277,277,280,280,278,277,278,277,277,279,279,280,278,278,278,278,280,277
Marion County,280,278,278,279,279,279,279,279,279,277,280,280,280,280,280,280,280,279,280,280,280,279,278,278,277,278,279,280,280,280,280,280,279
Stone County,326,280,280,280,280,280,280,280,280,280,280,280,279,279,279,279,277,280,326,280,280,280,278,278,278,280,280,280,279,279,279,279,279
Washington County,300,182,182,182,181,177,177,177,177,177,176,176,176,176,176,175,175,174,300,176,174,173,172,172,172,172,172,174,174,174,174,174,176
Winston County,280,278,278,277,276,272,277,277,277,275,276,276,276,276,276,276,272,279,280,272,273,280,279,279,279,279,278,277,274,274,274,273,276
Yazoo County,300,298,298,298,298,297,298,298,298,296,300,300,300,300,300,300,300,300,300,300,301,301,301,301,300,298,298,299,296,296,296,300,299
PRIVATE PRISONS,"5,472","3,198","3,198","3,201","3,199","3,203","3,201","3,200","3,200","3,202","3,196","3,195","3,195","3,195","3,195","3,194","3,203","3,199","5,472","3,208","3,223","3,219","3,218","3,218","3,210","3,208","3,204","3,204","3,205","3,204","3,203","3,196",3203
Delta,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,261","1,261","1,266","1,266","1,266","1,263","1,263","1,263","1,259","1,258","1,257","1,257","1,258","1,258","1,258","1,267","1,263","1,500","1,275","1,291","1,289","1,289","1,289","1,284","1,283","1,282","1,279","1,281","1,280","1,279","1,275",1271
Marshall County,"1,000","1,000","1,000",999,998,998,998,997,997,997,994,994,994,993,993,993,993,993,"1,000",990,989,989,988,988,986,985,984,985,984,984,984,983,992
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",937,937,936,935,939,940,940,940,946,944,944,944,944,944,943,943,943,"1,000",943,943,941,941,941,940,940,938,940,940,940,940,938,941
RESTITUTION CENTERS,10,9,9,9,9,8,7,7,7,8,8,8,9,8,8,8,8,8,10,8,8,8,9,9,9,7,8,8,8,8,8,9,8
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,6,6,6,6,5,4,4,4,5,5,5,6,5,5,5,5,5,6,5,5,5,6,6,6,5,5,5,5,5,5,6,5
Pascagoula,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
TRANSITIONAL HOUSING,122,41,41,42,41,39,37,37,37,44,0,47,46,46,46,45,46,45,122,42,41,41,41,41,41,36,43,39,37,38,37,35,41
Madison,40,0,0,9,8,7,7,7,7,8,9,10,10,10,10,9,10,10,40,9,8,8,8,8,8,8,9,8,6,6,6,5,8
Noxubee,34,28,28,28,28,28,28,28,28,34,34,34,34,34,34,34,34,33,34,32,32,32,32,32,32,32,32,29,29,29,29,28,31
Rankin/Flowood,8,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wilkinson,40,10,10,3,3,2,0,0,0,0,1,1,1,1,1,1,1,1,40,0,0,0,0,0,0,0,1,1,1,1,1,1,1
TOTALS,"24,179","19,367","19,355","19,336","19,379","19,323","19,336","19,329","19,326","19,361","19,295","19,366","19,376","19,357","19,343","19,334","19,356","19,338","24,179","19,318","19,306","19,325","19,307","19,303","19,356","19,290","19,330","19,339","19,349","19,341","19,336","19,352",19341
