Location,Capacity_x,1-Aug-19,2-Aug-19,3-Aug-19,4-Aug-19,5-Aug-19,6-Aug-19,7-Aug-19,8-Aug-19,9-Aug-19,10-Aug-19,11-Aug-19,12-Aug-19,13-Aug-19,14-Aug-19,15-Aug-19,16-Aug-19,17-Aug-19,Capacity_y,18-Aug-19,19-Aug-19,20-Aug-19,21-Aug-19,22-Aug-19,23-Aug-19,24-Aug-19,25-Aug-19,26-Aug-19,27-Aug-19,28-Aug-19,29-Aug-19,30-Aug-19,31-Aug-19,Avg Population
Leflore TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,82,80,80,80,80,81,81,81,80,80,80,82,83,83,82,81,81,62,81,73,74,84,94,102,102,102,102,102,100,100,75,75,85
Noxubee Satellite Facility,58,46,46,46,46,47,47,47,47,47,47,47,46,46,46,46,45,45,58,45,45,45,36,36,36,36,36,36,37,37,37,45,45,43
Pike Satellite Facility,93,78,85,85,85,85,84,83,84,84,84,84,83,82,83,83,81,81,93,81,83,89,89,89,89,89,89,89,89,88,88,88,88,85
Quitman Satellite Facility,93,41,64,64,64,65,65,65,65,65,65,65,65,65,65,65,64,64,93,64,65,63,61,61,61,61,61,60,59,62,61,63,63,63
Rankin Satellite Facility,178,143,143,143,143,144,144,144,143,138,138,138,142,144,144,144,140,140,178,140,142,142,142,142,141,141,141,142,142,140,146,144,144,142
Rankin RID,28,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,28,14,14,14,14,14,13,13,13,13,13,13,14,14,14,14
Flowood TVC,50,30,30,30,29,39,39,38,38,37,35,31,32,31,32,32,32,25,50,32,32,32,30,30,41,41,41,40,38,36,36,35,35,34
Simpson TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpson TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,57,55,55,55,57,58,58,58,58,58,58,57,57,57,54,59,59,62,59,59,59,59,59,57,57,57,59,62,61,61,61,61,58
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,579","4,304","4,315","4,314","4,313","4,308","4,304","4,297","4,287","4,295","4,295","4,292","4,283","4,296","4,279","4,281","4,280","4,288","4,579","4,277","4,285","4,297","4,304","4,284","4,336","4,336","4,334","4,333","4,314","4,305","4,328","4,319","4,316",4303
Alcorn County,300,300,300,300,300,299,299,299,299,299,299,299,299,299,299,299,299,291,300,299,299,299,298,298,298,298,298,298,298,299,300,300,300,299
Bolivar County,369,293,292,292,292,291,291,290,287,287,287,287,287,293,292,293,292,294,369,292,292,291,294,294,294,294,294,294,294,294,294,294,294,292
Carroll County,280,274,274,274,273,273,273,276,276,276,276,276,275,276,276,275,274,278,280,274,274,274,274,279,278,278,278,278,278,278,280,279,279,276
Chickasaw County,310,308,308,308,308,308,308,308,307,307,307,307,307,310,310,310,309,310,310,309,309,309,310,308,310,310,310,309,309,310,308,308,308,309
George County,342,326,331,331,331,331,330,330,330,330,330,330,329,329,329,329,321,323,342,320,318,324,323,305,332,332,331,330,328,327,334,338,337,328
Holmes County,280,280,279,278,278,277,277,277,277,275,275,275,275,279,279,279,278,274,280,278,278,278,278,278,278,278,278,278,277,279,276,276,276,277
Issaquena County,297,313,322,322,322,322,321,318,317,317,317,315,314,313,312,312,312,312,297,312,321,321,321,318,318,318,318,326,326,322,319,319,319,318
Jefferson County,280,278,280,280,280,280,280,280,279,279,279,279,277,277,276,276,278,280,280,278,279,278,279,279,279,279,279,277,276,274,278,278,278,278
Kemper County,355,351,351,351,351,351,349,347,344,347,347,347,347,346,341,340,350,349,355,349,348,349,348,347,349,349,349,348,344,343,351,343,341,347
Leake County,280,275,273,273,273,273,273,272,270,280,280,280,277,276,275,274,274,280,280,274,274,279,279,278,280,280,280,280,277,277,271,268,268,276
Marion County,280,280,280,280,280,279,279,280,280,280,280,280,280,280,280,280,280,279,280,280,280,280,280,280,280,280,280,280,278,276,278,278,278,280
Stone County,326,280,280,280,280,280,280,280,279,279,279,279,278,277,277,280,278,279,326,277,278,277,277,277,276,276,276,276,275,275,280,280,280,278
Washington County,300,168,167,167,167,167,167,167,166,165,165,165,165,168,167,166,165,160,300,165,165,165,165,165,183,183,183,183,182,182,182,182,182,171
Winston County,280,278,279,279,279,278,278,277,278,277,277,276,276,275,269,271,274,279,280,274,274,275,280,281,281,281,280,277,273,272,278,278,278,277
Yazoo County,300,300,299,299,299,299,299,296,298,297,297,297,297,298,297,297,296,300,300,296,296,298,298,297,300,300,300,299,299,297,299,298,298,298
PRIVATE PRISONS,"5,472","3,181","3,176","3,176","3,176","3,179","3,179","3,177","3,183","3,187","3,186","3,186","3,181","3,180","3,184","3,180","3,179","3,168","5,472","3,177","3,177","3,167","3,177","3,171","3,178","3,177","3,174","3,180","3,176","3,185","3,186","3,199","3,198",3180
Delta,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,251","1,246","1,246","1,246","1,248","1,248","1,245","1,251","1,257","1,256","1,256","1,253","1,253","1,255","1,253","1,245","1,247","1,500","1,244","1,246","1,241","1,247","1,245","1,252","1,251","1,250","1,251","1,248","1,249","1,252","1,261","1,261",1250
Marshall County,"1,000",998,998,998,998,998,998,998,998,997,997,997,996,995,994,993,"1,000",999,"1,000","1,000",998,996,996,993,991,991,990,990,989,997,996,"1,000","1,000",996
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",932,932,932,932,933,933,934,934,933,933,933,932,932,935,934,934,922,"1,000",933,933,930,934,933,935,935,934,939,939,939,938,938,937,934
RESTITUTION CENTERS,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Pascagoula,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
TRANSITIONAL HOUSING,122,22,22,22,21,28,33,33,30,30,0,30,30,36,37,41,43,32,122,43,44,45,46,45,45,"",45,45,45,41,41,41,41,37
Madison,40,3,3,3,3,4,4,4,4,4,4,4,4,4,5,4,6,1,40,6,8,9,9,0,0,0,0,0,0,0,0,0,0,3
Noxubee,34,14,14,14,14,20,26,26,23,23,23,23,23,29,29,32,32,28,34,32,31,31,32,32,32,32,32,32,32,28,28,28,28,27
Rankin/Flowood,8,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,8,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,3,3,3,2,2,2,2,2,2,2,2,2,2,2,4,4,1,40,4,4,2,2,10,10,10,10,10,10,10,10,10,10,5
TOTALS,"24,179","19,358","19,759","19,390","19,381","19,398","19,499","19,392","19,374","19,366","19,327","19,339","19,360","19,344","19,345","19,373","19,374","19,443","24,179","19,364","19,394","19,351","19,367","19,332","19,379","19,329","19,371","19,378","19,368","19,346","19,371","19,380","19,369",19387
