Location,Capacity_x,1-Nov-18,Unnamed: 3,2-Nov-18,3-Nov-18,4-Nov-18,5-Nov-18,6-Nov-18,7-Nov-18,8-Nov-18,9-Nov-18,10-Nov-18,11-Nov-18,12-Nov-18,13-Nov-18,14-Nov-18,15-Nov-18,16-Nov-18,17-Nov-18,18-Nov-18,19-Nov-18,Capacity_y,20-Nov-18,21-Nov-18,22-Nov-18,23-Nov-18,24-Nov-18,25-Nov-18,26-Nov-18,27-Nov-18,28-Nov-18,29-Nov-18,30-Nov-18,Avg Population
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,82,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,68,70,70,70,70,68,68,70,71,71,71,72,70,70,70,71,71,71,72,,62,70,70,70,70,70,70,69,68,68,70,70,70
Noxubee Satellite Facility,58,39,38,38,38,39,39,36,36,36,36,36,36,37,37,37,37,37,37,37,,58,37,37,37,37,37,37,37,37,37,35,35,37
Pike Satellite Facility,93,70,69,69,69,67,67,65,65,64,64,64,64,65,65,64,66,66,66,66,,93,66,66,66,66,66,66,68,68,68,68,68,66
Quitman Satellite Facility,93,63,63,63,63,62,62,62,62,62,62,62,62,62,60,60,60,60,60,58,,93,56,55,55,55,55,55,55,55,54,53,53,59
Rankin Satellite Facility,178,159,156,156,155,157,157,157,161,158,158,159,161,161,161,160,160,160,160,158,,178,157,157,157,157,157,157,155,155,154,155,154,158
Rankin RID,28,21,21,21,22,22,22,22,22,22,22,22,22,22,21,20,19,19,19,19,,28,18,18,18,18,18,18,18,17,17,20,20,20
Flowood TVC,50,38,38,40,39,38,38,34,34,33,33,32,28,28,28,28,27,27,26,26,,50,26,25,25,25,25,25,25,20,20,20,20,29
Simpson TVC,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,82,0,0,0,0,0,0,0,0,0,0,0,0
Simpson TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,52,52,52,52,52,51,51,57,56,56,56,56,56,56,56,56,56,56,56,,62,57,57,57,57,57,57,56,56,55,57,57,55
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,556","3,694","3,719","3,719","3,719","3,708","3,691","3,728","3,731","3,725","3,725","3,725","3,723","3,723","3,707","3,711","3,716","3,713","3,713","3,707",,"4,556","3,702","3,701","3,701","3,699","3,694","3,693","3,685","3,683","3,703","3,696","3,708","3,709"
Alcorn County,300,239,240,240,240,239,238,240,240,240,240,240,240,240,240,240,239,239,239,240,,300,240,240,240,240,240,240,239,239,238,238,237,239
Bolivar County,369,293,293,293,293,293,292,291,291,290,290,290,290,290,288,288,291,290,290,290,,369,290,292,292,292,292,292,289,289,294,294,294,291
Carroll County,280,268,268,268,268,268,266,266,266,266,266,266,266,266,265,263,262,262,262,266,,280,265,265,265,263,263,263,262,261,267,266,266,265
Chickasaw County,310,238,240,240,240,240,240,239,239,240,240,240,240,240,239,239,240,240,240,240,,310,240,240,240,240,240,240,239,239,239,240,241,240
George County,342,193,196,196,196,194,193,204,200,200,200,200,199,199,198,201,201,201,201,201,,342,201,201,201,201,201,201,201,201,200,200,201,199
Holmes County,280,200,200,200,200,200,200,200,200,199,199,199,199,199,200,199,199,198,198,198,,280,198,196,196,196,196,196,196,198,197,194,198,198
Issaquena County,274,266,270,270,270,270,268,268,268,268,268,268,267,267,270,270,270,270,270,270,,274,270,270,270,270,269,269,269,269,267,267,266,269
Jefferson County,280,269,268,268,268,267,265,269,269,269,269,269,269,269,268,269,269,269,269,269,,280,268,267,267,267,266,266,267,265,267,265,265,268
Kemper County,355,252,260,260,260,260,258,260,260,257,257,257,257,257,256,259,259,259,259,259,,355,259,259,259,259,259,259,258,257,260,260,259,258
Leake County,280,266,268,268,268,267,264,270,270,270,270,270,270,270,263,264,268,268,268,268,,280,266,266,266,266,265,265,265,265,266,266,269,267
Marion County,280,270,270,270,270,268,268,258,267,266,266,266,266,266,268,270,270,270,270,270,,280,270,270,270,270,270,269,269,269,268,268,268,268
Stone County,326,246,246,246,246,244,244,266,265,265,265,265,265,265,265,265,265,265,265,265,,326,265,265,265,265,264,264,264,264,264,263,265,261
Washington County,300,191,191,191,191,190,189,189,188,187,187,187,187,187,185,182,181,181,181,172,,300,171,171,171,171,170,170,169,169,169,169,169,180
Winston County,280,264,270,270,270,270,269,268,268,268,268,268,268,268,266,265,265,264,264,263,,280,263,263,263,263,263,263,262,262,267,266,270,266
Yazoo County,300,239,239,239,239,238,237,240,240,240,240,240,240,240,236,237,237,237,237,236,,300,236,236,236,236,236,236,236,236,240,240,240,238
PRIVATE PRISONS,"5,472","3,190","3,184","3,183","3,182","3,180","3,170","3,169","3,168","3,168","3,167","3,165","3,165","3,165","3,163","3,180","3,186","3,186","3,185","3,180",,"5,472","3,176","3,186","3,186","3,184","3,184","3,183","3,181","3,182","3,193","3,191","3,194","3,179"
Delta,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,472,0,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,270","1,265","1,264","1,264","1,259","1,255","1,255","1,253","1,252","1,251","1,249","1,249","1,249","1,249","1,264","1,263","1,263","1,262","1,259",,"1,500","1,257","1,263","1,263","1,262","1,262","1,261","1,261","1,260","1,257","1,256","1,259",1259
Marshall County,"1,000",996,996,996,995,999,997,996,999,999,999,999,999,998,997,999,999,998,998,997,,"1,000",996,"1,000","1,000",999,999,999,997,997,999,999,"1,000",998
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,500",0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",924,923,923,923,922,918,918,916,917,917,917,917,918,917,917,924,925,925,924,,"1,000",923,923,923,923,923,923,923,925,937,936,935,923
RESTITUTION CENTERS,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,6,6,6,6,6,6
Pascagoula,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4
TRANSITIONAL HOUSING,122,38,38,38,38,38,38,42,42,41,41,40,41,39,39,39,39,39,39,41,,122,41,40,40,40,40,40,40,43,44,44,43,40
Madison,40,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,,40,3,3,3,3,3,3,3,3,3,3,2,3
Noxubee,34,30,30,30,30,30,30,32,32,32,32,31,32,30,30,30,30,30,30,30,,34,30,29,29,29,29,29,29,32,33,33,33,31
Rankin/Flowood,8,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,8,,8,8,8,8,8,8,8,8,8,8,8,8,6
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,0,0,0,0,0,0,0,0,0,0,0,0
TOTALS,"24,284","19,577","19,564","19,558","19,555","19,534","19,499","19,484","19,485","19,468","19,465","19,452","19,454","19,454","19,449","19,432","19,463","19,455","19,445","19,433",,"24,284","19,420","19,447","19,431","19,420","19,406","19,403","19,385","19,377","19,356","19,361","19,403","19,455"
