Location,Capacity_x,1-Jul-01,2-Jul-01,3-Jul-01,4-Jul-01,5-Jul-01,6-Jul-01,7-Jul-01,8-Jul-01,9-Jul-01,10-Jul-01,Capacity_y,11-Jul-01,12-Jul-01,13-Jul-01,14-Jul-01,15-Jul-01,16-Jul-01,17-Jul-01,18-Jul-01,19-Jul-01,20-Jul-01,Capacity,21-Jul-01,22-Jul-01,23-Jul-01,24-Jul-01,25-Jul-01,26-Jul-01,Capacity.1,27-Jul-01,28-Jul-01,29-Jul-01,30-Jul-01,31-Jul-01
Jackson Satellite Facility,75,74,74,74,75,75,74,74,74,75,75,75,75,75,69,69,69,73,72,72,72,72,75,71,71,71,71,72,75,75,73,73,73,74,74
Jefferson Satellite Facility,75,75,75,73,73,75,75,75,75,75,74,75,74,74,71,71,71,75,75,75,75,73,75,73,73,73,74,74,74,75,74,74,74,74,74
Leflore Satellite Facility,75,70,74,74,74,75,75,75,75,75,75,75,74,74,67,67,67,72,72,72,72,70,75,70,70,73,73,74,72,75,72,72,72,73,73
Madison Satellite Facility,75,75,75,75,75,74,74,74,74,74,75,75,75,75,72,72,72,75,75,75,75,70,75,70,70,75,75,75,75,75,73,73,73,74,74
Noxubee Satellite Facility,75,74,74,74,74,74,74,74,74,74,74,75,74,74,71,71,71,74,73,72,72,71,75,71,71,74,72,72,72,75,70,70,70,72,71
Pike Satellite Facility,75,71,71,69,69,69,69,69,69,67,67,75,67,66,65,64,64,64,64,64,65,68,75,68,69,66,66,64,63,75,61,52,61,62,62
Quitman Satellite Facility,75,61,60,58,58,59,60,60,60,60,60,75,60,58,56,56,56,57,57,57,57,57,75,57,57,55,55,55,55,75,54,73,52,51,51
Rankin Satellite Facility,120,112,112,114,114,113,113,113,113,112,112,120,112,114,110,110,110,113,113,113,113,110,120,110,110,117,117,115,115,120,115,115,115,113,113
Simpson Satellite Facility,75,74,74,74,74,74,74,74,74,74,74,75,74,74,55,55,55,75,75,75,75,74,75,74,74,75,75,75,75,75,74,75,75,75,74
Washington Satellite Facility,75,74,74,74,74,73,72,72,72,74,73,75,75,75,68,58,58,65,74,74,73,73,75,73,73,73,75,75,75,75,67,67,67,75,75
Wilikinson Satellite Facility,75,73,74,74,74,73,71,71,71,73,73,75,73,73,74,74,74,74,73,73,73,72,75,72,72,73,73,73,73,75,71,71,71,73,73
Yazoo Satellite Facility,75,71,75,75,75,75,75,75,75,75,75,75,73,75,66,66,66,75,75,75,75,73,75,73,73,75,75,75,75,75,73,61,73,73,73
REGIONAL CORRECTIONAL FACILITIES,"2,500","2,026","2,040","2,035","2,034","2,035","2,035","2,035","2,034","2,032","2,028","2,500","2,027","2,026","2,026","2,025","2,024","2,019","2,012","2,011","2,011","2,025","2,500","2,024","2,024","2,031","2,025","2,023","2,008","2,500","2,007","2,007","2,007","2,004","2,002"
Bolivar County,250,198,207,207,207,207,207,207,207,207,206,250,206,206,206,206,206,206,206,207,207,210,250,210,210,210,210,210,210,250,211,211,211,211,211
Carroll County,250,200,201,202,202,201,201,201,201,201,201,250,201,201,201,201,201,201,200,200,200,199,250,199,199,198,198,196,195,250,195,195,195,195,195
Holmes County,250,200,201,201,201,200,200,200,200,200,200,250,200,200,200,200,200,199,199,199,199,200,250,200,200,199,198,198,197,250,196,196,196,196,196
Issaquena County,250,197,195,193,193,196,196,196,196,196,195,250,195,194,193,193,193,192,192,191,191,190,250,190,190,196,193,192,186,250,185,185,185,184,183
Jefferson County,250,213,213,212,212,212,212,212,212,212,212,250,211,211,211,211,211,210,210,210,210,212,250,211,211,210,209,209,209,250,209,209,209,209,209
Kemper County,250,224,227,225,224,224,225,225,225,224,224,250,224,224,226,225,224,224,220,220,220,219,250,219,219,224,223,224,222,250,222,222,222,221,220
Leake County,250,198,200,199,199,199,199,199,199,199,199,250,199,199,199,199,199,198,198,198,198,200,250,200,200,199,198,198,197,250,198,198,198,198,198
Marion County,250,199,197,197,197,197,197,197,197,197,196,250,196,196,195,195,195,194,193,193,193,200,250,200,200,200,200,200,197,250,197,197,197,196,196
Stone County,250,200,200,200,200,199,198,198,197,197,197,250,197,197,197,197,197,197,196,196,196,196,250,196,196,196,197,196,195,250,195,195,195,195,195
Winston County,250,197,199,199,199,200,200,200,200,199,198,250,198,198,198,198,198,198,198,197,197,199,250,199,199,199,199,200,200,250,199,199,199,199,199
PRIVATE PRISONS,"3,900","3,466","3,464","3,467","3,467","3,465","3,467","3,467","3,467","3,466","3,465","3,900","3,463","3,460","3,457","3,457","3,456","3,456","3,447","3,446","3,443","3,446","3,900","3,445","3,443","3,452","3,449","3,447","3,467","3,900","3,479","3,477","3,477","3,474","3,470"
Delta,"1,000",843,842,842,842,840,843,843,843,842,842,"1,000",842,842,841,841,841,841,839,836,838,837,"1,000",837,837,841,841,840,840,"1,000",838,838,838,838,838
East MS,500,499,499,499,499,499,499,499,499,498,498,500,497,497,497,497,496,496,495,494,494,499,500,499,498,496,493,493,493,500,493,493,493,492,492
Marshall County,"1,000",869,869,869,869,869,869,869,869,867,867,"1,000",867,867,866,866,866,866,863,863,861,861,"1,000",861,861,869,869,868,868,"1,000",868,867,867,867,864
Walnut Grove,500,382,382,385,385,385,385,385,385,389,388,500,388,388,388,388,388,388,387,390,390,390,500,389,388,389,389,389,391,500,405,405,405,403,403
Wilkinson County,900,873,872,872,872,872,871,871,871,870,870,900,869,866,865,865,865,865,863,863,860,859,900,859,859,857,857,857,875,900,875,874,874,874,873
RESITITUTION CENTERS,24,17,17,17,17,17,17,17,17,17,17,24,17,17,18,18,18,18,18,18,18,18,24,18,18,18,18,18,18,24,18,18,18,17,17
Greenwood,6,5,5,5,5,5,5,5,5,5,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Hinds,12,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,11,11,12,11,11,11,10,10
Pascagoula,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1
GOVERNOR'S MANSION,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,5,6,5,5,6,6,6,6,6,6,6,6,6,6
TOTALS,"20,827","18,288","18,320","18,357","18,358","18,391","18,362","18,358","18,355","18,393","18,431","20,827","18,435","18,440","18,367","18,364","18,360","18,429","18,433","18,444","18,457","18,435","20,827","18,436","18,434","18,444","18,473","18,462","18,477","20,747","18,492","18,496","18,499","18,518","18,540"
