Location,Capacity_x,1-Nov-05,2-Nov-05,3-Nov-05,4-Nov-05,5-Nov-05,6-Nov-05,7-Nov-05,8-Nov-05,9-Nov-05,10-Nov-05,11-Nov-05,12-Nov-05,13-Nov-05,Capacity_y,14-Nov-05,15-Nov-05,16-Nov-05,17-Nov-05,18-Nov-05,19-Nov-05,20-Nov-05,21-Nov-05,22-Nov-05,23-Nov-05,24-Nov-05,25-Nov-05,26-Nov-05,Capacity,27-Nov-05,28-Nov-05,29-Nov-05,30-Nov-05
Jefferson Satellite Facility,102,74,74,74,79,79,79,78,78,77,77,74,74,74,102,77,77,77,77,76,76,76,76,76,91,90,89,88,102,89,90,90,101
Leflore Satellite Facility,102,100,101,101,100,100,100,101,99,98,99,92,92,92,102,99,96,95,88,88,88,88,88,87,86,83,83,83,102,83,84,89,89
Madison Satellite Facility,102,102,102,101,99,99,99,102,102,102,101,94,94,94,102,98,98,98,100,100,100,100,100,100,98,98,98,98,102,98,98,102,102
Noxubee Satellite Facility,92,88,88,90,86,87,87,90,91,91,91,81,81,81,92,90,89,88,89,89,89,89,92,91,92,92,92,91,92,92,92,92,92
Pike Satellite Facility,93,72,72,72,71,71,71,71,69,69,69,64,64,64,93,70,69,69,68,68,68,68,70,70,71,70,70,70,93,70,70,69,69
Quitman Satellite Facility,93,84,84,86,85,85,85,86,84,83,83,74,74,74,93,83,82,82,82,82,82,82,82,82,81,81,81,81,93,81,81,81,81
Rankin Satellite Facility,228,222,223,222,219,219,219,227,224,223,220,214,214,213,228,221,222,219,220,222,222,222,222,218,219,219,219,219,228,219,219,219,220
Simpson Satellite Facility,102,100,99,99,98,98,98,99,101,101,99,98,98,98,102,99,98,98,97,96,96,96,96,96,95,95,95,95,102,95,95,98,93
Washington Satellite Facility,102,96,96,96,95,95,95,94,91,90,89,79,79,79,102,88,88,88,88,87,87,87,86,86,89,89,89,89,102,89,89,89,90
Wilkinson Satellite Facility,102,79,79,79,78,78,78,85,85,85,85,79,79,79,102,85,85,85,83,83,83,83,83,83,83,83,83,83,102,82,81,81,81
Yazoo Satellite Facility,102,93,92,93,90,90,90,94,93,95,96,94,93,92,102,94,94,94,96,96,96,96,96,95,95,95,95,95,102,95,95,95,102
REGIONAL CORRECTIONAL FACILITIES,"3,028","3,024","3,023","3,023","3,017","3,014","3,013","3,006","3,017","3,023","3,018","3,013","3,010","3,008","3,028","3,005","3,011","3,017","3,018","3,021","3,014","3,013","3,014","3,022","3,019","3,017","3,016","3,014","3,028","3,012","3,022","3,024","3,016"
Bolivar County,294,292,293,294,294,294,294,294,294,293,291,291,290,290,294,289,289,294,294,294,293,293,294,293,293,293,293,293,294,293,294,294,292
Carroll County,250,250,250,250,249,249,249,248,250,250,250,248,248,247,250,247,250,249,248,248,247,246,246,250,246,246,246,246,250,245,249,250,250
George County,280,280,280,280,279,278,278,277,279,280,280,279,278,278,280,279,280,279,279,280,279,279,279,278,278,278,278,277,280,277,279,278,276
Holmes County,280,280,280,280,280,280,280,279,279,280,279,279,279,279,280,279,278,278,279,278,277,277,277,280,280,280,279,279,280,279,279,280,280
Issaquena County,274,273,274,274,274,273,273,270,271,273,272,271,271,271,274,270,269,273,271,271,270,270,270,273,274,273,273,273,274,273,273,274,273
Jefferson County,250,249,246,246,244,243,242,242,248,248,248,247,246,245,250,245,249,248,248,250,250,250,250,250,249,249,249,249,250,249,249,249,249
Kemper County,280,280,280,280,280,280,280,280,278,280,279,279,279,279,280,278,278,280,280,280,280,280,279,280,280,280,280,280,280,280,280,280,279
Leake County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,280,279,280,280,280,280,280,280,279,279,279,280,279,280,280,280
Marion County,280,280,280,280,278,278,278,279,279,279,279,279,279,279,280,279,280,277,280,280,280,280,280,279,279,279,279,279,280,279,280,279,278
Stone County,280,280,280,279,279,279,279,278,280,280,280,280,280,280,280,280,280,280,280,280,279,279,280,280,280,280,280,279,280,278,279,280,279
Winston County,280,280,280,280,280,280,280,279,279,280,280,280,280,280,280,280,279,279,280,280,279,279,279,279,280,280,280,280,280,280,280,280,280
PRIVATE PRISONS,"5,100","4,836","4,833","4,834","4,833","4,832","4,831","4,818","4,828","4,820","4,813","4,812","4,805","4,802","5,100","4,818","4,820","4,821","4,818","4,813","4,805","4,799","4,800","4,811","4,802","4,800","4,799","4,799","5,100","4,798","4,797","4,815","4,816"
Delta,972,970,969,969,972,972,972,971,971,971,969,969,968,967,972,967,967,963,971,970,967,966,964,970,965,965,965,965,972,965,964,968,972
East Mississippi,"1,000",857,857,856,862,861,861,862,862,860,859,858,857,856,"1,000",856,857,856,855,855,853,853,852,852,851,850,850,850,"1,000",850,850,857,854
Marshall County,"1,000",995,993,993,992,992,992,994,993,993,994,994,991,992,"1,000",995,995,995,994,994,991,990,989,991,990,990,990,990,"1,000",989,992,990,994
Tallahatchie County,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,127,127,127,127,127,127,128,128,128,128,128,128,128,128,128
Walnut Grove,"1,000",916,916,914,909,909,909,904,914,910,905,905,905,904,"1,000",916,913,919,914,911,911,909,917,921,917,916,915,915,"1,000",915,914,923,916
Wilkinson County,"1,000",970,970,974,970,970,969,959,960,958,958,958,956,955,"1,000",956,960,960,957,956,956,954,951,950,951,951,951,951,"1,000",951,949,949,952
RESTITUTION CENTERS,16,10,10,10,9,9,9,10,10,10,10,10,10,10,16,10,10,10,10,10,10,10,10,10,10,10,10,10,16,10,10,12,12
Greenwood,6,4,4,4,3,3,3,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4
Hinds,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5
Pascagoula,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5
E-CODE,,8,6,6,42,40,41,7,7,11,14,99,99,96,,10,4,5,5,4,2,3,4,6,3,4,4,4,,5,5,3,2
TOTALS,"22,413","20,935","20,932","20,931","20,911","20,897","20,890","20,914","20,928","20,910","20,922","20,911","20,892","20,880","22,413","20,887","20,879","20,917","20,928","20,899","20,872","20,851","20,846","20,838","20,814","20,798","20,787","20,776","22,413","20,769","20,760","20,789","20,787"
