Location,Capacity_x,1-Sep-14,2-Sep-14,3-Sep-14,4-Sep-14,5-Sep-14,6-Sep-14,7-Sep-14,8-Sep-14,9-Sep-14,10-Sep-14,Capacity_y,11-Sep-14,12-Sep-14,13-Sep-14,14-Sep-14,15-Sep-14,16-Sep-14,17-Sep-14,18-Sep-14,19-Sep-14,20-Sep-14,21-Sep-14,Capacity,22-Sep-14,23-Sep-14,24-Sep-14,25-Sep-14,26-Sep-14,27-Sep-14,28-Sep-14,29-Sep-14,30-Sep-14,Avg Pop
Issaquena County,274,274,271,270,270,263,263,263,262,267,267,274,267,268,267,267,269,268,264,264,262,261,260,274,260,260,260,259,259,259,258,258,257,264
Jefferson County,280,274,273,267,267,268,268,268,267,267,266,280,265,267,267,267,271,266,267,267,274,274,274,280,274,274,272,272,267,267,267,266,265,269
Kemper County,355,351,354,353,353,354,354,354,354,353,355,355,355,355,355,355,353,352,351,354,353,353,353,355,355,355,353,353,343,343,343,352,353,352
Leake County,280,279,277,274,274,269,269,268,270,269,268,280,269,264,264,264,263,257,255,255,260,258,258,280,257,256,257,261,262,262,260,260,257,264
Marion County,280,279,279,280,280,279,279,280,279,281,280,280,280,280,280,280,276,278,278,279,279,279,280,280,280,279,280,281,281,281,281,282,280,280
Stone County,280,279,279,278,278,279,279,279,279,278,278,280,277,277,277,277,274,271,273,273,277,277,277,280,276,275,274,277,277,275,275,276,276,277
Washington County,300,282,282,280,280,280,280,280,279,277,277,300,138,285,284,284,282,280,281,280,279,279,279,300,277,275,274,271,277,277,277,275,274,274
Winston County,280,279,280,279,279,278,278,278,278,279,277,280,276,277,277,277,272,271,270,270,273,272,272,280,273,271,273,278,279,279,279,280,277,276
Yazoo County,300,295,296,294,294,291,291,291,290,290,292,300,293,295,295,295,295,292,291,290,291,291,291,300,291,291,286,286,286,286,286,286,285,291
PRIVATE PRISONS,5000,4106,4089,4110,4110,4105,4105,4106,4099,4107,4126,5000,4135,4130,4130,4130,4119,4113,4112,4097,4092,4092,4092,5000,4072,4070,4084,4076,4082,4078,4077,4065,4051,"4,099"
East Mississippi,"1,500","1,195","1,196","1,198","1,198","1,197","1,197","1,197","1,199","1,199","1,200","1,500","1,198","1,198","1,198","1,198","1,195","1,195","1,195","1,195","1,196","1,196","1,196","1,500","1,191","1,190","1,188","1,188","1,198","1,197","1,197","1,196","1,198","1,196"
Marshall County,"1,000",1000,999,998,998,997,997,997,996,995,995,"1,000",994,994,994,994,993,991,998,996,996,996,996,"1,000",994,994,994,991,997,997,997,996,997,996
Walnut Grove,"1,500","1,086","1,071","1,086","1,086","1,074","1,074","1,075","1,069","1,079","1,074","1,500","1,086","1,078","1,078","1,078","1,073","1,072","1,070","1,059","1,052","1,052","1,052","1,500","1,044","1,043","1,052","1,050","1,045","1,043","1,042","1,035","1,019","1,063"
Wilkinson County,"1,000",825,823,828,828,837,837,837,835,834,857,"1,000",857,860,860,860,858,855,849,847,848,848,848,"1,000",843,843,850,847,842,841,841,838,837,844
RESTITUTION CENTERS,16,6,7,7,7,7,7,7,7,7,6,16,6,5,5,5,6,5,6,7,7,7,6,16,7,6,6,6,6,6,6,6,6,6
Greenwood,6,4,5,5,5,5,5,5,5,5,4,6,4,3,3,3,4,4,4,4,3,3,2,6,3,3,3,3,3,3,3,3,3,4
Hinds,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,2,2,2,6,2,2,2,2,2,2,2,2,2,1
Pascagoula,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,,1,2,2,2,2,4,2,1,1,1,1,1,1,1,1,1
TOTALS,"25,144","20,376","20,357","20,372","20,372","20,373","20,366","20,362","20,317","20,353","20,369","25,144","20,390","20,342","20,345","20,330","20,227","20,170","20,141","20,098","20,083","20,072","20,065","25,144","20,056","20,055","20,052","20,042","19,994","19,978","19,972","19,968","19,954","20,198"
