Location,Capacity_x_x,1-Nov-16,2-Nov-16,3-Nov-16,4-Nov-16,5-Nov-16,6-Nov-16,7-Nov-16,8-Nov-16,9-Nov-16,10-Nov-16,Capacity_y_x,11-Nov-16,12-Nov-16,13-Nov-16,14-Nov-16,15-Nov-16,16-Nov-16,Capacity_x_y,17-Nov-16,18-Nov-16,19-Nov-16,20-Nov-16,21-Nov-16,22-Nov-16,23-Nov-16,Capacity_y_y,24-Nov-16,25-Nov-16,26-Nov-16,27-Nov-16,28-Nov-16,29-Nov-16,30-Nov-16,Avg Population
Flowood TVC,50,26,25,24,24,24,23,23,23,23,23,50,23,23,21,23,22,22,50,19,20,20,20,19,19,17,50,17,16,17,17,17,17,16,21
Simpson TVC,82,64,58,57,70,69,68,66,65,62,59,82,60,60,59,66,66,65,82,63,64,64,63,62,60,58,82,57,57,55,53,52,49,48,61
Simpson TVC Support,20,14,14,14,14,14,14,14,14,14,14,20,13,13,13,13,13,13,20,13,13,13,13,13,13,12,20,12,12,12,12,12,12,12,13
Washington Satellite Facility,102,67,66,66,66,65,65,66,66,65,65,102,63,63,63,64,64,62,102,62,62,62,62,62,65,65,102,65,65,65,65,65,65,65,64
Wilkinson Satellite Facility,102,68,67,67,67,66,66,67,67,66,67,102,67,67,67,67,66,64,102,64,64,64,64,64,64,64,102,64,64,64,64,66,66,64,66
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,438","4,153","4,183","4,193","4,184","4,183","4,181","4,182","4,203","4,216","4,223","4,438","4,214","4,214","4,212","4,211","4,201","4,203","4,438","4,199","4,232","4,229","4,226","4,181","4,149","4,146",4438,"4,139","4,143","4,141","4,140","4,139","4,101","4,088","4,180"
Alcorn County,300,297,295,294,293,293,293,293,293,293,300,300,300,300,300,299,299,300,300,299,299,299,299,299,275,275,300,275,275,275,275,275,246,245,288
Bolivar County,369,293,292,292,292,292,292,294,293,293,294,369,294,294,294,294,290,293,369,293,294,293,293,282,282,282,369,282,282,282,282,282,282,280,289
Carroll County,280,263,269,267,266,266,266,266,266,266,269,280,269,269,269,269,268,269,280,270,271,270,270,256,256,254,280,254,254,254,254,254,252,252,263
Chickasaw County,300,301,298,298,304,304,304,303,310,310,310,300,310,310,310,309,309,310,300,309,310,309,309,309,309,310,300,309,309,309,309,308,306,305,307
George County,280,279,280,278,276,276,276,276,276,278,279,280,279,279,278,278,278,275,280,276,278,278,278,277,272,270,280,270,270,270,270,277,276,273,276
Holmes County,280,276,274,279,275,275,274,274,279,279,279,280,279,279,279,279,278,280,280,280,277,277,276,264,264,264,280,264,264,264,264,262,263,263,273
Issaquena County,274,271,270,274,273,273,272,273,274,274,274,274,272,272,272,272,270,272,274,272,272,272,271,258,256,254,274,254,254,254,254,252,252,253,266
Jefferson County,280,275,275,273,271,271,271,271,279,280,279,280,279,279,279,278,278,277,280,277,279,279,279,276,274,277,280,272,277,276,276,276,279,279,276
Kemper County,355,317,344,345,346,346,346,344,343,348,344,355,344,344,344,344,342,341,355,339,350,350,350,351,351,352,355,351,351,351,350,350,348,348,346
Leake County,280,197,197,196,196,196,196,195,192,192,193,280,191,191,191,197,194,192,280,192,195,195,195,195,199,200,280,200,200,200,200,200,199,198,196
Marion County,280,276,276,278,278,278,278,278,278,279,280,280,280,280,280,281,279,278,280,277,280,280,279,279,279,278,280,278,278,278,278,277,276,275,278
Stone County,280,315,321,322,323,323,323,325,327,328,328,280,328,328,327,327,325,325,280,324,324,324,324,327,327,327,280,327,327,326,326,326,325,323,325
Washington County,300,225,224,227,226,226,226,226,226,225,225,300,222,222,222,220,219,219,300,219,229,229,229,229,229,229,300,229,229,229,229,229,227,225,226
Winston County,280,270,270,273,270,270,270,269,273,280,279,280,277,277,277,276,278,279,280,279,278,278,278,277,279,276,280,276,275,275,275,274,275,273,275
Yazoo County,300,298,298,297,295,294,294,295,294,291,290,300,290,290,290,288,294,293,300,293,296,296,296,302,297,298,300,298,298,298,298,297,295,296,295
PRIVATE PRISONS,"5,972","3,062","3,062","3,062","3,055","3,056","3,055","3,055","3,057","3,059","3,057","5,972","3,053","3,052","3,051","3,052","3,053","3,057","5,972","3,060","3,058","3,057","3,058","3,049","3,052","3,046","5,972","3,044","3,044","3,044","3,044","3,022","3,043","3,057","3,053"
Delta,972,0,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,972,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,166","1,166","1,165","1,160","1,161","1,161","1,162","1,166","1,165","1,162","1,500","1,160","1,159","1,159","1,160","1,160","1,160","1,500","1,162","1,160","1,159","1,160","1,155","1,155","1,154","1,500","1,154","1,152","1,152","1,152","1,152","1,152","1,162",1159
Marshall County,"1,000",998,998,"1,000",999,999,998,997,995,994,999,"1,000",997,997,996,996,994,998,"1,000",998,998,998,998,996,998,997,"1,000",996,997,997,997,997,996,996,997
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,0,0,0,"1,500",0,0,0,0,0,0,0,"1,500",0,0,0,0,0,0,0,0
Wilkinson County,"1,000",898,898,897,896,896,896,896,896,900,896,"1,000",896,896,896,896,899,899,"1,000",900,900,900,900,898,899,895,"1,000",894,895,895,895,873,895,899,896
RESTITUTION CENTERS,16,16,15,15,13,13,13,13,13,13,13,16,12,12,12,12,12,12,16,12,13,13,13,13,13,13,16,13,12,12,12,10,10,12,13
Greenwood,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,6,5,5,5,5,5,5,5,6,5,4,4,4,4,4,4,5
Hinds,6,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,4,4,6,5
Pascagoula,4,4,4,4,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2
TOTALS,"24,143","19,098","19,084","19,093","19,049","19,043","19,039","19,105","19,112","19,105","19,087","24,143","19,016","19,014","19,004","18,998","19,018","18,987","24,143","18,990","18,971","18,966","18,956","18,942","18,945","18,925","24,143","18,903","18,903","18,897","18,889","18,891","18,874","18,873","18,993"
