Location,Capacity_x_x,1-Feb-07,2-Feb-07,3-Feb-07,4-Feb-07,5-Feb-07,6-Feb-07,7-Feb-07,8-Feb-07,9-Feb-07,Capacity_y_x,10-Feb-07,11-Feb-07,12-Feb-07,13-Feb-07,14-Feb-07,15-Feb-07,16-Feb-07,17-Feb-07,18-Feb-07,Capacity_x_y,19-Feb-07,20-Feb-07,21-Feb-07,22-Feb-07,23-Feb-07,24-Feb-07,25-Feb-07,26-Feb-07,27-Feb-07,Capacity_y_y,28-Feb-07,Unnamed: 3,Avg Population
Holmes County,280,280,279,279,279,280,279,279,280,278,280,278,277,277,276,275,277,280,280,280,280,280,279,280,280,279,277,277,277,280,280,280,,279
Issaquena County,274,273,274,274,273,274,274,274,272,271,274,270,269,274,274,267,273,272,272,272,274,272,273,272,272,272,271,271,271,272,274,274,,272
Jefferson County,274,274,272,272,271,272,274,273,273,273,274,273,273,270,269,270,274,274,274,274,274,274,274,274,274,273,272,272,270,272,274,273,,273
Kemper County,280,280,280,279,279,279,279,279,280,280,280,280,280,278,279,271,276,280,280,280,280,280,279,278,279,280,278,278,273,276,280,276,,278
Leake County,280,279,280,280,280,279,278,277,279,278,280,278,278,278,279,280,280,279,279,279,280,278,280,279,279,278,278,278,280,280,280,280,,279
Marion County,280,279,280,280,280,281,281,280,278,278,280,278,278,279,280,280,280,280,279,279,280,279,279,280,280,279,279,279,278,279,280,281,,279
Stone County,280,279,278,278,278,279,280,278,280,280,280,280,280,279,279,279,280,280,280,280,280,280,280,280,280,280,280,280,279,279,280,279,,279
Winston County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,279,279,280,280,280,280,280,280,280,279,279,279,279,279,279,280,280,,280
PRIVATE PRISONS,"5,100","4,846","4,853","4,849","4,849","4,854","4,856","4,848","4,847","4,840","5,100","4,838","4,837","4,850","4,846","4,849","4,856","4,843","4,836","4,833","5,100","4,833","4,875","4,884","4,881","4,881","4,879","4,879","4,892","4,902","5,100","4,905",,"4,859"
Delta,972,971,971,969,969,970,971,971,972,968,972,968,968,967,965,967,969,969,967,967,972,967,969,970,970,971,970,970,970,971,972,972,,969
East Mississippi,"1,000",856,855,855,855,854,854,853,851,849,"1,000",849,848,859,859,859,858,857,855,855,"1,000",855,881,880,878,878,877,877,889,890,"1,000",890,,863
Marshall County,"1,000",992,992,992,992,994,994,989,992,996,"1,000",995,995,995,994,994,995,994,992,991,"1,000",991,995,996,994,995,995,995,995,995,"1,000",993,,994
Tallahatchie County,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,,128
Walnut Grove,"1,000",952,950,950,950,949,951,951,951,946,"1,000",945,945,947,946,949,950,937,937,936,"1,000",936,938,940,940,939,939,939,944,948,"1,000",955,,945
Wilkinson County,"1,000",947,957,955,955,959,958,956,953,953,"1,000",953,953,954,954,952,956,958,957,956,"1,000",956,964,970,971,970,970,970,966,970,"1,000",967,,959
RESTITUTION CENTERS,16,12,11,11,11,12,12,14,14,14,16,14,14,14,13,13,13,12,12,12,16,13,12,12,12,12,12,12,12,12,16,12,,12
Greenwood,6,3,3,3,3,3,3,5,5,5,6,5,5,5,4,4,4,3,3,3,6,4,3,3,3,3,3,3,3,3,6,3,,4
Hinds,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6
Pascagoula,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,,3
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,,5
E-CODE,,9,58,60,60,9,6,5,6,68,,69,67,7,10,7,5,86,86,86,,5,3,2,4,63,62,62,5,4,,5,,33
TOTALS,"22,146","21,667","21,659","21,644","21,631","21,672","21,727","21,763","21,775","21,770","22,146","21,757","21,748","21,757","21,781","21,783","21,805","21,826","21,808","21,797","22,146","21,792","21,797","21,810","21,821","21,780","21,766","21,761","21,769","21,788","22,146","21,783",,"21,758"
