Location,Capacity_x,1-Oct-18,Unnamed: 3,2-Oct-18,3-Oct-18,4-Oct-18,5-Oct-18,6-Oct-18,7-Oct-18,8-Oct-18,9-Oct-18,10-Oct-18,11-Oct-18,12-Oct-18,13-Oct-18,14-Oct-18,15-Oct-18,16-Oct-18,17-Oct-18,Capacity_y,18-Oct-18,19-Oct-18,20-Oct-18,21-Oct-18,22-Oct-18,23-Oct-18,24-Oct-18,25-Oct-18,26-Oct-18,27-Oct-18,28-Oct-18,29-Oct-18,30-Oct-18,31-Oct-18,Avg Population
East Mississippi,"1,500","1,299","1,297","1,296","1,294","1,294","1,293","1,293","1,292","1,292","1,289","1,290","1,290","1,290","1,290","1,295","1,292","1,290",,"1,500","1,290","1,290","1,290","1,290","1,287","1,280","1,274","1,273","1,271","1,271","1,271","1,267","1,275","1,272",1286
Marshall County,"1,000","1,000","1,000",999,998,"1,001","1,000","1,000",999,999,998,997,"1,000",999,999,996,994,994,,"1,000",994,999,999,999,998,997,997,"1,000","1,000",999,999,996,996,996,998
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",937,937,936,935,935,933,933,992,992,930,929,929,929,929,929,931,931,,"1,000",936,936,934,932,929,927,928,928,929,929,927,927,926,925,935
RESTITUTION CENTERS,10,6,6,6,6,5,5,5,7,7,7,7,6,6,6,7,7,7,,10,8,8,8,8,8,8,8,9,9,10,10,10,10,10,7
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,3,3,3,3,2,2,2,4,4,4,4,4,4,4,4,4,4,,6,4,4,4,4,4,4,4,5,5,6,6,6,6,6,4
Pascagoula,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
TRANSITIONAL HOUSING,122,36,35,35,35,35,35,35,33,33,38,38,40,40,40,40,44,43,,122,44,44,44,42,42,42,42,42,41,41,41,41,41,38,39
Madison,40,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,5,5,,40,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
Noxubee,34,25,24,24,23,23,23,23,23,23,28,27,27,27,27,27,30,29,,34,32,32,32,30,30,30,30,30,30,30,30,30,30,30,28
Rankin/Flowood,8,8,8,8,9,9,9,9,7,7,7,8,8,8,8,8,8,8,,8,8,8,8,8,8,8,8,8,7,7,7,7,7,4,8
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TOTALS,"24,284","19,442","19,426","19,463","19,468","19,531","19,523","19,521","19,595","19,636","19,560","19,565","19,554","19,544","19,544","19,537","19,484","19,504",,"24,284","19,532","19,509","19,506","19,499","19,529","19,513","19,545","19,536","19,582","19,580","19,576","19,594","19,572","19,559","19,533"
