Location,Capacity_x,1-Jun-17,Unnamed: 3,2-Jun-17,3-Jun-17,4-Jun-17,5-Jun-17,6-Jun-17,7-Jun-17,8-Jun-17,9-Jun-17,10-Jun-17,Capacity_y,11-Jun-17,12-Jun-17,13-Jun-17,14-Jun-17,15-Jun-17,16-Jun-17,17-Jun-17,18-Jun-17,19-Jun-17,20-Jun-17,21-Jun-17,Capacity,22-Jun-17,23-Jun-17,24-Jun-17,25-Jun-17,26-Jun-17,27-Jun-17,28-Jun-17,29-Jun-17,30-Jun-17,Avg Population
Marshall County,"1,000",992,997,997,997,997,998,998,"1,000",999,995,,"1,000",995,996,996,994,994,"1,000","1,000","1,000","1,000",999,999,"1,000",998,"1,000",999,999,998,998,997,997,"1,000",998
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,,"1,500",0,0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",867,871,871,871,870,868,873,873,870,869,,"1,000",869,869,869,872,871,871,870,870,871,870,869,"1,000",868,868,868,868,898,897,897,878,876,873
RESTITUTION CENTERS,16,12,12,12,12,12,12,12,12,11,11,,16,11,12,12,12,12,12,12,12,14,14,14,16,14,14,14,14,14,14,14,14,14,13
Greenwood,6,5,5,5,5,5,5,5,5,5,5,,6,5,5,5,5,5,4,4,4,5,5,5,6,5,5,5,5,5,5,5,5,5,5
Hinds,6,4,4,4,4,4,4,4,4,3,3,,6,3,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5
Pascagoula,4,3,3,3,3,3,3,3,3,3,3,,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
TRANSITIONAL HOUSING,164,53,59,59,59,55,52,52,47,47,47,,164,47,45,52,51,43,40,39,39,39,40,40,164,40,40,40,40,41,46,46,46,46,46
Madison,40,12,14,14,14,14,14,14,8,8,8,,40,8,6,7,7,7,5,5,5,5,5,5,40,5,5,5,5,5,5,5,5,5,8
Noxubee,34,23,26,26,26,22,21,21,23,22,22,,34,22,22,28,28,27,27,27,27,27,27,27,34,27,27,27,27,27,32,32,32,32,26
Rankin/Flowood,8,4,4,4,4,4,4,4,4,5,5,,8,5,5,5,5,5,5,5,5,5,5,5,8,5,5,5,5,7,7,7,7,7,5
Washington,42,12,12,12,12,12,10,10,10,10,10,,42,10,10,10,10,3,2,1,1,1,1,1,42,1,1,1,1,0,0,0,0,0,5
Wilkinson,40,2,3,3,3,3,3,3,2,2,2,,40,2,2,2,1,1,1,1,1,1,2,2,40,2,2,2,2,2,2,2,2,2,2
TOTALS,"24,215","18,843","18,857","18,849","18,847","18,873","18,880","18,912","18,914","18,899","18,884",,"24,215","18,878","18,887","18,902","18,874","18,878","18,859","18,850","18,846","18,941","18,904","18,922","24,215","18,960","18,964","18,953","18,946","18,928","18,925","18,895","18,907","18,925",18897
