Location,Capacity_x,1-Aug-14,2-Aug-14,3-Aug-14,4-Aug-14,5-Aug-14,6-Aug-14,7-Aug-14,8-Aug-14,9-Aug-14,10-Aug-14,Capacity_y,11-Aug-14,12-Aug-14,13-Aug-14,14-Aug-14,15-Aug-14,16-Aug-14,17-Aug-14,18-Aug-14,19-Aug-14,20-Aug-14,21-Aug-14,Capacity,22-Aug-14,23-Aug-14,24-Aug-14,25-Aug-14,26-Aug-14,27-Aug-14,28-Aug-14,29-Aug-14,30-Aug-14,31-Aug-14,Avg Pop
Jefferson Satellite Facility,102,39,39,40,40,40,40,40,40,40,40,102,40,45,45,44,50,50,50,50,48,48,48,102,46,46,46,45,45,45,45,51,51,51,45
Leflore Satellite Facility,102,50,50,50,50,49,49,49,48,48,48,102,49,48,48,48,47,47,47,48,54,53,53,102,53,52,52,52,52,52,53,53,53,53,50
Madison Satellite Facility,102,68,68,68,69,66,64,63,63,62,62,102,65,61,61,58,58,58,58,59,60,60,60,102,57,57,57,55,57,57,57,55,55,55,60
Noxubee Satellite Facility,92,73,73,73,76,75,75,77,75,75,75,92,76,76,75,75,77,77,77,77,77,77,77,92,75,75,74,74,74,70,69,68,68,68,74
Pike Satellite Facility,93,81,81,81,78,78,85,84,88,88,87,93,86,89,89,87,89,89,89,86,85,85,84,93,84,84,84,84,84,84,84,88,88,88,85
Quitman Satellite Facility,93,76,76,76,76,74,73,70,70,69,69,93,70,69,68,67,70,70,70,68,67,67,67,93,67,67,67,66,65,64,63,60,60,58,68
Rankin Satellite Facility,260,189,189,189,188,188,187,187,188,188,187,260,188,185,185,184,203,193,193,186,185,187,189,260,187,187,187,186,188,186,182,190,190,190,188
Simpson Satellite Facility,102,102,102,102,102,102,97,96,93,93,93,102,93,93,92,96,96,97,97,96,102,101,101,102,101,101,101,101,101,100,102,102,102,102,99
Washington Satellite Facility,102,55,55,55,54,53,52,52,49,49,49,102,52,51,51,51,51,51,51,50,50,54,54,102,54,54,54,52,52,52,50,49,49,49,52
Wilkinson Satellite Facility,102,48,48,48,47,47,47,46,46,46,46,102,46,45,50,49,49,49,49,49,49,47,54,102,53,53,53,53,53,51,51,51,51,51,49
Yazoo Satellite Facility,102,45,45,44,43,43,43,43,43,43,43,102,43,43,48,48,49,49,49,50,50,54,53,102,52,52,52,51,51,51,52,52,52,52,48
REGIONAL CORRECTIONAL FACILITIES,"4,500","4,405","4,403","4,397","4,408","4,411","4,395","4,392","4,395","4,391","4,390","4,500","4,395","4,404","4,412","4,411","4,412","4,411","4,409","4,417","4,417","4,401","4,412","4,500","4,420","4,416","4,414","4,393","4,388","4,385","4,395","4,394","4,391","4,389","4,402"
Alcorn County,300,300,300,299,298,298,300,297,297,297,297,300,300,300,300,300,300,300,300,298,298,297,300,300,299,299,299,298,297,296,296,296,296,296,298
Bolivar County,369,368,368,368,368,368,368,369,369,369,369,369,369,367,366,365,367,367,366,369,369,369,368,369,368,368,367,366,368,368,368,366,366,366,368
Carroll County,280,278,278,278,280,280,280,279,278,278,278,280,278,279,277,279,280,280,280,280,280,280,277,280,276,276,276,276,279,279,280,277,277,277,278
Chickasaw County,362,300,300,299,297,300,299,299,296,296,296,362,298,296,300,299,299,299,299,300,300,297,298,362,298,298,298,300,300,300,298,300,299,299,299
George County,280,278,278,278,280,280,279,279,278,277,277,280,277,278,279,277,277,276,275,278,279,280,281,280,280,280,279,279,280,279,276,279,278,278,278
Holmes County,280,276,276,276,280,280,280,280,280,279,279,280,277,278,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,276,280,280,280,279
Issaquena County,274,274,274,274,273,273,274,274,276,274,274,274,274,274,274,274,273,273,273,275,275,274,274,274,274,274,274,274,274,274,274,274,274,274,274
Jefferson County,280,273,273,273,279,279,274,273,276,276,276,280,280,280,279,279,277,277,277,277,280,275,275,280,280,280,280,279,273,273,278,275,275,274,277
Kemper County,355,354,354,354,354,354,348,348,346,346,345,355,346,353,354,355,355,355,355,354,354,353,353,355,355,354,354,354,354,351,351,351,351,351,352
Leake County,280,276,276,276,276,274,274,272,278,278,278,280,278,278,277,277,279,279,279,280,279,277,278,280,278,278,278,274,275,277,279,279,279,279,277
Marion County,280,280,280,280,280,280,280,280,280,280,280,280,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,278,278,280,279,280,280,280,280
Stone County,280,278,277,277,278,280,279,279,279,279,279,280,279,280,280,280,280,280,280,279,278,280,280,280,279,279,279,276,278,280,281,279,279,279,279
Washington County,300,289,289,289,288,288,284,284,284,284,284,300,284,286,286,286,286,286,286,286,286,284,290,300,289,289,289,287,282,279,286,283,283,282,286
Winston County,280,281,280,279,277,278,278,280,278,278,278,280,276,277,280,280,280,280,280,280,280,278,280,280,281,281,281,273,271,271,276,280,279,279,278
Yazoo County,300,300,300,297,300,299,298,299,300,300,300,300,300,299,300,300,299,299,299,301,299,297,298,300,303,300,300,299,299,298,297,295,295,295,299
PRIVATE PRISONS,5000,4237,4236,4235,4225,4222,4221,4153,4178,4176,4172,5000,4170,4148,4152,4161,4160,4155,4153,4150,4156,4167,4158,5000,4149,4148,4146,4133,4135,4133,4137,4115,4109,4107,"4,164"
East Mississippi,"1,500","1,201","1,201","1,200","1,202","1,201","1,201","1,197","1,197","1,196","1,194","1,500","1,195","1,192","1,194","1,197","1,198","1,196","1,195","1,196","1,198","1,197","1,198","1,500","1,200","1,199","1,199","1,198","1,200","1,198","1,198","1,198","1,196",1195,"1,198"
Marshall County,"1,000",1000,1000,1000,999,999,998,998,997,996,996,"1,000",998,996,993,996,996,995,995,992,992,999,999,"1,000",998,998,998,998,998,998,998,1000,1000,1000,997
Walnut Grove,"1,500","1,218","1,218","1,218","1,210","1,208","1,204","1,140","1,160","1,160","1,158","1,500","1,163","1,146","1,151","1,126","1,136","1,135","1,134","1,133","1,138","1,144","1,135","1,500","1,120","1,120","1,119","1,112","1,112","1,109","1,102","1,091","1,088",1087,"1,145"
Wilkinson County,"1,000",818,817,817,814,814,818,818,824,824,824,"1,000",814,814,814,842,830,829,829,829,828,827,826,"1,000",831,831,830,825,825,828,839,826,825,825,824
RESTITUTION CENTERS,16,7,7,7,7,7,6,6,5,5,5,16,6,6,6,6,6,6,6,6,6,7,7,16,6,6,6,6,5,5,6,6,6,6,6
Greenwood,6,5,5,5,4,4,4,4,3,3,3,6,4,4,4,4,4,4,4,4,4,5,5,6,4,4,4,4,3,3,4,4,4,4,4
Hinds,6,1,1,1,2,2,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1
Pascagoula,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
TOTALS,"25,340","20,632","20,621","20,615","20,620","20,648","20,638","20,641","20,662","20,652","20,642","25,340","20,620","20,620","20,627","20,643","20,625","20,616","20,612","20,601","20,618","20,606","20,630","25,340","20,622","20,615","20,610","20,346","20,486","20,478","20,491","20,398","20,389","20,383","20,581"
