Location,Capacity_x,1-Feb-19,2-Feb-19,3-Feb-19,4-Feb-19,5-Feb-19,6-Feb-19,7-Feb-19,8-Feb-19,9-Feb-19,10-Feb-19,11-Feb-19,12-Feb-19,13-Feb-19,14-Feb-19,15-Feb-19,16-Feb-19,17-Feb-19,Capacity_y,18-Feb-19,19-Feb-19,20-Feb-19,21-Feb-19,22-Feb-19,23-Feb-19,24-Feb-19,25-Feb-19,26-Feb-19,27-Feb-19,28-Feb-19,Avg Population
Simpson TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpson TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,51,51,51,52,51,51,52,52,52,52,52,52,52,52,52,52,52,62,52,52,57,60,59,59,59,60,60,58,57,54
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,556","3,938","3,932","3,938","4,004","4,036","4,102","4,122","4,140","4,140","4,140","4,186","4,189","4,181","4,186","4,182","4,181","4,181","4,556","4,156","4,177","4,176","4,230","4,227","4,227","4,225","4,221","4,198","4,211","4,226",4145
Alcorn County,300,254,254,254,263,272,283,282,291,291,291,301,301,300,299,299,299,299,300,299,303,302,304,304,304,304,303,301,301,301,291
Bolivar County,369,292,292,292,290,290,290,293,293,293,293,293,293,289,289,289,289,289,369,273,291,290,294,292,292,292,292,288,293,291,291
Carroll County,280,279,279,279,278,278,281,279,279,279,279,278,275,279,279,279,279,279,280,279,277,277,276,279,279,279,279,277,277,275,278
Chickasaw County,310,249,249,249,257,264,275,275,275,275,275,286,293,293,293,291,290,290,310,290,295,295,302,302,302,302,302,303,303,310,285
George County,342,306,306,306,327,341,341,340,339,339,339,339,339,338,338,336,336,336,342,334,332,332,340,340,340,340,340,338,336,334,334
Holmes County,280,204,204,204,212,211,220,218,228,228,228,228,238,238,248,248,248,248,280,248,254,254,264,263,263,263,262,261,261,269,240
Issaquena County,274,267,267,267,267,267,272,270,273,273,273,273,271,274,273,273,273,273,274,273,273,273,273,274,274,274,273,270,269,273,272
Jefferson County,280,278,278,278,278,279,279,278,278,278,278,278,276,275,276,274,274,274,280,273,273,273,278,278,278,278,279,278,280,281,277
Kemper County,355,292,292,292,315,314,313,343,342,342,342,343,340,339,339,335,335,335,355,333,330,330,336,335,335,335,334,332,336,347,330
Leake County,280,266,266,266,267,269,275,273,272,272,272,274,273,271,268,266,266,266,280,264,263,263,271,271,271,271,270,269,272,263,269
Marion County,280,279,273,279,280,280,279,279,279,279,279,279,279,277,277,280,280,280,280,280,280,280,280,279,279,279,280,280,280,280,279
Stone County,326,277,277,277,277,276,276,274,274,274,274,272,270,269,269,275,275,275,326,273,273,273,278,278,278,276,275,275,275,275,275
Washington County,300,165,165,165,165,164,164,164,164,164,164,172,172,171,171,171,171,171,300,171,171,171,171,171,171,171,171,170,170,170,169
Winston County,280,264,264,264,262,262,271,271,271,271,271,278,278,278,277,277,277,277,280,277,273,275,275,274,274,274,274,271,270,269,272
Yazoo County,300,266,266,266,266,269,283,283,282,282,282,292,291,290,290,289,289,289,300,289,289,288,288,287,287,287,287,285,288,288,284
PRIVATE PRISONS,"5,472","3,139","3,139","3,139","3,138","3,123","3,198","3,129","3,137","3,137","3,137","3,130","3,129","3,138","3,138","3,133","3,131","3,131","5,472","3,128","3,127","3,129","3,129","3,131","3,131","3,129","3,125","3,120","3,120","3,122",3133
Delta,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,206","1,206","1,206","1,200","1,199","1,208","1,210","1,205","1,205","1,205","1,198","1,197","1,198","1,199","1,195","1,194","1,195","1,500","1,192","1,191","1,192","1,192","1,195","1,195","1,194","1,194","1,190","1,191","1,188",1198
Marshall County,"1,000",998,998,998,"1,000",999,995,994,993,993,993,991,991,"1,000",999,999,999,998,"1,000",998,998,"1,000","1,000",999,999,999,997,999,999,999,997
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",935,935,935,938,925,995,925,939,939,939,941,941,940,940,939,938,938,"1,000",938,938,937,937,937,937,936,934,931,930,935,938
RESTITUTION CENTERS,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,10,7,7,7,7,7,7,7,7,7,7,7,7
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4
Pascagoula,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3
TRANSITIONAL HOUSING,122,17,17,17,18,17,18,18,18,18,18,18,18,24,25,25,25,25,122,25,25,28,28,29,29,29,31,31,31,31,23
Madison,40,2,2,2,2,2,3,2,2,2,2,2,2,6,7,7,7,7,40,7,7,7,7,7,7,7,7,7,7,7,5
Noxubee,34,12,12,12,12,13,13,12,12,12,12,12,12,14,14,14,14,14,34,14,14,15,15,16,16,16,18,18,18,18,14
Rankin/Flowood,8,3,3,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,8,4,4,6,6,6,6,6,6,6,6,6,4
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
TOTALS,"24,156","19,255","19,249","19,253","19,329","19,293","19,418","19,362","19,361","19,360","19,358","19,383","19,362","19,412","19,436","19,455","19,450","19,447","24,156","19,436","19,406","19,424","19,458","19,452","19,449","19,437","19,436","19,394","19,439","19,468",19392
