Location,Capacity_x_x,1-Dec-12,2-Dec-12,3-Dec-12,4-Dec-12,5-Dec-12,6-Dec-12,7-Dec-12,8-Dec-12,9-Dec-12,Capacity_y_x,10-Dec-12,11-Dec-12,12-Dec-12,13-Dec-12,14-Dec-12,15-Dec-12,16-Dec-12,17-Dec-12,18-Dec-12,Capacity_x_y,19-Dec-12,20-Dec-12,21-Dec-12,22-Dec-12,23-Dec-12,24-Dec-12,25-Dec-12,26-Dec-12,27-Dec-12,Capacity_y_y,28-Dec-12,29-Dec-12,30-Dec-12,31-Dec-12,Avg Population
REGIONAL CORRECTIONAL FACILITIES,"4,438","4,350","4,348","4,350","4,357","4,357","4,358","4,358","4,355","4,351","4,438","4,353","4,353","4,354","4,356","4,356","4,356","4,352","4,353","4,356","4,438","4,361","4,350","4,355","4,350","4,344","4,342","4,337","4,342","4,354","4,438","4,354","4,353","4,350","4,350","4,352"
Alcorn County,300,300,300,300,299,300,300,300,300,300,300,298,298,298,297,297,297,297,297,297,300,299,299,299,298,297,297,296,296,300,300,299,299,298,298,298
Bolivar County,369,368,368,368,368,367,368,369,369,368,369,368,368,368,368,367,367,366,366,368,369,368,367,369,369,367,367,365,366,366,369,368,368,368,368,368
Carroll County,280,279,279,279,278,278,280,278,278,278,280,278,280,280,280,280,280,279,278,278,280,280,279,279,278,278,278,278,279,280,280,281,281,281,281,279
Chickasaw County,300,300,300,300,300,300,300,300,300,300,300,299,300,300,300,300,300,300,299,299,300,299,300,299,298,297,297,297,296,300,300,300,299,299,299,299
George County,280,280,280,280,280,279,280,278,278,278,280,280,280,280,280,280,280,280,280,279,280,279,279,277,277,276,276,276,276,275,280,279,279,279,279,279
Holmes County,280,280,280,280,280,279,280,280,280,280,280,280,280,280,280,279,279,278,280,280,280,280,274,278,278,278,278,277,277,281,280,280,280,280,280,279
Issaquena County,274,274,274,274,273,274,274,274,274,274,274,273,274,274,273,274,274,274,274,273,274,273,273,274,273,273,273,273,273,274,274,274,274,273,273,274
Jefferson County,280,280,280,279,277,277,280,280,280,279,280,280,280,280,281,280,280,280,280,280,280,280,280,280,280,280,279,279,279,279,280,280,280,280,280,280
Kemper County,355,339,339,340,340,340,340,340,340,340,355,340,339,340,339,340,340,340,340,340,355,340,340,339,339,339,339,339,339,338,355,337,337,337,337,339
Leake County,280,279,278,279,278,280,277,280,279,278,280,280,278,279,279,280,280,280,280,280,280,280,279,280,280,279,278,278,280,279,280,280,280,280,280,279
Marion County,280,279,278,279,281,280,280,280,280,280,280,280,279,280,278,278,278,278,280,280,280,280,280,280,280,280,280,280,281,281,280,280,280,280,280,280
Stone County,280,277,277,277,280,279,279,280,280,280,280,280,280,280,280,280,280,280,280,279,280,279,279,278,278,278,278,278,279,279,280,278,278,278,278,279
Washington County,300,237,237,236,244,243,241,241,241,240,300,238,238,237,243,241,241,241,241,242,300,242,241,240,240,240,240,240,239,239,300,238,238,237,237,240
Winston County,280,279,279,280,281,281,279,279,278,278,280,279,279,278,279,278,278,278,279,277,280,278,278,280,280,280,280,280,280,280,280,279,279,279,279,279
Yazoo County,300,299,299,299,298,300,300,299,298,298,300,300,300,300,299,302,302,301,299,304,300,304,302,303,302,302,302,301,302,303,300,301,301,301,301,301
PRIVATE PRISONS,"5,972","4,257","4,254","4,263","4,265","4,260","4,254","4,241","4,241","4,239","5,972","4,232","4,223","4,211","4,286","4,282","4,280","4,278","4,273","4,276","5,972","4,284","4,337","4,334","4,333","4,333","4,329","4,327","4,327","4,329","5,972","4,346","4,343","4,339","4,335","4,287"
Delta,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0
East Mississippi,"1,500","1,143","1,143","1,142","1,138","1,134","1,128","1,128","1,128","1,126","1,500","1,123","1,122","1,124","1,124","1,125","1,124","1,123","1,120","1,123","1,500","1,123","1,126","1,125","1,125","1,125","1,123","1,122","1,122","1,126","1,500","1,125","1,124","1,123","1,122","1,127"
Marshall County,"1,000",995,995,995,995,994,994,993,993,993,"1,000",993,993,992,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000",999,998
Walnut Grove,"1,500","1,214","1,214","1,225","1,227","1,227","1,227","1,215","1,215","1,215","1,500","1,212","1,205","1,193","1,254","1,252","1,251","1,250","1,249","1,250","1,500","1,254","1,305","1,303","1,303","1,303","1,303","1,302","1,300","1,299","1,500","1,319","1,317","1,316","1,314","1,259"
Wilkinson County,"1,000",905,902,901,905,905,905,905,905,905,"1,000",904,903,902,908,905,905,905,904,903,"1,000",907,906,906,905,905,903,903,905,904,"1,000",902,902,900,900,904
RESTITUTION CENTERS,16,14,14,13,13,14,14,14,14,14,16,14,14,14,13,13,13,13,13,13,16,11,13,13,13,13,13,13,11,11,16,10,10,10,10,13
Greenwood,6,5,5,5,5,5,5,5,5,5,6,5,5,5,4,4,4,4,4,4,6,4,4,4,4,4,4,4,2,2,6,2,2,2,2,4
Hinds,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,5,5,5,5,6
Pascagoula,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3
GOVERNOR'S MANSION    (CLOSED),6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
E-CODE,0,14,14,12,6,6,6,8,9,10,0,11,7,7,7,7,7,5,5,4,0,4,3,5,7,5,5,6,4,4,0,8,6,6,5,7
TOTALS,"25,611","22,290","22,284","22,289","22,295","22,330","22,320","22,332","22,322","22,313","25,611","22,343","22,373","22,390","22,392","22,390","22,382","22,365","22,391","22,404","25,611","22,421","22,419","22,431","22,414","22,403","22,386","22,374","22,388","22,403","25,611","22,375","22,365","22,351","22,344","22,364"
