Location,Capacity_x,1-Apr-17,Unnamed: 3,2-Apr-17,3-Apr-17,4-Apr-17,5-Apr-17,6-Apr-17,7-Apr-17,8-Apr-17,9-Apr-17,10-Apr-17,Capacity_y,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,Capacity,22-Apr-17,23-Apr-17,24-Apr-17,Location.1,Capacity.1,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
REGIONAL CORRECTIONAL FACILITIES,"4,494","3,814","3,814","3,800","3,792","3,823","3,814","3,811","3,809","3,809","3,811",,"4,494","3,825","3,830","3,813","3,819","3,817","3,817","3,806","3,787","3,782","3,795","3,810","4,494","3,809","3,809","3,806",REGIONAL CORRECTIONAL FACILITIES,"4,494","3,810","3,821","3,808","3,804","3,802","3,801",3831
Alcorn County,300,240,240,239,238,240,240,239,239,239,239,,300,239,239,240,240,240,240,240,240,240,239,239,300,239,239,239,Alcorn County,300,239,240,240,239,239,239,241
Bolivar County,369,294,294,294,294,294,294,292,292,292,290,,369,294,294,294,293,293,293,292,290,293,293,293,369,293,293,292,Bolivar County,369,291,294,292,291,291,291,295
Carroll County,280,264,264,263,262,264,263,262,262,262,261,,280,260,264,264,263,263,263,263,263,263,264,264,280,264,264,264,Carroll County,280,264,264,264,264,264,264,264
Chickasaw County,310,287,287,285,285,285,285,288,288,288,286,,310,288,288,288,287,287,287,287,282,284,287,287,310,286,286,286,Chickasaw County,310,286,288,288,288,288,288,287
George County,280,223,223,223,223,223,223,221,221,221,220,,280,223,222,220,224,224,224,223,222,221,222,222,280,222,222,222,George County,280,222,224,222,222,222,222,224
Holmes County,280,222,222,221,221,223,223,221,221,221,221,,280,222,222,221,224,224,224,224,224,223,222,222,280,222,222,221,Holmes County,280,221,224,222,222,222,222,224
Issaquena County,274,271,271,274,274,274,274,273,273,273,272,,274,271,274,272,272,272,272,272,272,270,274,274,274,274,274,274,Issaquena County,274,274,274,274,272,272,272,273
Jefferson County,280,279,279,277,272,278,278,275,275,275,278,,280,282,282,281,280,280,280,280,278,277,276,278,280,278,278,278,Jefferson County,280,278,280,276,278,278,278,278
Kemper County,355,347,347,345,341,352,348,351,351,351,354,,355,352,352,350,352,352,352,348,348,346,342,350,355,350,350,350,Kemper County,355,352,351,349,349,348,348,349
Leake County,280,199,199,195,195,200,200,200,200,200,200,,280,200,200,200,200,200,200,197,195,195,199,199,280,199,199,199,Leake County,280,199,198,197,198,198,198,201
Marion County,280,227,227,227,227,227,227,226,225,225,225,,280,223,223,222,223,223,223,223,222,222,221,223,280,223,223,223,Marion County,280,226,226,226,225,225,225,226
Stone County,326,267,267,267,267,266,266,266,266,266,266,,326,266,265,263,263,263,263,263,261,261,260,261,326,261,261,260,Stone County,326,261,261,264,264,264,264,266
Washington County,300,234,234,232,239,238,237,236,235,235,234,,300,243,243,238,238,238,238,237,238,235,234,234,300,234,234,234,Washington County,300,233,233,232,232,232,232,238
Winston County,280,223,223,223,219,224,218,224,224,224,223,,280,221,221,221,223,222,222,222,220,220,222,224,280,224,224,224,Winston County,280,224,224,224,222,222,222,224
Yazoo County,300,237,237,235,235,235,238,237,237,237,242,,300,241,241,239,237,236,236,235,232,232,240,240,300,240,240,240,Yazoo County,300,240,240,238,238,237,236,240
PRIVATE PRISONS,"5,972","3,053","3,053","3,050","3,049","3,048","3,046","3,055","3,055","3,054","3,053",,"5,972","3,050","3,048","3,040","3,038","3,038","3,039","3,031","3,024","3,029","3,031","3,036","5,972","3,035","3,035","3,035",PRIVATE PRISONS,"5,972","3,038","3,057","3,072","3,074","3,072","3,073",3141
Delta,972,0,0,0,0,0,0,0,0,0,0,,972,0,0,0,0,0,0,0,0,0,0,0,972,0,0,0,Delta,972,0,0,0,0,0,0,31
East Mississippi,"1,500","1,163","1,163","1,163","1,163","1,160","1,158","1,166","1,166","1,166","1,167",,"1,500","1,166","1,165","1,162","1,163","1,163","1,163","1,158","1,155","1,155","1,154","1,153","1,500","1,153","1,153","1,153",East Mississippi,"1,500","1,158","1,177","1,195","1,195","1,195","1,195",1176
Marshall County,"1,000",999,999,999,998,"1,000","1,000",999,999,999,998,,"1,000",997,997,995,993,994,994,994,993,"1,000","1,000",999,"1,000",999,999,999,Marshall County,"1,000",999,"1,000",998,"1,000",998,999,998
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,,"1,500",0,0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,Walnut Grove,"1,500",0,0,0,0,0,0,48
Wilkinson County,"1,000",891,891,888,888,888,888,890,890,889,888,,"1,000",887,886,883,882,881,882,879,876,874,877,884,"1,000",883,883,883,Wilkinson County,"1,000",881,880,879,879,879,879,887
RESTITUTION CENTERS,16,15,15,15,15,15,15,15,15,15,15,,16,15,15,14,14,14,14,14,14,14,14,14,16,14,14,14,RESTITUTION CENTERS,16,14,14,13,13,13,13,14
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,6,6,5,5,5,5,5,5,5,5,5,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madison,40,18,17,17,17,17,17,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noxubee,34,22,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rankin/Flowood,8,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington,42,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilkinson,40,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,22-Apr-17,23-Apr-17,24-Apr-17,,,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSITIONAL HOUSING,164,69,67,67,67,67,67,67
