name,position,address,phone,fax,mobile,address2
Frank Davis  ,Claiborne County Sheriff,"PO Box 427, Port Gibson 39150",(601) 437-5161,(601) 437-3824,,
Marie Clark,Claiborne County Supervisor (D-1)," PO Box 689, Port Gibson 39150",(601) 437-5216,(601) 437-4430,,
Kenneth R. Davis,Claiborne County Supervisor (D-2)," PO Box 689, Port Gibson 39150",(601) 437-5216,(601) 437-4430,,
Lonnie O’Quinn,Claiborne County Supervisor (D-3)," PO Box 689, Port Gibson 39150",(601) 437-5216,(601) 437-4430,,
Ronald Shoulders,Claiborne County Supervisor (D-4),"PO Box 689, Port Gibson 39150",(601) 437-5216,(601) 437-4430,,
Daniel L. Porter,Claiborne County Supervisor (D-5)," PO Box 689, Port Gibson 39150",(601) 437-5216,(601) 437-4430,,
Greg Snowden,Clarke County Board Attorney," PO Box 3807, Meridian 39303-3807",(601) 693-5700,,,
E. J. (Bilbo) Mitchell,Clarke County District Attorney," PO Box 5163, Meridian 39302.",(601) 482-9757,(601) 483-0085,,
Edward N Kramer III,Clarke County Prosecuting Attorney,"PO Box 46, Quitman 39355",(601) 776-5399,(601) 776-6888,,
Todd Kemp. ,Clarke County Sheriff,"444 West Donald St, Quitman 39355",(601) 776-5252,(601) 776-1025,,
Darrick L. Marshall,Clarke County Supervisor (D-1),"PO Box 616, Quitman 39355",(601) 776-5873,(601) 776-1013,,
Lorenzo Carter,Clarke County Supervisor (D-2)," PO Box 616, Quitman 39355",(601) 776-5873,(601) 776-1013,,
Troy Smith,Clarke County Supervisor (D-3)," PO Box 616, Quitman 39355",(601) 776-5873,(601) 776-1013,,
Paul Mosley,Clarke County Supervisor (D-4)," PO Box 616, Quitman 39355",(601) 776-5873,(601) 776-1013,,
Mickey Long,Clarke County Supervisor (D-5),"PO Box 616, Quitman 39355",(601) 776-5873,(601) 776-1013,,
Bob Marshall,Clay County Board Attorney," PO Box 835, West Point 39773.",(662) 494-5184,(662) 492-4059,,
Scott Colom,Clay County District Attorney," PO Box 1044, Columbus 39703 ",(662) 329-5911,(662) 327-1854,,
Michelle D. Easterling,Clay County Prosecuting Attorney,"PO Box 835, West Point 39773.",(662) 494-5184,,,
Eddie Scott,Clay County Sheriff,"PO Box 142, West Point 39773",(662) 494-2896,(662) 494-4034,,
Lynn Horton,Clay County Supervisor (D-1),"PO Box 815, West Point 39773",(662) 494-3313,(662) 492-4059,,
Luke Lummus,Clay County Supervisor (D-2),"PO Box 815, West Point 39773",(662) 494-3313,(662) 492-4059,,
R.B. Davis,Clay County Supervisor (D-3),"PO Box 815, West Point 39773",(662) 494-3313,(662) 492-4059,,
Shelton L. Deanes,Clay County Supervisor (D-4),"PO Box 815, West Point 39773",(662) 494-3313,(662) 492-4059,,
Joe D. Chandler,Clay County Supervisor (D-5)," PO Box 815, West Point  39773",(662) 494-3313,(662) 492-4059,,
Tom Ross Jr,Coahoma County Board Attorney," PO Box 1196, Clarksdale 38614",(662) 627-5251,,,
Brenda F. Mitchell,Coahoma County District Attorney,"PO Box 848, Cleveland 38732",(662) 843-8000,(662) 846-1711,,
John M. Sherman,Coahoma County Prosecuting Attorney," 203 Court Street, Clarksdale 38614 ",(662) 627-5310,(662) 627-6791,,
Charles Jones,Coahoma County Sheriff,"PO Box 1182, Clarksdale 38614",(662) 624-3081,(662) 624-3035,,
Paul Pearson,Coahoma County Supervisor (D-1)," 325 Pearson Rd, Lyon 38645",(662) 624-3028,(662) 624-3029,,
Pat Davis Jr,Coahoma County Supervisor (D-2),"4500 Farrell Rd, Clarksdale 38614",(662) 302-1761,(662) 624-3029,,
Derrell Washington,Coahoma County Supervisor (D-3),"PO Box 112, Jonestown 38639",(662) 902-8221,(662) 624-3029,,
Johnny Newson,Coahoma County Supervisor (D-4),"433 Andrews St, Clarksdale 38614",(662) 627-2279,(662) 624-3029,,
Will Young,Coahoma County Supervisor (D-5),"1820 Young Rd, Clarksdale 38614",(662) 902-3276,(662) 621-9022,,
Elise Munn,Copiah County Board Attorney,"P. O. Drawer 768, Hazlehurst 39083",(601) 894-4150,(601) 894-4717,,
Alexander C. Martin,Copiah County District Attorney,"PO Drawer 767, Hazlehurst 39083",(601) 894-5040,(601) 894-9080,,
Elise B. Munn,Copiah County Prosecuting Attorney,"PO Drawer 768, Hazlehurst 39083",(601) 894-4150,(601) 894-4717,,
Harold L. Jones Jr,Copiah County Sheriff," PO Box 547, Hazlehurst 39083",(601) 894-3011,(601) 892-2133,,
Daryl McMillian,Copiah County Supervisor (D-1)," PO Box 551, Hazlehurst 39083",(601) 894-1858,(601) 894-1908,(601) 953-9901,
Terry Channell,Copiah County Supervisor (D-2)," PO Box 551, Hazlehurst 39083",(601) 894-1858,(601) 894-1908,(601) 953-9902,
Perry Hood,Copiah County Supervisor (D-3)," PO Box 551, Hazlehurst 39083",(601) 894-1858,(601) 894-1908,(601) 953-9903,
Kenneth Powell,Copiah County Supervisor (D-4),"PO Box 551, Hazlehurst 39083",(601) 894-1858,(601) 894-1908,(601) 953-9904,
Jimmy L. Phillips,Copiah County Supervisor (D-5)," PO Box 551, Hazlehurst 39083",(601) 894-1858,(601) 894-1908,(601) 953-9905,
Tommy Rogers,Covington County Board Attorney," PO Box 1415, Collins 39428",(601) 765-8235,(601) 765-8237,,
Matt Sullivan,Covington County District Attorney,"100 Court Ave,Ste 4, Mendenhall 39114",(601) 847-1342,(601) 847-3428,,
John Alan Buffington,Covington County Prosecuting Attorney," PO Box 477, Prentiss 39471",(601) 792-4554,,,"PO Box 924, Collins 39428"
Stann Q. Smith,Covington County Sheriff,"PO Box 545, Collins 39428",(601) 765-8281,(601) 765-5003,,
Sterling Craft,Covington County Supervisor (D-1),"PO Box 1679, Collins 39428",(601) 765-8605,(601) 765-5016,,
John Holifield,Covington County Supervisor (D-2),"PO Box 1679, Collins 39428",(601) 765-8605,(601) 765-5016,,
Jimmy D. White,Covington County Supervisor (D-3),"PO Box 1679, Collins 39428",(601) 765-8605,(601) 765-5016,,
Guy Cecil Easterling,Covington County Supervisor (D-4),"PO Box 1679, Collins 39428",(601) 765-8605,(601) 765-5016,,
Arthur Keys,Covington County Supervisor (D-5),"PO Box 1679, Collins 39428",(601) 765-8605,(601) 765-5016,,
Tony Nowak,DeSoto County Board Attorney," 2545 Caffey St, Hernando 38632",(662) 429-7888,(662) 429-0107,,
John W Champion,DeSoto County District Attorney,"365 Losher St,Ste 210, Hernando 38632",(662) 469-8014,(662) 469-8231,,
Craig Treadway,DeSoto County Prosecuting Attorney," PO Box 681, Olive Branch 38654",(662) 469-8817,,,
Bill Rasco,DeSoto County Sheriff," 3091 Industrial Dr. W, Hernando 38632",(662) 469-8027,(662) 469-8543,,
Jessie Medlin,DeSoto County Supervisor (D-1)," 365 Losher St, Hernando 38632",(662) 469-8002,(662) 469-8181,,
Mark Gardner,DeSoto County Supervisor (D-2)," 365 Losher St, Hernando 38632",(662) 469-8002,(662) 469-8181,,
Bill Russell,DeSoto County Supervisor (D-3),"365 Losher St, Hernando 38632",(662) 469-8002,(662) 469-8181,,
Lee Caldwell,DeSoto County Supervisor (D-4)," 365 Losher St, Hernando 38632",(662) 469-8002,(662) 469-8181,,
Michael Lee,DeSoto County Supervisor (D-5)," 365 Losher St, Hernando 38632",(662) 469-8002,(662) 469-8181,,
David Miller,Forrest County Board Attorney," PO Box 1310, Hattiesburg 39403-1310 ",(601) 545-6006,(601) 545-6172,,
Patricia Burchell,Forrest County District Attorney,"PO Box 166, Hattiesburg 39403-0166",(601) 545-1551,(601) 545-6097,,
Pamela Luckie Castle,Forrest County Prosecuting Attorney," PO Box 2037, Hattiesburg 39403",(601) 544-4333,(601) 544-4331,,
Billy Bob McGee,Forrest County Sheriff," PO Box 747, Hattiesburg 39403",(601) 544-7800,(601) 544-8162,,
David Hogan,Forrest County Supervisor (D-1)," PO Box 1310, Hattiesburg 39403-1310 ",(601) 545-6000,(601) 545-6095,,
Charles E Marshall,Forrest County Supervisor (D-2)," PO Box 1310, Hattiesburg 39403-1310 ",(601) 545-6000,(601) 545-6095,,
Burkett Ross,Forrest County Supervisor (D-3),"PO Box 1310, Hattiesburg 39403-1310 ",(601) 545-6000,(601) 545-6095,,
Rod Woullard,Forrest County Supervisor (D-4),"PO Box 1310, Hattiesburg 39403-1310 ",(601) 545-6000,(601) 545-6095,,
Chris Bowen,Forrest County Supervisor (D-5),"PO Box 1310, Hattiesburg 39403-1310 ",(601) 545-6000,(601) 545-6095,,
William (Bill) Halford,Franklin County Board Attorney," 85 Main St. W, Meadville 39653",(601) 384-2100,(601) 384-2121,,
Ronnie Harper,Franklin County District Attorney," 307 Market St, Natchez 39120",(601) 445-4099,(601) 445-7947,,
Mary K. Williamson,Franklin County Prosecuting Attorney," PO Box 188, Meadville 39653",(601) 384-2343,(601) 384-5442,,
James Newman ,Franklin County Sheriff,"PO Box 396, Meadville 39653",(601) 384-2323,(601) 384-3770,,
Gary Cameron,Franklin County Supervisor (D-1)," PO Box 297, Meadville 39653",(601) 384-2330,(601) 384-5864,,
David (Tubb) Southerland,Franklin County Supervisor (D-2),"PO Box 297, Meadville 39653",(601) 384-2330,(601) 384-5864,,
Mike (Dirt) Hunt,Franklin County Supervisor (D-3)," PO Box 297, Meadville 39653",(601) 384-2330,(601) 384-5864,,
Jerry L. Howell,Franklin County Supervisor (D-4)," PO Box 297, Meadville 39653",(601) 384-2330,(601) 384-5864,,
Jimmie (Bodi) Bass,Franklin County Supervisor (D-5),"PO Box 297, Meadville 39653",(601) 384-2330,(601) 384-5864,,
Robert Shepard,George County Board Attorney,"922 Manila St, Lucedale 39452",(601) 947-7575,,,
Anthony (Tony) Lawrence III,George County District Attorney,"PO Box 1756, Pascagoula 39568-1756",(228) 769-3045,(228) 769-3345,,
Joey Griffin,George County Prosecuting Attorney,"368 Cox St, Lucedale 39452",(601) 508-0509,(601) 947-2939,,
Keith Havard,George County Sheriff," 355 Cox St,Ste B, Lucedale 39452 ",(601) 947-4811,(601) 947-0233,,
Fred A. Croom,George County Supervisor (D-1)," 355 Cox St,Ste D, Lucedale 39452",(601) 947-7506,,,
Kelly W Wright,George County Supervisor (D-2)," 355 Cox St,Ste D, Lucedale 39452",(601) 947-7506,,,
Larry D. McDonald,George County Supervisor (D-3),"355 Cox St,Ste D, Lucedale 39452",(601) 947-7506,,,
Larry Havard,George County Supervisor (D-4)," 355 Cox St,Ste D, Lucedale 39452",(601) 947-7506,,,
William Henry Cochran,George County Supervisor (D-5)," 355 Cox St,Ste D, Lucedale 39452",(601) 947-7506,,,
Roun McNeal,Greene County Board Attorney," PO Box 667, Leakesville 39451",(601) 394-2394,(601) 394-4650,,
Anthony (Tony) Lawrence III,Greene County District Attorney,"PO Box 1756, Pascagoula 39568-1756",(228) 769-3045,(228) 769-3345,,
Lee Turner,Greene County Prosecuting Attorney," PO Box 1492, Leakesville 39451",(601) 394-5008,(601) 394-2986,,
Stanley McLeod  ,Greene County Sheriff,"PO Box 637, Leakesville 39451",(601) 394-2341,(601) 394-5939,,
Gary L. Dearman,Greene County Supervisor (D-1),"PO Box 460, Leakesville 39451",(601) 394-2394,(601) 394-4650,,
William M. Hill,Greene County Supervisor (D-2)," PO Box 460, Leakesville 39451",(601) 394-2394,(601) 394-4650,,
Jerry Mills,Greene County Supervisor (D-3)," PO Box 460, Leakesville 39451",(601) 394-2394,(601) 394-4650,,
John W (Wayne) Barrow,Greene County Supervisor (D-4)," PO Box 460, Leakesville 39451",(601) 394-2394,(601) 394-4650,,
Harold Cook,Greene County Supervisor (D-5),"PO Box 460, Leakesville 39451",(601) 394-2394,(601) 394-4650,,
Jay Gore III,Grenada County Board Attorney," PO Box 901, Grenada 38902",(662) 226-1891,(662) 226-2237,,
Doug Evans,Grenada County District Attorney," PO Box 1262, Grenada 38902-1262",(662) 226-8545,(662) 227-9558,,
Judith Eldridge,Grenada County Justice Court Clerk,"16 First St, Grenada 38901.",(662) 226-3331,(662) 227-5513,,
Jimmy Tallant,Grenada County Justice Court Judge,"16 First St, Grenada 38901",(662) 226-3331,(662) 227-5513,,
Leon Williamson,Grenada County Justice Court Judge,"16 First St, Grenada 38901",(662) 226-3331,(662) 227-5513,,
Adam Kirk,Grenada County Prosecuting Attorney," PO Box 901, Grenada 38902-0901 ",(662) 226-1891,(662) 226-2237,,
Alton Strider,Grenada County Sheriff," 35 Doak St, Grenada 38901",(662) 227-2877,(662) 227-2872,,
Michael Lott,Grenada County Supervisor (D-1),"PO Box 1208, Grenada 38902",(662) 226-1821,(662) 227-2860,,
Chad Bridges,Grenada County Supervisor (D-2),"PO Box 1208, Grenada 38902",(662) 226-1821,(662) 227-2860,,
C. Columbus Hankins,Grenada County Supervisor (D-3),"PO Box 1208, Grenada 38902",(662) 226-1821,(662) 227-2860,,
Darrell Robinson,Grenada County Supervisor (D-4),"PO Box 1208, Grenada 38902",(662) 226-1821,(662) 226-2860,,
Chad P. Gray,Grenada County Supervisor (D-5),"PO Box 1208, Grenada 38902",(662) 226-1821,(662) 227-2860,,
Gary Yarborough,Hancock County Board Attorney," 854 Hwy. 90,Ste A, Bay St. Louis 39520",(228) 467-5771,,,
Joel Smith,Hancock County District Attorney," PO Drawer 1180, Gulfport 39502",(228) 865-4003,(228) 865-4239,,
Olen Anderson,Hancock County Prosecuting Attorney,"8450 Hwy. 90, Bay St. Louis 39520",(228) 255-5808,,,
Ricky Adam,Hancock County Sheriff,"8450 Hwy. 90, Bay St. Louis 39520",(228)466-6900,(228) 586-1636,,
David Yarborough,Hancock County Supervisor (D-1)," 854 Hwy. 90,Ste A, Bay St. Louis 39520",(228) 467-0172,(228) 466-5994,,
Greg Shaw,Hancock County Supervisor (D-2)," 854 Hwy. 90,Ste A, Bay St. Louis 39520",(228) 467-0172,(228) 466-5994,,
Blaine LaFontaine,Hancock County Supervisor (D-3)," 854 Hwy. 90,Ste A, Bay St. Louis 39520",(228) 467-0172,(228) 466-5994,,
Scotty Adam,Hancock County Supervisor (D-4)," 854 Hwy. 90,Ste A, Bay St. Louis 39520",(228) 467-0172,(228) 466-5994,,
Darrin (Bo) Ladner,Hancock County Supervisor (D-5)," 854 Hwy. 90,Ste A, Bay St. Louis 39520",(228) 467-0172,(228) 466-5994,,
Tim Holleman,Harrison County Board Attorney," 1720 23rd Ave, Gulfport 39501 ",(228) 863-3142,,,
John McAdams,Harrison County Chancery Clerk," PO Box 544, Biloxi 39533",(228) 435-8220,(228) 435-8292,,
John McAdams,Harrison County Chancery Clerk,"PO Drawer CC, Gulfport 39502",(228) 865-4164,(228) 214-1583,,
Joel Smith,Harrison County District Attorney," PO Drawer 1180, Gulfport 39502",(228) 865-4003,(228) 865-4239,,
