link,text
https://gspp.berkeley.edu/assets/uploads/research/pdf/draft_1_prop_47_raphael_and_lofstrom.pdf,The Effect of Sentencing Reform on Crime Rates:
http://ftp.iza.org/dp12413.pdf,"Immigrants' Deportations, Local Crime and Police Effectiveness"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2770761,"Louisiana Death-Sentenced Cases and Their Reversals, 1976-2015"
https://comptroller.nyc.gov/wp-content/uploads/documents/Fees-and-Fines-in-the-Criminal-Justice-System.pdf,"Fees, Fines and Fairness:"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3402790,Plus a Life Sentence?
http://conference.iza.org/conference_files/Education_2019/bacher-hicks_a28539.pdf,The School to Prison Pipeline:
https://cdn.ymaws.com/counciloncj.org/resource/resmgr/crime_bill/part_one_-_prison_population.pdf,"The 1994 Crime Bill Legacy and Lessons, Part 1:"
https://files.texaspolicy.com/uploads/2019/09/16142413/Meyer-Police-Unions-in-21st-Century1.pdf,The Role of Police Unions in the 21st Century
https://www.hrw.org/report/2019/09/12/get-ground-policing-poverty-and-racial-inequality-tulsa-oklahoma/case-study-us-law,"Policing, Poverty, and Racial Inequality in Tulsa, Oklahoma"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3417793,When Stop and Frisk Comes Home:
https://www.freetodrive.org/maps/#page-content,Free to Drive:
https://www.splcenter.org/20180918/racial-profiling-louisiana-unconstitutional-and-counterproductive,Racial Profiling in Louisiana:
https://www.rand.org/pubs/research_reports/RR3232.html,Los Angeles County Office of Diversion and Reentry's Supportive Housing Program
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5993842/,The impact of residential change and housing stability on recidivism:
https://www.cato.org/publications/studies/are-disproportionate-number-federal-judges-former-government-advocates,Are a Disproportionate Number of Federal Judges Former Government Advocates?
https://www.prisonpolicy.org/scans/ncsl/state_of_capital_punishment1.pdf,The State of Capital Punishment
https://journals.library.columbia.edu/index.php/cjrl/article/view/3411,The Construction and Criminalization of Disability in School Incarceration
https://www-cdn.law.stanford.edu/wp-content/uploads/2019/07/Unlocking-the-Bar-July-2019.pdf,Unlocking the Bar:
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3425457,The Effect of Public Health Insurance on Criminal Recidivism
https://www.sentencingproject.org/wp-content/uploads/2019/09/U.S.-Prison-Population-Trends.pdf,U.S. Prison Population Trends:
https://www.brennancenter.org/sites/default/files/publications/2019_09_Defender%20Parity%20AnalysisV7.pdf,A Fair Fight:
http://www.campaignforyouthjustice.org/images/Raising_the_Floor__Final.pdf,Raise The Floor:
https://www.hrw.org/report/2019/09/12/get-ground-policing-poverty-and-racial-inequality-tulsa-oklahoma/case-study-us-law,"""Get on the Ground!"":"
https://scholarlycommons.law.northwestern.edu/cgi/viewcontent.cgi?article=7365&context=jclc,Efficiency and Cost:
https://www.prisonpolicy.org/reports/repeatarrests.html,"Arrest, Release, Repeat:"
https://www.smashwords.com/books/view/945400,Women in Prison Camp:
https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2748665,Association of Parental Incarceration With Psychiatric and Functional Outcomes of Young Adults
https://www.sciencedirect.com/science/article/pii/S2352827319300874,Examining the relationship between U.S. incarceration rates and population health at the county level
https://digitalcommons.hamilton.edu/cgi/viewcontent.cgi?article=1005&context=student_scholarship,The Treatment of People with Mental Illness in the Criminal Justice System:
https://escholarship.org/uc/item/9c09s4bm,The Effectiveness of Mental Health Courts in Reducing Recidivism and Police Contact:
https://www.law.uchicago.edu/files/2018-11/chicago_contagiousness_of_violence.pdf,The Contagiousness of Police Violence
https://ccjls.scholasticahq.com/article/9911-decriminalization-and-depenalization-of-marijuana-possession-a-case-study-of-enforcement-outcomes-in-prince-george-s-county,Decriminalization and Depenalization of Marijuana Possession:
https://ij.org/wp-content/uploads/2019/06/Fighting-Crime-or-Raising-Revenue.pdf,Fighting Crime or Raising Revenue?
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3413922,Confirmation Bias and Other Systemic Causes of Wrongful Convictions:
http://media.navigatored.com/documents/policediversityreport.pdf,Diversity on the Force:
https://news.wttw.com/sites/default/files/article/file-attachments/2019-07%20Final-Report-Kim%20Foxx-ForPrint.pdf,"Sentences of Incarceration Decline Sharply, Public Safety Improves During Kim Foxx's Second Year in Office"
https://ccrjustice.org/sites/default/files/attach/2017/09/SAMs%20Report.Final_.pdf,The Darkest Corner:
https://www.bjs.gov/content/pub/pdf/icfjs9818.pdf,"Immigration, Citizenship, and the Federal Justice System, 1998-2018"
https://university.pretrial.org/HigherLogic/System/DownloadDocumentFile.ashx?DocumentFileKey=15ad6f0e-b18c-d8d8-ec60-156090d88968&forceDialog=0,Pretrial Release Without Money:
https://www.usccr.gov/pubs/2019/06-13-Collateral-Consequences.pdf?eType=EmailBlastContent&eId=d37030a2-bfe6-4784-866a-7db61d64f357,Collateral Consequences:
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2838492/,Incarceration and opioid withdrawal:
https://www.pogo.org/investigation/2019/08/isolated-ice-confines-some-detainees-with-mental-illness-in-solitary-for-months/,ISOLATED:
https://www.texasappleseed.org/sites/default/files/An%20Analysis%20of%20Texas%20Jail%20Bookings%20Apr%202019.pdf,An Analysis of Texas Jail Bookings:
https://storage.googleapis.com/vera-web-assets/downloads/Publications/gatekeepers-police-and-mass-incarceration/legacy_downloads/gatekeepers-police-and-mass-incarceration.pdf,Gatekeepers:
https://storage.googleapis.com/vera-web-assets/downloads/Publications/911-call-processing-system-review-of-policing-literature/legacy_downloads/911-call-processing-system-review-of-policing-literature.pdf,The 911 Call Processing System:
https://www.splcenter.org/20190815/opportunity-costs-unequal-justice-alabamas-community-corrections-programs,Opportunity Costs:
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3427857,The Agony & the Ecstasy of #MeToo:
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3351217,Misdemeanor Appeals
https://campaignlegal.org/sites/default/files/2019-07/CLC_CPCV_Report_Final_0.pdf,"Can't Pay, Can't Vote:"
https://www.urban.org/sites/default/files/publication/100704/national_initiative_for_building_community_trust_and_justice_3.pdf,The National Initiative for Building Community Trust and Justice:
https://www.prisonpolicy.org/scans/police_mort_open.pdf,"Risk of being killed by police use of force in the United States by age, race-ethnicity, and sex"
https://www.bjs.gov/content/pub/pdf/cp17sf.pdf,"Capital Punishment, 2017:"
https://store.samhsa.gov/system/files/guide_4-0712_final_-_section_508_compliant.pdf,Use of Medication-Assisted Treatment for Opioid Use Disorder in Criminal Justice Settings
https://williamsinstitute.law.ucla.edu/wp-content/uploads/LGBTQ-Youth-of-Color-July-2019-3.pdf,LGBTQ Youth of Color Impacted by the Child Welfare and Juvenile Justice Systems:
https://www.policeforum.org/assets/mentalillnessinjails.pdf,Managing Mental Illness in Jails:
https://csgjusticecenter.org/wp-content/uploads/2019/04/Police-Mental-Health-Collaborations-Framework.pdf,Police-Mental Health Collaborations:
https://www.scribd.com/document/420381705/Criminology-Public-Policy-Network-Exposure-And-Excessive-Use-Of-Force,Network exposure and excessive use of force:
https://ccjls.scholasticahq.com/article/9907-changes-in-enforcement-of-low-level-and-felony-offenses-post-ferguson-an-analysis-of-arrests-in-st-louis-missouri,Changes in Enforcement of Low-Level and Felony Offenses Post-Ferguson:
https://ccjls.scholasticahq.com/article/9908-examining-judicial-pretrial-release-decisions-the-influence-of-risk-assessments-and-race,Examining Judicial Pretrial Release Decisions:
https://populardemocracy.org/sites/default/files/2019%20Impact%20Brief%20-%20Wall%20Street%20Banks%20Sever%20Ties%20with%20Private%20Prisons%20ITPI%20PAI%20CPD%20July%202019%20FINAL.pdf,"As Wall Street Banks Sever Ties, Private Prison Companies Stand to Lose Over $1.9B in Future Financing"
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6050868/,"Racial/Ethnic Disparities in Arrests for Drug Possession After California Proposition 47, 2011-2016"
https://digitalcommons.uri.edu/cgi/viewcontent.cgi?article=1008&context=dignity,Cumulative Sexual Victimization and Mental Health Outcomes Among Incarcerated Women
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3095217,Collective Bargaining and Police Misconduct:
https://muslimadvocates.org/wp-content/uploads/2019/07/FULFILLING-THE-PROMISE-OF-FREE-EXERCISE-FOR-ALL-Muslim-Prisoner-Accommodation-In-State-Prisons-for-distribution-7_23-1.pdf,Fulfilling the Promises of Free Exercise for All:
https://onlinelibrary.wiley.com/doi/epdf/10.1111/1745-9133.12299?referrer_access_token=ZZmKMpQbJQnBuqTFDifwP4ta6bR2k8jH0KrdpFOxC665yO_Zdt-ajbseBpeYx_M8hqYXnEENVbDXY69mPeXusQh30bH6u4iCrzN0h_0vmMfXT7j0r2KB-J4sNs4jYGSAY-XBjg5LMX1Li86Jfr9yjh93zVGPA0mnakXr94Co8V0%3D,The Impact of Police on Criminal Justice Reform:
https://storage.googleapis.com/vera-web-assets/downloads/Publications/new-york-new-york-2019-bail-reform-law-highlights/legacy_downloads/new-york-new-york-2019-bail-reform-law-highlights.pdf,"New York, New York:"
https://urbanlabs.uchicago.edu/attachments/e95d751f7d91d0bcfeb209ddf6adcb4296868c12/store/cca92342e666b1ffb1c15be63b484e9b9687b57249dce44ad55ea92b1ec0/lights_04242016.pdf,Reducing Crime Through Environmental Design:
https://www.aclu.org/report/district-attorney-jackie-laceys-shameful-death-penalty-record-new-report-shows-la-county-top,"The California Death Penalty is Discriminatory, Unfair, and Officially Suspended."
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0219361,Decreasing HIV transmissions to African American women through interventions for men living with HIV post-incarceration:
https://www.prisonpolicy.org/reports/jailexpansion.html,Does our county really need a bigger jail?
http://ccresourcecenter.org/2019/06/26/national-survey-of-law-enforcement-access-to-sealed-non-conviction-records/,Survey of law enforcement access to sealed non-conviction records
https://www.oregon.gov/cjc/CJC%20Document%20Library/EffectofPretrialDetention.pdf,Effect of Pretrial Detention in Oregon
https://www.rstreet.org/2019/07/24/promoting-equity-with-youth-diversion/,Promoting Equity with Youth Diversion
https://solitarywatch.org/wp-content/uploads/2019/06/Louisiana-on-Lockdown-Report-June-2019.pdf,Louisiana on Lockdown:
https://www.aclu.org/sites/default/files/field_document/062419-sj-solitaryreportcover.pdf,Still Worse Than Second-Class:
http://www.stopsolitaryforkids.org/wp-content/uploads/2019/06/Not-In-Isolation-Final.pdf,Not in Isolation:
https://www.immigrantdefenseproject.org/wp-content/uploads/ICEwatch-Trends-Report.pdf,ICEwatch: ICE Raids Tactics Map
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3389049,Convictions of Innocent People with Intellectual Disability
https://storage.googleapis.com/vera-web-assets/downloads/Publications/preventing-suicide-and-self-harm-in-jail/legacy_downloads/preventing-suicide-and-self-harm-in-jail.pdf,Preventing Suicide and Self-Harm in Jail:
https://www.courtinnovation.org/sites/default/files/media/document/2019/Bail_Reform_NY_full_0.pdf,Bail Reform in New York:
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3406121,Prosecutorial Misconduct:
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3327498,At the Intersection of Health and Justice: How the Health of American Indians and Alaska Natives
https://www.sciencedirect.com/science/article/pii/S2468266719301045,"Economic decline, incarceration, and mortality from drug use disorders in the USA between 1983 and 2014:"
https://static1.squarespace.com/static/5b5b9595c3c16ae8c41ee8a7/t/5b64ce59aa4a99769fc6df34/1533333085509/RESOURCE_The-Debt-Spiral_Report+Woodstock.pdf,The Debt Spiral:
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3410627,Punishing Homelessness
https://kypolicy.org/dash/wp-content/uploads/2019/06/Disparate-Justice-Report-Final.pdf,Disparate Justice:
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3391800,"Democracy, Bureaucracy and Criminal Justice Reform"
https://www.courtinnovation.org/sites/default/files/media/document/2018/Misdemeanor_Populations_Risks_Needs.pdf,Understanding Risk and Needs in Misdemeanor Populations:
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3404899,Second Looks & Second Chances
https://www.pnas.org/content/pnas/108/17/6889.full.pdf,Extraneous factors in judicial decisions
https://impactjustice.org/wp-content/uploads/NOTHING-GOOD_7.1.2019-1.pdf,"""Nothing Good Happens in There:"""
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3410502,Restorative Justice and Youth Offenders in Nebraska
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3367170,The Public Finance of Capital Punishment
https://www.urban.org/sites/default/files/publication/100230/next_steps_in_federal_corrections_reform_1.pdf,Next Steps in Federal Corrections Reform
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608482/pdf/peds.2012-0627.pdf,The Impact of Parental Incarceration on the Physical and Mental Health of Young Adults
https://journals.sagepub.com/doi/full/10.1177/0033354919826563,Linkages Between Incarceration and Health
https://pdfs.semanticscholar.org/30e5/91eb7ab88ee453381ad582b1180d537d7f13.pdf?_ga=2.89805147.1519942134.1562173021-2124574051.1562173021,Citizenship and Punishment:
https://www.researchgate.net/publication/304344860_Hidden_challenges_Sex_offenders_legislated_into_homelessness,Hidden challenges:
https://www.nber.org/papers/w22611?utm_campaign=ntw&utm_medium=email&utm_source=ntw,Emotional Judges and Unlucky Juveniles
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3403819,Appropriate Placement and Treatment of Transgender Prisoners:
https://www.ppic.org/wp-content/uploads/recidivism-of-felony-offenders-in-california.pdf,Recidivism of Felony Offenders in California
https://www.researchgate.net/publication/333069572_A_natural_experiment_study_of_the_effects_of_imprisonment_on_violence_in_the_community,A natural experiment study of the effects of imprisonment on violence in the community
https://scholar.harvard.edu/files/cyang/files/cohen_yang_june2017.pdf,Judicial Politics and Sentencing Decisions
https://lawreview.law.ucdavis.edu/issues/52/2/Articles/52-2_Kennedy.pdf,Sharks and Minnows in the War on Drugs:
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3340898,How Police Technology Aggravates Racial Inequity:
https://csgjusticecenter.org/confinedandcostly/,Confined and Costly:
https://storage.googleapis.com/vera-web-assets/downloads/Publications/safe-alternatives-segregation-initiative-findings-recommendations/legacy_downloads/safe-alternatives-segregation-initiative-findings-recommendations-ldps.pdf,The Safe Alternatives to Segregation Initiative:
https://phr.org/resources/not-in-my-exam-room/#phr_toc_0,Not in my Exam Room:
https://www.americanjail.org/Files/American%20Jails/2019_JF_Ware%20&%20Lupfer_Promoting%20Reentry%20Success%20Through%20Increased%20Access%20to%20SS%20Benefits.pdf,Promoting Reentry Success Through Increased Access to Social Security Benefit
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4232139/,Aggressive Policing and the Mental Health of Young Urban Men
https://storage.googleapis.com/vera-web-assets/downloads/Publications/paid-in-full-a-plan-to-end-money-injustice-in-new-orleans/legacy_downloads/paid-in-full-report.pdf,Paid in Full:
http://www.stateofblackimmigrants.com/assets/sobi-fullreport-jan22.pdf,The State of Black Immigrants
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3397309,The Gendered Burdens of Conviction and Collateral Consequences on Employment
https://www.urban.org/sites/default/files/publication/100013/innovative_strategies_for_investing_in_youth_justice_0.pdf,Promoting a New Direction for Youth Justice
https://www.rand.org/pubs/research_reports/RR2957.html?utm_source=The+Marshall+Project+Newsletter&utm_campaign=ec12886638-EMAIL_CAMPAIGN_2019_05_23_11_17&utm_medium=email&utm_term=0_5e02cdad9d-ec12886,Evaluation of North Carolina's Pathways from Prison to Postsecondary Education Program
https://storage.googleapis.com/vera-web-assets/downloads/Publications/unlocking-potential-prison-to-postsecondary-education/legacy_downloads/unlocking-potential-prison-to-postsecondary-education-report.pdf,Unlocking Potential:
https://storage.googleapis.com/vera-web-assets/downloads/Publications/investing-in-futures-education-in-prison/legacy_downloads/investing-in-futures-factsheet.pdf,Investing in Futures:
https://www.urban.org/sites/default/files/publication/99514/expanding_medicaid_access_to_halfway_house_residents.pdf,Expanding Medicaid Access to Halfway House Residents:
https://columbialegal.org/wp-content/uploads/2019/05/Gone-But-Not-Forgotten-May2019.pdf,Gone but Not Forgotten:
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2809818,The Immediate Consequences of Federal Pretrial Detention
https://thecrimereport.org/wp-content/uploads/2019/02/close-to-home-report-.pdf,Moving Beyond Youth Prisons:
https://static1.squarespace.com/static/5c4fbee5697a9849dae88a23/t/5c6dd3271905f41e5f8636a3/1550701352414/IIP+ES+Prosecutors+and+Frequent+Utilizers.pdf,Prosecutors and Frequent Utilizers: How Can Prosecutors Better Address
http://irle.berkeley.edu/files/2019/04/Does-Locked-Up-Mean-Locked-Out.pdf,Does Locked Up Mean Locked Out?
https://www.anderson.ucla.edu/faculty_pages/christian.dippel/privateprisons_sentencing.pdf,Do Private Prisons Affect Criminal Sentencing?
https://steinhardt.nyu.edu/scmsAdmin/media/users/ks191/policing/Aggressive_Policing_and_Academic_Outcomes_Brief.pdf,Aggressive Policing and Academic Outcomes:
https://onlinelibrary.wiley.com/doi/full/10.1111/1745-9133.12442,"Justice ""cost points"":"
https://robinainstitute.umn.edu/sites/robinainstitute.umn.edu/files/parole_landscape_report.pdf,Levers of Change In Parole Release And Revocation
https://static1.squarespace.com/static/5c6458c07788975dfd586d90/t/5cefe1b23cd4e3000135efaa/1559224929928/Emerging-Adults-Violent-Crime.pdf,Thinking About Emerging Adults and Violent Crime
http://www.antoniocasella.eu/nume/Adelman_2017.pdf,Urban crime rates and the changing face of immigration:
https://static1.squarespace.com/static/5b4cc00c710699c57a454b25/t/5cf0070a01a5de0001581c8b/1559234315691/Reconsidering+the+Violent+Offender_DIGITAL+%282%29.pdf,"Reconsidering the ""Violent Offender"""
https://blackfutureslab.org/wp-content/uploads/2019/05/More-Black-than-Blue.pdf,More Black than Blue:
https://www.prisonpolicy.org/blog/2019/05/14/policingwomen/,Policing Women:
https://transequality.org/sites/default/files/docs/resources/FTPS_FR_v2.pdf,Failing to Protect and Serve:
https://transequality.org/sites/default/files/docs/resources/TransgenderPeopleBehindBars.pdf,LGBTQ People Behind Bars:
https://www.treatmentadvocacycenter.org/road-runners,Road Runners:
https://www.americaunderwatch.com/,America Under Watch:
https://www.acludc.org/en/racial-disparities-dc-policing-descriptive-evidence-2013-2017,Racial Disparities in D.C. Policing:
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3369175,When Music Takes the Stand:
https://www.brennancenter.org/sites/default/files/publications/1.02.19%20Model%20Leg_FINAL.pdf,Criminal Justice Solutions:
https://www.brennancenter.org/sites/default/files/publications/2018_12_CellSurveillanceV3.pdf,"Cellphones, Law Enforcement, and the Right to Privacy"
http://static1.squarespace.com/static/53f20d90e4b0b80451158d8c/t/55a810d7e4b058f342f55873/1437077719984/AAPF_SMN_Brief_full_singles.compressed.pdf,Say Her Name:
https://webfiles.uci.edu/ckubrin/Prop%2047%20and%20Crime%20in%20California.pdf,Can We Downsize Our Prisons and Jails Without Compromising Public Safety?
https://sftreasurer.org/sites/default/files/Hig%20Pain%20Low%20Gain%20FINAL_04-24-2019.pdf,Criminal Justice Administrative Fees:
https://www.bjs.gov/content/pub/pdf/p17.pdf,Prisoners in 2017
https://www.bjs.gov/content/pub/pdf/ji17.pdf,Jail Inmates in 2017
https://web.law.columbia.edu/sites/default/files/microsites/climate-change/holt_-_heat_in_us_prisons_and_jails.pdf,Heat in U.S. Prisons and Jails
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3369844,The Voluntariness of Voluntary Consent:
https://worthrises.org/picreport2019,The Prison Industrial Complex:
https://repository.uchastings.edu/cgi/viewcontent.cgi?article=1993&context=faculty_scholarship,Are Private Prisons to Blame for Mass Incarceration and Its Evils?
https://www.dcpolicycenter.org/publications/racial-equity-fines-fees/,Applying a racial equity lens to fines and fees in the District of Columbia
https://prisonpolicy.org/scans/thedeterminantsofdecliningracialdisparities.pdf,"The Determinants of Declining Racial Disparities in Female Incarceration Rates, 2000-2015"
https://static1.squarespace.com/static/5caf6f4fb7c92ca13c9903e3/t/5cf914a3db738b00010598b8/1559827620344/Bronx%2B120%2BReport.pdf,"Report on the Bronx 120 Mass ""Gang"" Prosecution"
