"Location","Capacity","1-Oct-19","2-Oct-19","3-Oct-19","4-Oct-19","5-Oct-19","6-Oct-19","7-Oct-19","8-Oct-19","9-Oct-19","10-Oct-19","11-Oct-19","12-Oct-19","13-Oct-19","14-Oct-19","15-Oct-19","16-Oct-19","17-Oct-19"
"Washington County","300","174","174","174","174","174","174","172","170","170","169","169","169","169","162","162","162","162"
"Winston County","280","272","279","278","278","278","278","277","277","275","275","275","275","275","274","281","281","281"
"Yazoo County","300","298","299","298","298","298","298","299","298","300","300","300","300","300","299","298","300","300"
"PRIVATE PRISONS","5,472","3,213","3,212","3,204","3,202","3,201","3,201","3,197","3,194","3,208","3,207","3,205","3,205","3,205","3,204","3,205","3,203","3,200"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,277","1,273","1,267","1,266","1,266","1,266","1,264","1,261","1,272","1,270","1,268","1,268","1,268","1,267","1,270","1,270","1,268"
"Marshall County","1,000","998","998","997","997","997","997","995","995","998","997","997","997","997","997","996","996","996"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","938","941","940","939","938","938","938","938","938","940","940","940","940","940","939","937","936"
"RESTITUTION CENTERS","10","8","8","8","8","8","8","8","8","7","7","7","7","7","7","7","7","7"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","5","5","5","5","5","5","5","5","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","122","31","31","28","28","28","28","30","34","33","0","32","32","32","32","27","28","28"
"Madison","40","5","6","3","3","3","3","3","5","4","4","4","4","4","4","3","4","4"
"Noxubee","34","24","24","24","24","24","24","24","24","24","24","23","23","23","22","22","22","22"
"Rankin/Flowood","8","1","1","1","1","1","1","1","3","2","2","2","2","2","2","2","2","2"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","1","0","0","0","0","0","2","2","3","3","3","3","3","4","0","0","0"
"TOTALS","24,142","19,331","19,371","19,347","19,343","19,302","19,358","19,371","19,382","19,347","19,324","19,354","19,351","19,345","19,345","19,354","19,354","19,362"
