"Location","Capacity","1-Sep-19","2-Sep-19","3-Sep-19","4-Sep-19","5-Sep-19","6-Sep-19","7-Sep-19","8-Sep-19","9-Sep-19","10-Sep-19","11-Sep-19","12-Sep-19","13-Sep-19","14-Sep-19","15-Sep-19","16-Sep-19","17-Sep-19"
"Issaquena County","297","319","319","318","318","316","316","316","316","316","316","316","315","315","314","314","314","313"
"Jefferson County","280","278","278","278","278","275","279","279","279","278","280","280","280","280","280","280","280","279"
"Kemper County","355","340","340","339","338","333","344","344","344","341","349","349","349","348","348","348","348","352"
"Leake County","280","268","267","268","266","277","279","279","279","279","277","277","277","277","277","277","277","280"
"Marion County","280","278","278","279","279","279","279","279","279","277","280","280","280","280","280","280","280","279"
"Stone County","326","280","280","280","280","280","280","280","280","280","280","280","279","279","279","279","277","280"
"Washington County","300","182","182","182","181","177","177","177","177","177","176","176","176","176","176","175","175","174"
"Winston County","280","278","278","277","276","272","277","277","277","275","276","276","276","276","276","276","272","279"
"Yazoo County","300","298","298","298","298","297","298","298","298","296","300","300","300","300","300","300","300","300"
"PRIVATE PRISONS","5,472","3,198","3,198","3,201","3,199","3,203","3,201","3,200","3,200","3,202","3,196","3,195","3,195","3,195","3,195","3,194","3,203","3,199"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,261","1,261","1,266","1,266","1,266","1,263","1,263","1,263","1,259","1,258","1,257","1,257","1,258","1,258","1,258","1,267","1,263"
"Marshall County","1,000","1,000","1,000","999","998","998","998","997","997","997","994","994","994","993","993","993","993","993"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","937","937","936","935","939","940","940","940","946","944","944","944","944","944","943","943","943"
"RESTITUTION CENTERS","10","9","9","9","9","8","7","7","7","8","8","8","9","8","8","8","8","8"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","6","6","6","6","5","4","4","4","5","5","5","6","5","5","5","5","5"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","122","41","41","42","41","39","37","37","37","44","0","47","46","46","46","45","46","45"
"Madison","40","0","0","9","8","7","7","7","7","8","9","10","10","10","10","9","10","10"
"Noxubee","34","28","28","28","28","28","28","28","28","34","34","34","34","34","34","34","34","33"
"Rankin/Flowood","8","3","3","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","10","10","3","3","2","0","0","0","0","1","1","1","1","1","1","1","1"
"TOTALS","24,179","19,367","19,355","19,336","19,379","19,323","19,336","19,329","19,326","19,361","19,295","19,366","19,376","19,357","19,343","19,334","19,356","19,338"
