"Location","Capacity","1-Aug-20","2-Aug-20","3-Aug-20","4-Aug-20","5-Aug-20","6-Aug-20","7-Aug-20","8-Aug-20","9-Aug-20","10-Aug-20","11-Aug-20","12-Aug-20","13-Aug-20","14-Aug-20","15-Aug-20","16-Aug-20","17-Aug-20"
"Wilkinson Satellite Facility","62","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,062","4,035","4,052","4,047","4,035","4,022","4,007","4,003","4,003","3,995","3,988","0","0","0","0","0","0"
"Alcorn County","300","287","286","287","287","286","286","285","285","285","286","286","","","","","",""
"Bolivar County","369","271","270","271","271","270","270","270","269","269","269","269","","","","","",""
"Carroll County","280","241","239","240","240","239","238","238","238","238","238","236","","","","","",""
"Chickasaw County","310","297","295","296","296","295","294","294","294","294","293","292","","","","","",""
"George County","342","331","328","334","332","328","328","327","325","325","324","323","","","","","",""
"Holmes County","280","274","273","274","273","273","273","273","272","272","271","271","","","","","",""
"Issaquena County","297","312","309","309","309","309","301","300","299","299","297","297","","","","","",""
"Jefferson County","280","273","271","272","272","271","271","270","270","270","268","268","","","","","",""
"Kemper County","355","301","299","301","300","299","299","295","295","295","295","293","","","","","",""
"Leake County","280","252","249","251","251","249","249","247","247","247","246","246","","","","","",""
"Marion County","280","341","339","339","339","339","339","338","338","338","338","338","","","","","",""
"Stone County","326","275","274","274","274","274","273","272","272","272","272","272","","","","","",""
"Washington County","300","115","115","115","115","115","115","114","114","114","114","114","","","","","",""
"Winston County","280","206","204","205","204","204","202","201","201","201","200","200","","","","","",""
"Yazoo County","300","286","284","284","284","284","284","283","284","284","284","283","","","","","",""
"PRIVATE PRISONS","5,500","3,529","3,529","3,528","3,527","3,524","3,523","3,521","3,521","3,520","3,520","3,519","0","0","0","0","0","0"
"Tallahatchie County","1,000","558","558","558","558","558","558","558","558","558","558","558","","","","","",""
"East Mississippi","1,500","1,166","1,166","1,166","1,165","1,163","1,163","1,163","1,163","1,162","1,162","1,162","","","","","",""
"Marshall County","1,000","946","946","945","945","944","944","943","943","943","943","942","","","","","",""
"Walnut Grove","1,000","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Wilkinson County","1,000","859","859","859","859","859","858","857","857","857","857","857","","","","","",""
"RESTITUTION CENTERS","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Hinds","6","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Pascagoula","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"TRANSITIONAL HOUSING","122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Madison","40","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Noxubee","34","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Rankin/Flowood","8","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"TOTALS","24,170","17,390","17,359","17,380","17,379","17,362","17,353","17,355","17,348","17,346","17,352","17,327","0","0","0","0","0","0"
"","","1-Aug-20","2-Aug-20","3-Aug-20","4-Aug-20","5-Aug-20","6-Aug-20","7-Aug-20","8-Aug-20","9-Aug-20","10-Aug-20","11-Aug-20","12-Aug-20","13-Aug-20","14-Aug-20","15-Aug-20","16-Aug-20","17-Aug-20"
