"Location","Capacity","1-Mar-20","2-Mar-20","3-Mar-20","4-Mar-20","5-Mar-20","6-Mar-20","7-Mar-20","8-Mar-20","9-Mar-20","10-Mar-20","11-Mar-20","12-Mar-20","13-Mar-20","14-Mar-20","15-Mar-20","16-Mar-20","17-Mar-20"
"Quitman Satellite Facility","93","71","71","71","66","66","67","67","67","65","66","66","66","59","59","59","59","59"
"Rankin Satellite Facility","178","126","138","150","148","151","148","148","148","150","150","150","149","149","149","149","147","147"
"Rankin SF (RRD)","28","16","16","18","18","18","18","18","18","18","18","18","18","16","16","16","16","16"
"Flowood TVC","50","14","14","14","14","13","12","12","12","18","18","16","16","16","16","15","14","14"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","55","54","56","56","54","49","49","49","52","52","52","52","52","52","52","52","52"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,579","4,337","4,332","4,344","4,358","4,360","4,355","4,355","4,355","4,359","4,354","4,355","4,362","4,360","4,350","4,350","4,340","4,340"
"Alcorn County","300","290","290","289","297","299","299","299","299","299","299","299","299","299","299","299","298","298"
"Bolivar County","369","284","284","291","291","291","289","289","289","287","287","287","294","293","290","290","290","290"
"Carroll County","280","268","267","266","271","271","270","270","270","269","269","269","269","269","268","268","268","268"
"Chickasaw County","310","308","308","309","307","307","309","309","309","308","308","308","308","308","307","307","307","307"
"George County","342","338","338","341","341","341","340","340","340","340","339","337","340","339","338","338","336","336"
"Holmes County","280","274","274","273","274","274","273","273","273","274","272","272","272","272","272","272","272","272"
"Issaquena County","297","319","318","317","316","316","313","313","313","313","311","311","311","311","311","311","311","311"
"Jefferson County","280","280","279","278","278","278","277","277","277","276","275","276","276","276","276","276","274","274"
"Kemper County","355","336","335","342","339","339","344","344","344","344","342","341","339","339","339","339","337","337"
"Leake County","280","269","269","269","276","276","271","271","271","267","267","269","269","269","267","267","267","267"
"Marion County","280","400","399","399","399","399","399","399","399","399","398","398","397","397","397","397","397","397"
"Stone County","326","280","280","280","280","280","280","280","280","279","278","280","280","280","279","279","279","279"
"Washington County","300","141","141","141","141","141","141","141","141","141","147","146","146","146","146","146","144","144"
"Winston County","280","268","268","266","264","264","264","264","264","268","267","267","267","267","266","266","265","265"
"Yazoo County","300","282","282","283","284","284","286","286","286","295","295","295","295","295","295","295","295","295"
"PRIVATE PRISONS","6,000","3,908","3,930","3,926","3,925","3,924","3,926","3,926","3,925","3,921","3,926","3,932","3,929","3,929","3,929","3,929","3,926","3,926"
"Tallahatchie County","1,000","825","848","847","847","847","850","850","850","850","850","850","850","850","850","850","849","849"
"East Mississippi","1,500","1,223","1,221","1,218","1,216","1,216","1,217","1,217","1,217","1,214","1,217","1,218","1,214","1,214","1,214","1,214","1,212","1,212"
"Marshall County","1,000","992","991","990","989","989","989","989","989","989","989","994","995","995","995","995","995","995"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","868","870","871","873","872","870","870","869","868","870","870","870","870","870","870","870","870"
"RESTITUTION CENTERS","10","5","5","5","5","5","4","4","4","5","5","5","6","5","5","5","5","5"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3"
"Pascagoula","4","2","2","2","2","2","1","1","1","2","2","2","2","2","2","2","2","2"
"TRANSITIONAL HOUSING","122","22","22","46","45","34","34","34","33","33","0","31","30","30","30","30","30","30"
"Madison","40","4","4","4","3","3","3","3","3","4","3","3","2","2","2","2","2","2"
"Noxubee","34","15","15","36","36","24","24","24","24","24","24","24","24","24","24","24","24","24"
"Rankin/Flowood","8","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","1","1","2","2","3","3","3","2","1","1","0","0","0","0","0","0","0"
"TOTALS","24,670","18,886","18,916","18,913","18,911","18,896","18,911","18,909","18,908","18,907","18,891","18,896","18,898","18,887","18,871","18,869","18,852","18,852"
