"Location","Capacity","18-Mar-20","19-Mar-20","20-Mar-20","21-Mar-20","22-Mar-20","23-Mar-20","24-Mar-20","25-Mar-20","26-Mar-20","27-Mar-20","28-Mar-20","29-Mar-20","30-Mar-20","31-Mar-20","Avg Population"
"Alcorn County","300","298","298","298","298","298","298","298","297","297","296","296","296","296","294","297"
"Bolivar County","369","290","289","289","289","288","289","289","289","287","286","285","285","285","285","288"
"Carroll County","280","268","268","268","267","267","266","266","266","266","264","264","264","264","262","267"
"Chickasaw County","310","307","307","307","307","307","307","307","305","305","305","305","305","305","305","307"
"George County","342","334","334","334","334","334","334","334","334","332","332","332","332","332","332","336"
"Holmes County","280","272","272","271","271","271","271","271","270","270","270","270","270","269","268","272"
"Issaquena County","297","310","310","310","310","310","310","310","311","311","311","311","311","311","310","312"
"Jefferson County","280","274","272","271","271","271","269","269","269","267","266","266","266","266","264","273"
"Kemper County","355","332","331","331","330","330","330","328","325","325","325","325","325","325","324","334"
"Leake County","280","267","267","267","267","266","266","266","266","264","262","261","261","261","261","267"
"Marion County","280","397","396","394","394","394","394","394","393","392","391","391","391","390","390","396"
"Stone County","326","278","278","276","276","276","276","276","276","276","276","276","276","276","276","278"
"Washington County","300","144","144","142","142","142","142","142","141","141","141","141","141","141","140","143"
"Winston County","280","263","262","261","261","261","260","259","258","256","256","256","256","256","255","263"
"Yazoo County","300","295","294","294","294","293","293","292","292","292","291","291","291","291","291","291"
"PRIVATE PRISONS","6,000","3,923","3,917","3,916","3,916","3,915","3,916","3,914","3,931","3,909","3,909","3,929","3,909","3,906","3,906","3521"
"Tallahatchie County","1,000","849","849","849","849","849","849","849","849","849","849","849","849","849","849","848"
"East Mississippi","1,500","1,210","1,208","1,207","1,207","1,206","1,207","1,206","1,204","1,203","1,203","1,203","1,203","1,203","1,202","1211"
"Marshall County","1,000","994","993","993","993","993","993","992","992","991","991","991","991","991","990","992"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","870","867","867","867","867","867","867","886","866","866","886","866","866","865","469"
"RESTITUTION CENTERS","10","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"Pascagoula","4","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2"
"TRANSITIONAL HOUSING","122","30","29","29","29","29","30","30","30","30","28","28","28","29","28","31"
"Madison","40","2","1","1","1","1","2","2","2","2","2","2","2","3","2","2"
"Noxubee","34","24","24","24","24","24","24","24","24","24","22","22","22","22","22","24"
"Rankin/Flowood","8","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"TOTALS","24,670","18,841","18,828","18,812","18,736","18,798","18,795","18,782","18,770","18,741","18,749","18,762","18,637","18,716","18,669","18434"
