"Location","Capacity 1-Jul-17","","2-Jul-17","3-Jul-17","4-Jul-17","5-Jul-17","6-Jul-17","7-Jul-17","8-Jul-17","9-Jul-17","10-Jul-17","11-Jul-17","12-Jul-17","13-Jul-17","14-Jul-17","15-Jul-17","16-Jul-17","17-Jul-17"
"Jefferson County","280","280","280","280","280","279","279","280","280","280","279","278","279","278","277","277","277","273"
"Kemper County","355","352","352","352","352","351","350","349","349","349","349","349","349","350","350","350","350","343"
"Leake County","280","197","197","197","197","195","195","197","197","197","197","200","200","199","197","197","197","197"
"Marion County","280","223","223","223","223","223","223","223","223","223","223","223","223","225","225","225","225","225"
"Stone County","326","263","263","263","263","263","263","263","263","263","263","263","263","263","262","262","262","262"
"Washington County","300","232","232","232","232","231","231","231","231","231","230","230","230","237","237","237","237","237"
"Winston County","280","223","223","223","223","222","222","221","221","221","219","223","222","223","223","223","223","222"
"Yazoo County","300","240","240","239","239","237","237","237","237","237","239","239","239","239","239","239","239","239"
"PRIVATE PRISONS","5,972","3,040","3,040","3,039","3,039","3,035","3,038","3,047","3,059","3,059","3,058","3,058","3,055","3,075","3,070","3,069","3,067","3,065"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,165","1,165","1,164","1,164","1,160","1,160","1,169","1,169","1,169","1,167","1,167","1,167","1,178","1,176","1,176","1,174","1,174"
"Marshall County","1,000","1,000","1,000","1,000","1,000","999","998","998","999","999","1,000","1,000","999","999","998","998","998","997"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","875","875","875","875","876","880","880","891","891","891","891","889","898","896","895","895","894"
"RESTITUTION CENTERS","16","14","14","14","14","13","13","12","12","12","13","15","15","15","14","14","14","15"
"Greenwood","6","5","5","5","5","4","4","4","4","4","4","6","6","6","6","6","6","6"
"Hinds","6","6","6","6","6","6","6","5","5","5","6","6","6","6","5","5","5","6"
"Pascagoula","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","164","46","46","43","43","43","48","48","44","44","43","43","43","43","43","43","43","43"
"Madison","40","5","5","5","5","5","5","5","2","2","1","1","1","1","1","1","1","1"
"Noxubee","34","32","32","29","29","29","34","34","34","34","34","34","34","34","34","34","34","34"
"Rankin/Flowood","8","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6","6","6"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","2","2","2","2","2","2","2","1","1","1","1","1","2","2","2","2","2"
"TOTALS","24,215","18,929","18,909","18,867","18,852","18,796","18,810","18,758","18,743","18,737","18,765","18,778","18,797","18,888","18,775","18,769","18,763","18,801"
"","","1-Jul-17","2-Jul-17","3-Jul-17","4-Jul-17","5-Jul-17","6-Jul-17","7-Jul-17","8-Jul-17","9-Jul-17","10-Jul-17","11-Jul-17","12-Jul-17","13-Jul-17","14-Jul-17","15-Jul-17","16-Jul-17","17-Jul-17"
