"Location","Capacity","1-Jun-18","2-Jun-18","3-Jun-18","4-Jun-18","5-Jun-18","6-Jun-18","7-Jun-18","8-Jun-18","9-Jun-18","10-Jun-18","11-Jun-18","12-Jun-18","13-Jun-18","14-Jun-18","15-Jun-18","16-Jun-18","17-Jun-18"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","49","49","49","50","51","49","51","50","50","50","50","50","50","53","52","52","52"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,675","3,673","3,671","3,671","3,658","3,658","3,655","3,655","3,655","3,654","3,642","3,642","3,631","3,638","3,668","3,660","3,661"
"Alcorn County","300","239","239","239","239","237","238","238","238","238","238","237","237","236","236","236","235","236"
"Bolivar County","369","293","293","293","293","292","294","294","294","294","294","291","292","291","290","290","289","289"
"Carroll County","280","266","266","266","266","265","264","263","262","262","262","262","262","262","267","267","267","267"
"Chickasaw County","310","258","258","257","257","257","257","257","257","257","257","257","257","257","256","254","254","254"
"George County","342","205","204","204","204","203","202","202","202","202","202","202","202","200","200","199","199","199"
"Holmes County","280","201","201","201","201","201","201","201","200","200","200","200","200","200","200","200","200","200"
"Issaquena County","274","266","266","266","266","266","265","261","261","261","261","260","260","260","260","271","270","270"
"Jefferson County","280","268","268","268","268","268","267","267","267","267","267","265","264","264","264","262","262","262"
"Kemper County","355","258","258","258","258","257","257","256","255","255","255","255","255","254","254","251","250","250"
"Leake County","280","257","257","256","256","254","252","253","254","254","254","252","252","251","251","269","269","269"
"Marion County","280","267","267","267","267","266","266","266","265","265","265","264","264","263","269","269","268","269"
"Stone County","326","214","214","214","214","214","214","214","214","214","214","212","211","211","211","210","210","210"
"Washington County","300","189","189","189","189","188","189","189","187","187","187","187","187","186","185","185","185","185"
"Winston County","280","264","263","263","263","260","260","260","259","259","258","258","259","257","257","268","266","266"
"Yazoo County","300","230","230","230","230","230","232","234","240","240","240","240","240","239","238","237","236","235"
"PRIVATE PRISONS","5,472","3,242","3,242","3,240","3,240","3,245","3,241","3,242","3,244","3,244","3,244","3,235","3,234","3,232","3,238","3,237","3,236","3,236"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,312","1,312","1,310","1,310","1,317","1,314","1,318","1,317","1,317","1,317","1,315","1,314","1,309","1,308","1,306","1,307","1,307"
"Marshall County","1,000","1,000","1,000","1,000","1,000","998","997","996","999","999","999","997","997","1,000","999","999","999","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","930","930","930","930","930","930","928","928","928","928","923","923","923","931","932","930","930"
"RESTITUTION CENTERS","10","5","5","5","6","6","6","8","8","8","6","6","6","6","6","6","6","6"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","4","4","4","4","4","4","6","6","6","4","4","4","4","4","4","4","4"
"Pascagoula","4","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"TRANSITIONAL HOUSING","164","31","31","31","31","31","31","33","33","33","33","33","33","33","33","33","33","33"
"Madison","40","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Noxubee","34","21","21","21","21","21","21","23","23","23","23","23","23","23","23","23","23","23"
"Rankin/Flowood","8","7","7","7","7","8","8","8","8","8","8","8","8","8","8","8","8","8"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,247","19,525","19,519","19,505","19,538","19,526","19,532","19,535","19,535","19,536","19,526","19,517","19,523","19,551","19,556","19,575","19,556","19,593"
