"Location","Capacity 1-Jan-17","","2-Jan-17","3-Jan-17","4-Jan-17","5-Jan-17","6-Jan-17","7-Jan-17","8-Jan-17 9-Jan-17","","10-Jan-17","11-Jan-17","12-Jan-17","13-Jan-17","14-Jan-17","15-Jan-17","16-Jan-17","17-Jan-17","18-Jan-17"
"Leflore TVC Support","20","10","10","10","8","8","8","8","8","7","7","7","6","6","6","6","6","6","6"
"Madison Satellite Facility","102","75","75","73","73","82","86","86","86","86","86","85","81","78","78","78","78","78","78"
"Noxubee Satellite Facility","92","86","86","85","85","84","84","84","82","81","81","81","80","81","80","80","82","82","82"
"Pike Satellite Facility","93","83","83","81","80","80","80","80","80","80","81","82","81","80","80","80","79","79","79"
"Quitman Satellite Facility","93","54","54","52","53","53","53","53","53","53","53","53","53","53","53","53","53","51","49"
"Rankin Satellite Facility","182","167","167","166","167","165","165","165","165","164","163","163","162","153","153","153","161","161","161"
"Rankin RID","28","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"Flowood TVC","50","23","23","22","21","20","22","22","21","21","19","19","18","21","21","21","21","20","20"
"Simpson TVC","82","55","54","48","48","49","59","58","58","58","57","57","55","67","67","66","63","59","57"
"Simpson TVC Support","20","11","11","11","11","20","20","20","20","20","19","19","19","17","17","17","19","19","19"
"Washington Satellite Facility","102","77","77","77","74","74","74","74","74","74","73","73","73","73","73","73","73","73","72"
"Wilkinson Satellite Facility","102","62","62","61","61","60","60","60","60","60","60","59","59","59","59","59","59","59","59"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,494","3,868","3,865","3,844","3,852","3,835","3,830","3,830","3,826","3,812","3,806","3,806","3,792","3,782","3,777","3,771","3,775","3,767","3,786"
"Alcorn County","300","238","238","238","240","240","240","240","240","240","240","240","240","240","239","239","239","239","239"
"Bolivar County","369","293","293","293","292","294","294","294","294","293","293","293","291","290","289","289","289","288","294"
"Carroll County","280","227","227","227","227","225","224","224","224","222","222","222","221","221","221","221","221","221","224"
"Chickasaw County","310","259","259","254","249","248","248","248","248","247","247","247","247","247","247","246","246","246","248"
"George County","280","242","242","242","241","239","237","237","237","235","235","235","233","232","232","232","232","231","221"
"Holmes County","280","224","223","221","223","221","224","224","224","223","223","223","223","222","221","221","221","220","223"
"Issaquena County","274","274","274","271","274","273","272","272","272","272","272","272","272","271","271","267","271","270","274"
"Jefferson County","280","279","278","277","277","276","275","275","275","273","269","269","267","267","267","266","267","267","277"
"Kemper County","355","350","350","346","352","349","352","352","351","351","350","350","350","347","345","345","345","343","343"
"Leake County","280","200","200","197","200","199","198","198","198","198","198","198","196","196","196","196","196","196","198"
"Marion County","280","263","262","262","262","262","261","261","260","259","259","259","259","259","259","259","259","258","257"
"Stone County","326","313","313","313","313","313","312","312","311","309","309","309","308","308","308","308","308","307","307"
"Washington County","300","218","218","218","217","214","214","215","214","214","214","214","214","213","213","213","213","213","213"
"Winston County","280","237","237","236","236","235","235","234","234","233","233","233","231","230","230","230","230","230","230"
"Yazoo County","300","251","251","249","249","247","244","244","244","243","242","242","240","239","239","239","238","238","238"
"PRIVATE PRISONS","5,972","3,078","3,077","3,069","3,080","3,084","3,085","3,085","3,084","3,082","3,081","3,080","3,070","3,070","3,068","3,067","3,067","3,065","3,062"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,179","1,179","1,177","1,181","1,183","1,184","1,184","1,183","1,181","1,181","1,181","1,177","1,177","1,177","1,176","1,176","1,174","1,173"
"Marshall County","1,000","996","995","993","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","998","998","998","998","998","998","996"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","903","903","899","899","901","901","901","901","901","900","899","895","895","893","893","893","893","893"
"RESTITUTION CENTERS","16","9","9","8","10","13","13","13","13","13","13","13","14","10","10","10","14","14","14"
"Greenwood","6","4","4","3","3","3","3","3","3","3","3","3","4","3","3","3","4","4","4"
"Hinds","6","4","4","4","6","6","6","6","6","6","6","6","6","3","3","3","6","6","6"
"Pascagoula","4","1","1","1","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"TOTALS","24,199","18,962","18,950","18,898","18,901","18,891","18,891","18,886","18,879","18,872","18,862","18,899","18,849","18,802","18,788","18,783","18,813","18,814","18,815"
"","","1-Jan-17","2-Jan-17","3-Jan-17","4-Jan-17","5-Jan-17","6-Jan-17","7-Jan-17","8-Jan-17","9-Jan-17","10-Jan-17","11-Jan-17","12-Jan-17","13-Jan-17","14-Jan-17","15-Jan-17","16-Jan-17","17-Jan-17","18-Jan-17"
