"Location","Capacity","18-Mar-18","19-Mar-18","20-Mar-18","21-Mar-18","22-Mar-18","23-Mar-18","24-Mar-18","25-Mar-18","26-Mar-18","27-Mar-18","28-Mar-18","29-Mar-18","30-Mar-18","31-Mar-18","Avg Population"
"Yazoo County","300","299","298","298","297","295","295","295","295","294","294","295","299","298","298","295"
"PRIVATE PRISONS","5,972","3,175","3,173","3,170","3,172","3,166","3,163","3,161","3,161","3,158","3,154","3,156","3,154","3,148","3,148","3,180"
"Delta","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,263","1,261","1,260","1,259","1,256","1,255","1,255","1,255","1,256","1,253","1,253","1,253","1,251","1,251","1265"
"Marshall County","1,000","998","997","996","1,000","999","998","997","997","996","995","1,000","1,000","999","999","998"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","914","915","914","913","911","910","909","909","906","906","903","901","898","898","916"
"RESTITUTION CENTERS","16","11","12","12","12","12","12","12","12","12","12","12","12","11","12","11"
"Greenwood","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","5"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2"
"TRANSITIONAL HOUSING","164","42","42","40","42","42","42","42","42","42","42","42","42","80","80","42"
"Madison","40","4","4","4","4","4","4","4","4","4","4","4","4","42","42","5"
"Noxubee","34","27","27","27","27","27","27","27","27","27","27","27","27","27","27","26"
"Rankin/Flowood","8","11","11","9","11","11","11","11","11","11","11","11","11","11","11","10"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"TOTALS","24,237","19,219","19,262","19,234","19,211","19,227","19,233","19,215","19,242","19,186","19,187","19,215","19,222","19,189","19,184","19,199"
"","","18-Mar-18","19-Mar-18","20-Mar-18","21-Mar-18","22-Mar-18","23-Mar-18","24-Mar-18","25-Mar-18","26-Mar-18","27-Mar-18","28-Mar-18","29-Mar-18","30-Mar-18","31-Mar-18","Avg Population"
