"Location","Capacity","18-Jun-18","19-Jun-18","20-Jun-18","21-Jun-18","22-Jun-18","23-Jun-18","24-Jun-18","25-Jun-18","26-Jun-18","27-Jun-18","28-Jun-18","29-Jun-18","","30-Jun-18 Avg Population"
"Madison Satellite Facility","62","67","67","67","67","66","66","66","67","67","68","67","67","67","66"
"Noxubee Satellite Facility","58","53","52","51","49","48","48","48","49","49","49","49","50","50","51"
"Pike Satellite Facility","93","67","69","69","70","67","67","67","69","69","67","67","67","67","70"
"Quitman Satellite Facility","93","53","52","52","52","52","52","52","52","52","52","52","50","50","50"
"Rankin Satellite Facility","178","145","143","142","141","140","140","140","141","141","140","138","136","136","144"
"Rankin RID","28","28","28","27","27","27","27","27","27","27","27","27","27","27","28"
"Flowood TVC","50","27","27","25","25","30","30","30","30","29","29","29","29","29","29"
"Simpson TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","52","52","51","50","50","50","50","51","51","51","51","54","54","51"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,655","3,674","3,667","3,667","3,693","3,693","3,691","3,702","3,694","3,691","3,693","3,711","3,710","3,670"
"Alcorn County","300","235","232","232","232","232","232","232","232","232","239","239","239","239","236"
"Bolivar County","369","289","292","292","292","291","291","291","291","290","291","291","290","290","292"
"Carroll County","280","267","270","270","270","270","270","270","270","270","269","268","269","269","267"
"Chickasaw County","310","254","254","254","252","252","252","252","251","250","250","252","252","252","255"
"George County","342","198","199","198","198","197","197","197","197","197","197","197","205","205","200"
"Holmes County","280","199","199","198","198","198","198","198","198","197","195","200","200","200","200"
"Issaquena County","274","268","268","268","271","271","271","271","271","270","267","267","267","267","266"
"Jefferson County","280","262","269","268","268","275","275","275","273","273","272","272","272","272","268"
"Kemper County","355","252","257","254","253","253","253","253","264","262","260","260","260","260","256"
"Leake County","280","269","268","269","269","269","269","269","268","268","267","266","266","266","261"
"Marion County","280","267","266","266","266","266","266","266","263","262","262","262","272","272","266"
"Stone County","326","209","208","208","208","209","209","207","207","207","208","207","207","207","211"
"Washington County","300","184","184","184","184","205","205","205","204","203","203","203","202","202","192"
"Winston County","280","267","269","269","269","268","268","268","273","273","273","271","272","272","265"
"Yazoo County","300","235","239","237","237","237","237","237","240","240","238","238","238","237","236"
"PRIVATE PRISONS","5,472","3,234","3,232","3,237","3,235","3,235","3,234","3,234","3,241","3,238","3,237","3,234","3,231","3,232","3,238"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,305","1,304","1,302","1,301","1,300","1,300","1,300","1,306","1,305","1,304","1,303","1,302","1,303","1308"
"Marshall County","1,000","999","999","999","998","1,000","999","999","998","998","999","998","997","997","999"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","930","929","936","936","935","935","935","937","935","934","933","932","932","931"
"RESTITUTION CENTERS","10","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"TRANSITIONAL HOUSING","164","30","31","38","38","38","38","38","38","37","37","37","40","37","34"
"Madison","40","2","3","3","3","3","3","3","3","3","3","3","3","3","3"
"Noxubee","34","22","22","29","29","29","29","29","29","29","29","29","29","29","25"
"Rankin/Flowood","8","6","6","6","6","6","6","6","6","5","5","5","8","5","7"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTALS","24,247","19,551","19,551","19,578","19,584","19,606","19,602","19,592","19,592","19,577","19,567","19,567","19,599","19,590","19,557"
"","","18-Jun-18","19-Jun-18","20-Jun-18","21-Jun-18","22-Jun-18","23-Jun-18","24-Jun-18","25-Jun-18","26-Jun-18","27-Jun-18","28-Jun-18","29-Jun-18","30-Jun-18","Avg Population"
