"Location","Capacity","1-Sep-18","2-Sep-18","3-Sep-18","4-Sep-18","5-Sep-18","6-Sep-18","7-Sep-18","8-Sep-18","9-Sep-18","10-Sep-18","11-Sep-18","12-Sep-18","13-Sep-18","14-Sep-18","15-Sep-18","16-Sep-18","17-Sep-18"
"Rankin RID","28","20","20","20","20","20","19","19","19","19","19","19","18","18","18","18","18","19"
"Flowood TVC","50","43","43","43","43","40","47","46","45","45","43","39","45","34","33","33","33","32"
"Simpson TVC","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simpson TVC Support","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Washington Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson Satellite Facility","62","50","50","50","50","49","48","48","48","48","48","48","48","48","53","53","53","54"
"Yazoo Satellite Facility","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"REGIONAL CORRECTIONAL FACILITIES","4,556","3,647","3,645","3,645","3,645","3,640","3,657","3,656","3,655","3,655","3,651","3,643","3,660","3,660","3,641","3,640","3,640","3,631"
"Alcorn County","300","235","235","235","235","239","239","240","240","240","240","240","239","239","239","239","239","239"
"Bolivar County","369","294","294","294","294","291","291","289","289","289","294","294","293","293","292","291","291","290"
"Carroll County","280","262","262","262","262","262","261","260","260","260","260","259","268","266","266","266","266","264"
"Chickasaw County","310","241","241","241","241","241","240","240","240","240","240","239","239","239","238","238","238","237"
"George County","342","199","199","199","199","199","197","197","197","197","197","197","200","200","197","197","197","197"
"Holmes County","280","198","197","197","197","196","200","200","200","200","200","200","199","199","199","199","199","199"
"Issaquena County","274","267","267","267","267","265","265","269","269","269","269","269","268","267","267","267","267","267"
"Jefferson County","280","270","270","270","270","268","269","269","269","269","269","269","268","268","267","267","267","266"
"Kemper County","355","256","256","256","256","257","259","258","258","258","257","256","256","256","255","255","255","255"
"Leake County","280","266","266","266","266","265","270","272","272","272","271","271","271","269","266","266","266","266"
"Marion County","280","266","265","265","265","264","270","266","266","266","266","266","266","269","268","268","268","268"
"Stone County","326","200","200","200","200","200","200","200","200","200","200","200","200","200","199","199","199","199"
"Washington County","300","194","194","194","194","194","194","194","194","194","189","188","188","187","180","180","180","179"
"Winston County","280","261","261","261","261","262","261","261","261","261","260","259","269","269","269","269","269","268"
"Yazoo County","300","238","238","238","238","237","241","241","240","240","239","236","236","239","239","239","239","237"
"PRIVATE PRISONS","5,472","3,216","3,216","3,216","3,215","3,209","3,211","3,210","3,209","3,209","3,202","3,201","3,197","3,197","3,208","3,207","3,207","3,203"
"Delta","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Mississippi","1,500","1,304","1,304","1,304","1,300","1,298","1,298","1,290","1,290","1,290","1,286","1,288","1,285","1,287","1,290","1,290","1,290","1,289"
"Marshall County","1,000","988","988","988","988","985","981","989","988","988","985","983","983","981","992","992","992","992"
"Walnut Grove","1,500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson County","1,000","924","924","924","927","926","932","931","931","931","931","930","929","929","926","925","925","922"
"RESTITUTION CENTERS","10","5","5","5","5","5","5","5","5","5","5","6","6","8","8","6","6","6"
"Greenwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hinds","6","3","3","3","3","3","3","3","3","3","3","3","3","5","5","3","3","3"
"Pascagoula","4","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3"
"TRANSITIONAL HOUSING","164","22","22","22","22","28","28","28","28","28","28","28","28","28","28","28","27","27"
"Madison","40","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Noxubee","34","13","13","13","13","20","20","20","20","20","20","20","20","20","20","20","20","20"
"Rankin/Flowood","8","7","7","7","7","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Washington","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilkinson","40","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0"
"TOTALS","24,334","19,467","19,456","19,452","19,451","19,398","19,494","19,415","19,402","19,402","19,399","19,379","19,375","19,404","19,408","19,402","19,396","19,378"
